"Distribution of cumulative catch (number of fish per time step of saving) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,0.0,3413118.0,4644277.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7435813E8,2.730716E9,1259847.8,0.0
1.0,5.0,0.0,172918.61,6330846.5,0.0,0.0,0.0,0.0,0.0,0.0,127000.74,0.0,0.0,1.2288967E7,2.2898626E7,1367925.5,0.0
1.0,10.0,19.74843,63196.004,3377943.5,0.0,0.0,0.0,0.0,0.0,0.0,5699889.0,0.0,0.0,8.362222E7,1.2744788E7,2023589.2,0.0
1.0,15.0,1082578.9,573448.7,1214316.9,0.0,0.0,0.0,0.0,0.0,0.0,2.2432418E7,0.0,0.0,1.0594617E8,1511392.0,69822.266,6401.6533
1.0,20.0,2988325.8,933522.25,5252256.5,6937483.0,0.0,0.0,0.0,0.0,9924262.0,2.3137336E7,0.0,0.0,1.4759397E8,887459.7,1094784.6,18083.066
1.0,25.0,3049617.0,1958679.0,1927237.9,1.6415741E7,0.0,0.0,0.0,7.372042E7,8337950.0,4952122.5,1.0311758E7,3.1256902E8,1.1018493,4371998.0,1130611.8,5455.098
1.0,30.0,2940357.5,1067105.6,813174.2,6295350.5,0.0,0.0,0.0,2.8715434E7,2615417.2,2863292.2,1.6643986E7,4.5045976E7,0.0,5522548.5,0.0,8265.852
1.0,35.0,1692969.6,108340.6,0.0,4747443.5,0.0,0.0,0.0,6795250.5,520581.5,1371738.9,9454898.0,0.0,0.0,1956591.2,0.0,3739.9412
1.0,40.0,1005448.94,67670.266,0.0,1893592.9,0.0,0.0,0.0,1.8196672,157584.38,0.0,4288638.0,0.0,0.0,185994.0,0.0,6106.1504
1.0,45.0,808166.94,35273.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3787.485
1.0,50.0,753343.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4399.995
1.0,55.0,674990.6,0.0,0.0,0.0,0.0,17843.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4598.6626
1.0,60.0,423499.6,0.0,0.0,0.0,0.0,4382.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3549.6426
1.0,65.0,0.0,0.0,0.0,0.0,0.0,5283.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3661.0818
1.0,70.0,0.0,0.0,0.0,0.0,0.0,3435.9878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3843.402
1.0,75.0,0.0,0.0,0.0,0.0,0.0,1993.1602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4051.677
1.0,80.0,0.0,0.0,0.0,0.0,0.0,1393.2415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3761.1294
1.0,85.0,0.0,0.0,0.0,0.0,0.0,1551.4266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4509.037
1.0,90.0,0.0,0.0,0.0,0.0,0.0,938.6535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4761.5156
1.0,95.0,0.0,0.0,0.0,0.0,0.0,1133.2488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6620.6875
1.0,100.0,0.0,0.0,0.0,0.0,0.0,872.6856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3430.324
1.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.2427687E7,6272762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.110814E8,3.4834474E8,4682374.0,0.0
2.0,5.0,0.0,1569140.6,1.1685188E7,0.0,0.0,0.0,0.0,0.0,0.0,2.9752262,0.0,0.0,9253536.0,2.0985946E7,2095045.8,0.0
2.0,10.0,65.56995,295848.44,2.66693E7,0.0,0.0,0.0,0.0,0.0,0.0,825.8502,0.0,0.0,5.5328916E7,4.9220264E7,1.0436574E7,0.0
2.0,15.0,10350.764,249029.55,3265075.8,0.0,0.0,0.0,0.0,0.0,0.0,1780466.6,0.0,0.0,1.342114E8,4.105392E7,2.5582078E7,57959.08
2.0,20.0,478761.44,117500.63,1328542.1,2.3989918E7,0.0,0.0,0.0,0.0,2.2269524E7,3.8158444E7,0.0,0.0,1.2090955E8,9664963.0,3405008.2,121691.75
2.0,25.0,3477018.0,153788.22,5779943.0,19957.877,0.0,0.0,0.0,7733063.0,3.3007528E7,3.2752982E7,3.2103996E7,1.9157032E8,949.5999,397330.34,2252.4236,28212.29
2.0,30.0,2976189.5,1647682.8,1280566.2,1.1028541E7,0.0,0.0,0.0,6.626178E7,6733591.5,4027578.2,5.6374252E7,2.2861378E7,0.69751,172975.27,0.0,14370.822
2.0,35.0,1517876.9,2507613.5,0.0,2578360.8,0.0,0.0,0.0,1.3481317E7,899212.94,1527022.0,7855926.0,0.0,0.0,85354.14,0.0,7132.3
2.0,40.0,913890.3,934967.9,0.0,770843.06,0.0,0.0,0.0,2862.3801,196974.33,0.0,3187616.0,0.0,0.0,0.0,0.0,5316.8394
2.0,45.0,809036.5,78003.625,0.0,0.0,0.0,0.0,0.0,3.4831948,431.69492,0.0,0.0,0.0,0.0,0.0,0.0,5990.7075
2.0,50.0,776531.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.2705
2.0,55.0,756209.8,0.0,0.0,0.0,0.0,4307.1533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4761.0317
2.0,60.0,554675.75,0.0,0.0,0.0,0.0,19915.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4585.9893
2.0,65.0,0.0,0.0,0.0,0.0,0.0,6309.1562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3871.1265
2.0,70.0,0.0,0.0,0.0,0.0,0.0,3221.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3848.0552
2.0,75.0,0.0,0.0,0.0,0.0,0.0,2598.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3778.2197
2.0,80.0,0.0,0.0,0.0,0.0,0.0,2070.1526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3575.2822
2.0,85.0,0.0,0.0,0.0,0.0,0.0,1159.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4256.9663
2.0,90.0,0.0,0.0,0.0,0.0,0.0,1308.2317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4806.6216
2.0,95.0,0.0,0.0,0.0,0.0,0.0,1031.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6368.3403
2.0,100.0,0.0,0.0,0.0,0.0,0.0,844.8169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2791.814
2.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,1.8439144E7,8103014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.065284E8,0.0,3520525.5,0.0
3.0,5.0,0.0,2004630.4,1.1222737E7,0.0,0.0,0.0,0.0,0.0,0.0,224.64806,0.0,0.0,2.9435706E7,935995.4,1.1854044E7,0.0
3.0,10.0,326.99982,709697.6,2.9309474E7,0.0,0.0,0.0,0.0,0.0,0.0,10744.183,0.0,0.0,7672252.5,8749028.0,3982799.2,0.0
3.0,15.0,9245.4,425131.62,1.5688079E7,0.0,0.0,0.0,0.0,0.0,0.0,15942.652,0.0,0.0,8.2947864E7,1.3149328E7,6728234.5,53233.215
3.0,20.0,19305.73,158238.33,2892074.5,5.113468E7,0.0,0.0,0.0,0.0,1827070.2,1987952.6,0.0,0.0,7.131416E7,6898737.0,8146804.5,149309.19
3.0,25.0,26700.904,182440.39,4389711.5,6105282.5,0.0,0.0,0.0,1473366.9,2.578906E7,2.9512032E7,7916464.5,6.708961E7,195043.31,766495.3,21738.174,194915.34
3.0,30.0,1224404.6,108238.66,1490869.8,826649.5,0.0,0.0,0.0,1552776.6,1.9642388E7,1.5700811E7,5.945039E7,7919236.0,329.9771,112.59634,0.0,81789.94
3.0,35.0,1379694.5,243745.62,0.0,3455559.0,0.0,0.0,0.0,1.8360502E7,2286502.0,1351360.8,9512464.0,0.0,0.0,0.0,0.0,25186.809
3.0,40.0,725799.9,1820336.0,0.0,259606.86,0.0,0.0,0.0,264870.28,254423.45,0.0,1608181.2,0.0,0.0,0.0,0.0,5726.56
3.0,45.0,646369.6,1720987.8,0.0,0.0,0.0,0.0,0.0,2928.7937,7935.2188,0.0,0.0,0.0,0.0,0.0,0.0,6760.9575
3.0,50.0,685197.75,219105.48,0.0,0.0,0.0,0.0,0.0,4.160401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.0913
3.0,55.0,671113.25,0.41179526,0.0,0.0,0.0,47827.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3815.3623
3.0,60.0,641980.7,0.0,0.0,0.0,0.0,9338.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4404.728
3.0,65.0,0.0,0.0,0.0,0.0,0.0,11432.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4290.809
3.0,70.0,0.0,0.0,0.0,0.0,0.0,6693.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3821.5347
3.0,75.0,0.0,0.0,0.0,0.0,0.0,2826.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3620.26
3.0,80.0,0.0,0.0,0.0,0.0,0.0,1682.0852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4233.5137
3.0,85.0,0.0,0.0,0.0,0.0,0.0,1744.3325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3686.5461
3.0,90.0,0.0,0.0,0.0,0.0,0.0,987.2103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4776.86
3.0,95.0,0.0,0.0,0.0,0.0,0.0,1087.4811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5432.57
3.0,100.0,0.0,0.0,0.0,0.0,0.0,720.3928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2395.6907
3.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,1.5914714E7,4349841.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.291587E8,0.0,1021913.94,0.0
4.0,5.0,0.0,1417135.9,9046613.0,0.0,0.0,0.0,0.0,0.0,0.0,356.66257,0.0,0.0,6.6796668E7,400.48477,4387351.0,0.0
