"Distribution of the biomass (tonne) of prey species (in columns) in the diet of redMullet by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,9.822207,0.95334667,1.0868306,0.0,0.0,0.83347034,0.08859679,8.802172,0.0025367544,11.277053,0.0,6.1055984,4.754484,10.760529,0.0,0.0,0.0,0.0,98.777504,0.01627931,96.503426,294.19006,22.340574,100.99332,0.0,0.0
1.0,1.0,0.0,7.3243947,0.0,0.0,0.0,0.0,19.001177,0.24454366,41.049232,0.0,0.0,0.0,0.0,6.350167,70.42862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.93653,7.0759706,1281.8168,0.0,0.0
1.0,2.0,0.0,1.5156046,0.0,0.0,0.0,0.0,1.2953453,5.1293567E-13,3.3755124,0.0,0.0,0.0,0.0,1.4927131,5.852287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8615885,0.6497072,141.94583,0.0,0.0
1.0,3.0,0.0,0.41546327,0.0,0.0,0.0,0.0,1.3539263,0.110999554,2.5194585,0.0,0.0,0.0,0.0,0.6571627,1.9469548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6486725,0.2020483,69.74368,0.0,0.0
1.0,4.0,0.0,0.35478926,0.0,0.0,0.0,0.0,1.3994743,0.049538575,1.8697796,0.0,0.0,0.0,0.0,0.66161317,2.1318586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0195637,0.13849317,58.3467,0.0,0.0
1.0,5.0,0.0,0.3780822,0.0,0.0,0.0,0.0,0.68077713,0.0,1.1571836,0.0,0.0,0.0,0.0,0.4761307,1.6628422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81288564,0.1009083,48.80861,0.0,0.0
1.0,6.0,0.0,0.30181623,0.0,0.0,0.0,0.0,0.8488208,0.07716766,1.2659724,0.0,0.0,0.0,0.0,0.28376445,1.1889505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47596434,0.07255076,43.628128,0.0,0.0
1.0,7.0,0.0,0.2942465,0.0,0.0,0.0,0.0,0.5554599,0.009921077,1.3129375,0.0,0.0,0.0,0.0,0.32297784,0.75008583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40890715,0.065664634,41.14167,0.0,0.0
1.0,8.0,0.0,0.31464213,0.0,0.0,0.0,0.0,0.36361632,0.0061473814,0.7308929,0.0,0.0,0.0,0.0,0.44397768,0.95292884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40289953,0.0561573,37.19954,0.0,0.0
1.0,9.0,0.0,0.23539539,0.0,0.0,0.0,0.0,0.44734162,0.029987512,0.838828,0.0,0.0,0.0,0.0,0.3708696,0.6629187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25174525,0.045795057,32.84222,0.0,0.0
1.0,10.0,0.0,0.21857435,0.0,0.0,0.0,0.0,0.42525873,0.35449234,0.9977632,0.0,0.0,0.0,0.0,0.12999155,0.61218673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15387808,0.035986576,27.92247,0.0,0.0
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,35.59242,1.7381258,0.20900097,0.0,0.0,0.9924381,0.12686707,0.0,0.011919795,21.86601,0.0,9.493559,0.021185024,0.20533662,0.0,0.0,0.0,0.0,160.42616,0.021830026,166.96614,261.89362,13.186509,0.42980757,0.0,0.0
2.0,1.0,0.0,4.625406,0.0,0.0,0.0,0.0,3.9121952,0.2963974,18.678802,0.0,0.0,0.0,0.0,25.940413,15.154587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.90094,12.8341465,1463.4843,0.0,0.0
2.0,2.0,0.0,57.30428,0.0,0.0,0.0,0.0,22.528162,0.08292009,34.063206,0.0,0.0,0.0,0.0,2.4337256,161.55284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.46134,5.752771,2663.3638,0.0,0.0
2.0,3.0,0.0,4.786833,0.0,0.0,0.0,0.0,2.1439943,0.0,3.3190646,0.0,0.0,0.0,0.0,1.0165557,12.96841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.549649,0.5928104,255.98047,0.0,0.0
2.0,4.0,0.0,1.3363817,0.0,0.0,0.0,0.0,1.1590275,0.0,1.1492904,0.0,0.0,0.0,0.0,0.47671244,3.9979658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3666441,0.20058957,101.08037,0.0,0.0
2.0,5.0,0.0,1.2995766,0.0,0.0,0.0,0.0,0.45912716,0.0,0.83199227,0.0,0.0,0.0,0.0,0.31749347,3.5560904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3832374,0.13273326,74.53193,0.0,0.0
2.0,6.0,0.0,0.6177392,0.0,0.0,0.0,0.0,0.5249303,0.009309147,1.0641779,0.0,0.0,0.0,0.0,0.14030908,2.0954034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99598193,0.08667109,55.53712,0.0,0.0
2.0,7.0,0.0,0.7472717,0.0,0.0,0.0,0.0,0.3033255,4.578872E-9,0.7137371,0.0,0.0,0.0,0.0,0.17603575,1.407707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6646739,0.065912195,46.22649,0.0,0.0
2.0,8.0,0.0,0.45562223,0.0,0.0,0.0,0.0,0.54543084,0.033777416,0.47918567,0.0,0.0,0.0,0.0,0.17054173,1.1556137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68881226,0.0596149,40.045345,0.0,0.0
2.0,9.0,0.0,0.4713219,0.0,0.0,0.0,0.0,0.4280033,0.34363648,0.46267396,0.0,0.0,0.0,0.0,0.15692456,1.3321792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60973084,0.049515437,34.21699,0.0,0.0
2.0,10.0,0.0,0.7088464,0.0,0.0,0.0,0.0,0.14339736,0.35149813,0.4949998,0.0,0.0,0.0,0.0,0.17124328,1.3496035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39182442,0.03784543,28.57169,0.0,0.0
2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,42.27149,2.4390514,0.49416256,0.0,0.0,1.1756552,0.11369256,0.006285211,0.014137981,69.716385,0.0,27.419792,0.0011304471,0.2847776,0.0,0.0,0.0,0.0,291.00024,0.030265218,144.70595,310.3355,13.879151,0.09700344,0.0,0.0
3.0,1.0,0.0,4.109264,0.0,0.0,0.0,0.0,0.0018118648,0.0,0.39419243,0.0,0.0,0.0,0.0,0.007891918,5.8832927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.85754,11.646241,24.005598,0.0,0.0
3.0,2.0,0.0,20.280966,0.0,0.0,0.0,0.0,0.93109626,1.4561597,46.309902,0.0,0.0,0.0,0.0,4.204502,33.450615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.38992,9.345523,2379.7573,3.0119292E-5,0.0
3.0,3.0,0.0,111.25764,0.0,0.0,0.0,0.0,32.944153,42.45471,169.4104,0.0,0.0,0.0,0.0,0.23453225,173.78882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.818695,4.8948913,3721.2085,0.002617128,0.0
3.0,4.0,0.0,8.602894,0.0,0.0,0.0,0.0,2.7932653,0.080362126,14.333404,0.0,0.0,0.0,0.0,0.07498697,15.437161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.055563,0.53337526,337.00967,0.0,0.0
3.0,5.0,0.0,2.3197198,0.0,0.0,0.0,0.0,0.7141207,0.10166529,4.0801654,0.0,0.0,0.0,0.0,0.05315378,3.532826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6440203,0.17799965,119.556595,0.0,0.0
3.0,6.0,0.0,2.4742515,0.0,0.0,0.0,0.0,0.62752235,0.33733013,3.0857022,0.0,0.0,0.0,0.0,0.060352832,2.5312903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3057731,0.114184216,78.894516,0.0,0.0
3.0,7.0,0.0,1.371289,0.0,0.0,0.0,0.0,0.44274265,0.83699745,1.8815855,0.0,0.0,0.0,0.0,0.06368496,2.053198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76343447,0.07660948,54.982212,0.0,0.0
3.0,8.0,0.0,0.7184826,0.0,0.0,0.0,0.0,0.4814468,0.7351608,1.6669468,0.0,0.0,0.0,0.0,0.07460721,1.0295025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83778435,0.05917493,43.016006,0.0,0.0
3.0,9.0,0.0,0.8208315,0.0,0.0,0.0,0.0,0.22736989,0.9467047,1.2919734,0.0,0.0,0.0,0.0,0.03672607,1.6617283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5011723,0.04831602,35.81733,9.456339E-6,0.0
3.0,10.0,0.0,0.5549148,0.0,0.0,0.0,0.0,0.18907388,0.5474903,1.3791218,0.0,0.0,0.0,0.0,0.037591014,0.84672946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41796896,0.038592815,30.077948,3.386141E-4,0.0
3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,79.1785,0.3627668,4.1023965,0.0,0.0,0.84409565,0.065823,7.509311E-4,0.01658113,23.22155,0.0,23.554996,2.2009885E-4,0.14014623,0.0,0.0,0.0,0.0,293.0931,0.03078992,143.4388,337.16394,13.448558,0.5726846,0.0,0.0
4.0,1.0,0.0,0.22525863,0.0,0.0,0.0,0.0,0.024660736,0.0,0.8789468,0.0,0.0,0.0,0.0,0.36446935,1.8656654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.47833,10.899171,56.558346,0.0,0.0
4.0,2.0,0.0,1.6137632,0.0,0.0,0.0,0.0,0.10389181,0.0,2.4231691,0.0,0.0,0.0,0.0,0.00885608,10.873953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.95566,8.350281,123.848404,1.0847685E-7,0.0
4.0,3.0,0.0,26.428204,0.0,0.0,0.0,0.0,5.9764977,3.9876375,48.658733,0.0,0.0,0.0,0.0,0.006171426,33.596066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.69615,7.393054,3039.9902,0.016481424,0.0
4.0,4.0,0.0,147.60909,0.0,0.0,0.0,0.0,24.086432,56.04188,113.99859,0.0,0.0,0.0,0.0,1.8902559,133.77151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.09323,5.7386193,4472.789,0.037648864,0.0
4.0,5.0,0.0,14.424016,0.0,0.0,0.0,0.0,4.114086,4.3490357,10.26533,0.0,0.0,0.0,0.0,0.26143757,10.152994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6322823,0.50210506,384.03937,6.595555E-4,0.0
4.0,6.0,0.0,2.276551,0.0,0.0,0.0,0.0,1.1129289,1.1091784,2.39596,0.0,0.0,0.0,0.0,0.20419009,2.9829514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2584248,0.1824313,127.11277,4.2511043E-4,0.0
