"Mean Trophic Level of fish species, weighted by fish catch, and including first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,3.8851426,3.4053996,3.7387557,4.053847,NaN,4.147279,NaN,3.3369591,3.3897817,3.9285486,4.056567,3.5892076,3.5427432,3.7574525,3.5164535,4.060634
2.0,4.163135,3.3590927,3.7261555,3.9658809,NaN,4.271357,NaN,3.3203993,3.3796601,4.028836,4.120402,3.6790037,3.552408,4.0348253,3.6818614,4.2258973
3.0,4.0415273,3.367844,3.6688712,3.9769797,NaN,4.2877593,NaN,3.3641999,3.4247375,3.9267182,4.016366,3.6348217,3.5183835,3.972149,3.653276,4.1270523
4.0,4.056779,3.350533,3.6055236,3.9425642,NaN,4.2141027,NaN,3.4086819,3.3984113,3.9966118,4.0085673,3.6482494,3.4808042,3.9698303,3.591661,4.077019
5.0,4.1027083,3.3478775,3.5958438,3.9506557,NaN,4.261741,NaN,3.4184299,3.3866076,4.0082154,4.022834,3.5983357,3.483828,4.1121316,3.4987125,4.0627036
6.0,4.22405,3.3560867,3.649234,4.046857,NaN,4.1875544,NaN,3.4751246,3.4234455,4.205634,4.0409036,3.7048454,3.4843504,4.054602,3.4809008,4.1348844
7.0,4.188839,3.337133,3.574247,3.9901845,NaN,4.2863145,NaN,3.4238067,3.4132624,4.1517553,3.978306,3.5943315,3.4547813,4.104704,3.4471488,4.104111
8.0,4.216519,3.3488457,3.5952117,4.0070095,NaN,4.1708784,NaN,3.437149,3.425783,4.2205787,3.9910553,3.605534,3.4548838,4.064881,3.4943326,4.150336
9.0,4.223673,3.340251,3.6377127,3.9533944,NaN,4.251256,NaN,3.423878,3.4055672,4.204208,3.9663758,3.6382616,3.4723496,4.1419907,3.4723382,4.1737576
10.0,4.3351555,3.3545334,3.6389341,4.00886,NaN,4.277174,NaN,3.410956,3.392481,4.313005,4.049514,3.6624258,3.4935997,4.0491467,3.4520962,4.2433887
11.0,4.0593686,3.3328712,3.584318,3.9390836,NaN,4.2904935,NaN,3.4314256,3.4369178,4.266014,3.990278,3.657138,3.4904006,4.114616,3.4718335,4.2008085
12.0,4.121216,3.3814518,3.6007879,3.9951637,NaN,4.268313,NaN,3.4639194,3.45109,4.27811,4.049171,3.6658518,3.496817,4.039652,3.4541821,4.2464323
13.0,4.107326,3.33059,3.5806785,3.9827359,NaN,4.2444053,NaN,3.4089904,3.3993042,4.249401,3.978066,3.5752456,3.4847898,4.109541,3.5207107,4.2245874
14.0,4.2054567,3.350813,3.644343,4.009912,NaN,4.2828083,NaN,3.4295528,3.461445,4.300755,4.058018,3.699859,3.5176616,4.0247655,3.489115,4.252448
15.0,4.2032456,3.3668025,3.6054196,3.9680028,NaN,4.2356033,NaN,3.4117188,3.4438846,4.270309,4.0038266,3.622213,3.4900978,4.0440927,3.4970217,4.231673
16.0,4.2430844,3.3332193,3.642284,4.0308433,NaN,4.2857056,NaN,3.3959224,3.4627562,4.2867126,4.0756173,3.6439955,3.4824262,4.0224013,3.460439,4.2540073
17.0,4.2236366,3.369519,3.6244915,4.01635,NaN,4.2430234,NaN,3.400294,3.428705,4.297063,4.0108128,3.6594272,3.4761667,4.080667,3.5025113,4.2700267
18.0,4.245835,3.353911,3.6429477,4.0331273,NaN,4.2594004,NaN,3.3904433,3.4432092,4.3118653,4.0500736,3.6511874,3.4861286,4.035405,3.435634,4.2673016
19.0,4.208583,3.3588574,3.577105,3.9643915,NaN,4.177303,NaN,3.406011,3.391659,4.2759404,3.9997349,3.6805398,3.4758692,4.12215,3.4652677,4.2619796
20.0,4.17523,3.3938208,3.6673899,4.023013,NaN,4.2963114,NaN,3.421555,3.4777424,4.364403,4.050406,3.6749923,3.473455,4.0622115,3.4822862,4.262723
