"Mean trophic level of fish species by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,NaN,3.6210356,3.439229,3.5457315,3.3564057,3.4520965,3.6564853,3.772226,3.646491,3.3222978,3.348628,3.1480882,2.9382029,3.5311942,3.9292376,NaN
1.0,5.0,3.0,3.8328092,3.4971313,3.7015219,3.5164201,3.3386014,3.8744497,3.843981,3.837301,3.3443577,3.7430634,3.1493788,3.1695206,3.7488315,3.4075506,NaN
1.0,10.0,3.2315068,3.8955972,3.501172,3.9463665,3.5435848,3.2106068,3.9125233,3.9096477,3.3164532,3.5187862,3.6577966,3.3126934,3.2932723,3.9631283,3.491338,3.4504967
1.0,15.0,3.5197222,3.8837202,3.3530583,4.1200857,3.5951989,3.5052693,3.8913062,3.8249016,3.383736,3.876719,3.5592554,3.3998592,3.4207127,4.1261535,3.0930889,3.5658948
1.0,20.0,3.837872,3.5219505,3.7813225,3.7008348,3.6952505,3.9070027,3.4620147,3.3529744,3.3830898,3.9527578,3.8651206,3.5264323,3.6154194,3.9677937,3.2937365,3.830402
1.0,25.0,3.824486,3.4032829,3.7498453,4.076962,NaN,4.1005836,3.4090164,3.3312821,3.4620261,3.9128416,4.086294,3.5711703,NaN,4.102965,3.361007,3.4520867
1.0,30.0,3.7517483,3.3971221,3.764384,4.1125536,NaN,3.7865088,NaN,3.3258145,3.4483237,3.923533,4.10107,3.5730836,NaN,4.3756046,NaN,3.777047
1.0,35.0,3.822008,3.3756006,NaN,4.211302,NaN,4.1541305,NaN,3.3381789,3.455758,3.9804585,4.121584,NaN,NaN,4.589529,NaN,3.660315
1.0,40.0,3.889989,3.3537114,NaN,4.230894,NaN,4.1267776,NaN,3.4017103,3.4613533,NaN,4.1855745,NaN,NaN,4.2865453,NaN,3.8240936
1.0,45.0,3.882708,3.3501985,NaN,NaN,NaN,4.287012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7085266
1.0,50.0,3.9590292,NaN,NaN,NaN,NaN,4.3938317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8858504
1.0,55.0,3.993278,NaN,NaN,NaN,NaN,4.418779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9279146
1.0,60.0,4.002981,NaN,NaN,NaN,NaN,4.397217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9531405
1.0,65.0,NaN,NaN,NaN,NaN,NaN,4.5531974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.000457
1.0,70.0,NaN,NaN,NaN,NaN,NaN,4.5321665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.03106
1.0,75.0,NaN,NaN,NaN,NaN,NaN,4.573591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0817347
1.0,80.0,NaN,NaN,NaN,NaN,NaN,4.5742736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1057763
1.0,85.0,NaN,NaN,NaN,NaN,NaN,4.6322036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0873237
1.0,90.0,NaN,NaN,NaN,NaN,NaN,4.616285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.10878
1.0,95.0,NaN,NaN,NaN,NaN,NaN,4.6727624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0865927
1.0,100.0,NaN,NaN,NaN,NaN,NaN,4.7018433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1008587
1.0,105.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,115.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,125.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,NaN,3.584267,3.4485614,3.5273376,3.418856,3.5624518,3.5715456,3.7302663,3.6289806,3.3687859,3.3572116,3.0847611,3.005286,3.4571702,3.941697,NaN
2.0,5.0,3.000508,3.9007084,3.5032456,3.626485,3.523951,3.4456453,3.8952076,3.8705184,3.855431,3.7872825,3.6592383,3.097389,3.2362885,3.7895644,3.6251671,NaN
2.0,10.0,3.4042757,3.9228454,3.6027741,3.8352306,3.5213804,3.849138,3.900441,3.8909242,3.4260676,3.9367917,3.854968,3.5610776,3.3048103,3.926681,3.468005,3.4473076
2.0,15.0,3.6312885,3.968876,3.7170956,4.0850973,3.5818703,3.787013,3.8714786,3.881227,3.355924,3.765549,4.0026956,3.6649463,3.4231005,4.0981827,3.658499,3.6610296
2.0,20.0,3.8660824,3.4689205,3.6456506,4.1463323,3.6926708,4.048437,3.563174,3.4949117,3.3453193,3.974403,3.9497945,3.6896887,3.6401162,4.301162,3.7828896,3.7250812
2.0,25.0,3.9628177,3.2938988,3.7938004,4.237914,NaN,4.029875,3.44314,3.2627246,3.3945243,4.057523,4.0923066,3.7295592,3.4338894,4.648736,3.5577943,3.8026447
2.0,30.0,3.8992665,3.30446,3.8689806,4.2830534,NaN,4.262503,3.4723728,3.3103302,3.4047406,4.0968823,4.220264,3.789923,NaN,4.1931868,NaN,3.9202502
2.0,35.0,4.0483766,3.364585,NaN,4.366713,NaN,4.1973815,NaN,3.3290381,3.456925,4.207421,4.273144,NaN,NaN,4.6332226,NaN,4.0773377
2.0,40.0,4.122175,3.3960688,NaN,4.3863335,NaN,4.3227425,NaN,3.3567054,3.4700902,NaN,4.3422804,NaN,NaN,NaN,NaN,4.078483
2.0,45.0,4.1723127,3.3742747,NaN,NaN,NaN,4.4229183,NaN,3.2651694,3.311166,NaN,NaN,NaN,NaN,NaN,NaN,4.1359296
2.0,50.0,4.253432,NaN,NaN,NaN,NaN,4.4868526,NaN,3.3789034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.081761
2.0,55.0,4.2751927,NaN,NaN,NaN,NaN,4.5564637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.152598
2.0,60.0,4.2682123,NaN,NaN,NaN,NaN,4.5908513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1639433
2.0,65.0,NaN,NaN,NaN,NaN,NaN,4.620318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.24614
2.0,70.0,NaN,NaN,NaN,NaN,NaN,4.646271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.243478
2.0,75.0,NaN,NaN,NaN,NaN,NaN,4.688249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.252236
2.0,80.0,NaN,NaN,NaN,NaN,NaN,4.728063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.312691
2.0,85.0,NaN,NaN,NaN,NaN,NaN,4.7044215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3202195
2.0,90.0,NaN,NaN,NaN,NaN,NaN,4.7607427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2957897
2.0,95.0,NaN,NaN,NaN,NaN,NaN,4.7775598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3061957
2.0,100.0,NaN,NaN,NaN,NaN,NaN,4.807013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.289991
2.0,105.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
