"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,3.9254587,3.4637868,3.6409934,4.1026464,3.5447173,4.5469813,3.6661155,3.324886,3.4302723,3.905197,4.1180844,3.5714679,3.493602,3.469656,3.4228432,4.05406
2.0,4.2002363,3.4309373,3.660851,4.2882333,3.5555239,4.6577535,3.6172903,3.3142662,3.3946369,4.0463996,4.2113914,3.7375371,3.4870281,3.6814184,3.583983,4.222118
3.0,4.032549,3.4370139,3.6378198,4.280002,3.606552,4.579386,3.5477383,3.370396,3.4295475,3.9418373,4.1628547,3.6419892,3.4184372,3.8437839,3.5645173,4.106098
4.0,4.063254,3.401737,3.595709,4.1958294,3.6148603,4.602092,3.5361476,3.3366916,3.399368,4.031309,4.230387,3.7449892,3.3826685,3.8929543,3.4609134,4.068486
5.0,4.0892715,3.3610663,3.5809503,4.1656475,3.6318307,4.6056123,3.5637724,3.31086,3.4197526,4.0218515,4.2408156,3.640739,3.3837094,4.0298004,3.394601,4.063273
6.0,4.1791224,3.3787973,3.6007066,4.239289,3.614281,4.5895114,3.7275925,3.3350616,3.4311676,4.1952205,4.3135915,3.8110352,3.3976083,3.9336565,3.3949678,4.1061153
7.0,4.195951,3.390674,3.6052186,4.1505165,3.6177032,4.6080847,3.8025496,3.333729,3.4230776,4.1682334,4.217268,3.6697037,3.3822014,3.990596,3.4085565,4.111575
8.0,4.277522,3.3838463,3.6236863,4.170421,3.6317935,4.645522,3.727673,3.3314822,3.4836168,4.256693,4.3057218,3.8837335,3.3950396,3.9635773,3.4110246,4.179278
9.0,4.1983466,3.3783767,3.5751178,4.1467633,3.5738773,4.6302533,3.722676,3.3385634,3.4408808,4.235906,4.202658,3.591535,3.4186237,4.0172963,3.4001908,4.1602883
10.0,4.2065096,3.4020202,3.581844,4.1722093,3.6071458,4.6387105,3.710255,3.3437574,3.467363,4.2927485,4.22983,3.8125935,3.3958232,3.9359941,3.4132395,4.203411
11.0,4.1235237,3.3661358,3.5338764,4.1294646,3.6036754,4.5992155,3.715227,3.3413785,3.4290972,4.269894,4.1599426,3.7268653,3.397862,3.9954202,3.3837218,4.2064104
12.0,4.1790533,3.3928733,3.6161134,4.171291,3.617844,4.632303,3.6906307,3.3515494,3.4454474,4.3564878,4.212657,3.8442352,3.4017239,3.939891,3.4167304,4.2369504
13.0,4.1545286,3.4074776,3.6389525,4.178066,3.619354,4.6118555,3.7518706,3.3778367,3.469841,4.2834554,4.22318,3.7204945,3.4282265,3.940099,3.389429,4.229435
14.0,4.241624,3.3901787,3.6164892,4.169088,3.62686,4.621774,3.7534556,3.3439019,3.4579413,4.3684015,4.2403617,3.8169045,3.3943477,3.8873985,3.4274256,4.253188
15.0,4.1772013,3.3731477,3.546349,4.2024317,3.5605774,4.623621,3.7337537,3.337399,3.4319432,4.325306,4.2031198,3.7158165,3.4095066,3.930884,3.3729749,4.219402
16.0,4.220877,3.371192,3.5936666,4.207312,3.6030073,4.5998707,3.7875466,3.3447347,3.4501872,4.3408227,4.2245135,3.7785907,3.373071,3.9156225,3.4062808,4.239497
17.0,4.2374043,3.4132242,3.6059213,4.1842113,3.5899088,4.6229615,3.7485502,3.3517663,3.462605,4.2199965,4.181737,3.6761944,3.38008,3.9785519,3.424157,4.2507305
18.0,4.265965,3.3988833,3.6244802,4.15935,3.6157682,4.6241465,3.7387898,3.3433769,3.4576783,4.2643657,4.266884,3.731089,3.3669884,3.9432259,3.4288597,4.2677236
19.0,4.226712,3.3821692,3.5931892,4.1475005,3.5960543,4.6115403,3.6906242,3.329163,3.435965,4.310729,4.195839,3.8177,3.3725147,3.9984589,3.368082,4.251824
20.0,4.242337,3.4076703,3.6041548,4.1891375,3.6191545,4.6705875,3.7387838,3.3515704,3.4572988,4.379883,4.25457,3.8379595,3.3786137,3.9630694,3.3940094,4.263695
