"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,21239.309,17273.695,51555.48,47196.227,24901.27,2095.5,21218.32,27804.588,17245.5,143677.02,25040.412,129314.44,230512.52,2367427.0,41537.902,7413.824
2.0,20078.72,42322.76,138812.12,38702.77,137448.62,2285.641,16923.97,30663.352,39968.855,170039.83,41951.832,51485.203,161498.11,551290.06,201210.98,7670.2495
3.0,18157.88,60517.535,176103.36,59935.16,240085.95,3616.9304,11905.507,22671.803,42172.08,166818.2,35280.49,22348.861,120283.63,75139.57,190607.42,8968.189
4.0,15879.969,73406.414,170529.7,63653.152,344072.5,4020.5752,8011.25,21254.596,42219.414,153667.95,20694.014,13838.418,86618.125,16558.252,150297.44,11507.182
5.0,13393.938,81011.52,152727.84,77581.64,420468.62,5167.489,4643.421,21810.855,44918.875,119487.31,11967.701,11420.282,65271.547,26279.645,84489.586,15405.206
6.0,10780.534,83876.266,165824.69,81645.484,373686.72,7450.471,2530.4773,23061.57,48474.67,93310.12,9099.032,11201.931,70114.836,32722.967,69306.4,20577.227
7.0,7916.5303,86111.29,157891.53,96510.66,404206.03,7203.558,1959.2156,23587.277,49263.234,70237.08,7473.534,12180.683,79100.07,41400.074,69602.43,26205.146
8.0,5378.788,86184.71,164124.25,115188.305,417087.9,7039.632,2549.9805,24116.145,51391.957,51506.28,6770.0903,12700.299,77464.914,53661.2,63694.15,32367.691
9.0,3274.7417,82785.53,173449.9,107521.5,442979.12,8973.761,2601.0989,25330.162,54975.082,37967.887,10914.774,15469.576,79591.7,68143.86,65789.945,39317.664
10.0,1139.3501,77214.43,202879.3,103736.88,432763.38,10187.256,2802.268,27279.393,56931.69,28240.414,15936.813,16518.982,72002.29,95374.23,75025.83,46357.992
11.0,127.59538,54735.17,222989.73,98866.945,454241.53,9746.538,2887.3376,28248.363,56558.203,21516.436,19468.77,15908.423,73418.805,23647.94,69958.99,53273.023
12.0,125.003654,40616.03,168057.84,98054.14,466643.78,9244.032,3090.1907,28753.35,55978.984,17290.768,20497.621,16123.997,72967.44,42609.543,64938.58,59994.406
13.0,115.43543,39553.92,167707.17,122700.34,437180.75,8744.004,2587.0415,29780.236,55147.484,13929.968,21432.428,14962.227,66026.195,79144.16,88379.0,66361.96
14.0,99.189835,38877.426,141670.47,131841.53,401192.28,8115.1846,2518.0881,30603.422,49996.848,11031.606,20183.014,13924.452,65081.79,89757.17,84065.82,71478.53
15.0,82.76193,39765.316,150573.27,101113.125,366655.16,7461.6597,2315.394,30890.03,40916.26,7403.5537,18928.688,12714.666,73334.11,46862.31,79235.125,75584.66
16.0,60.60497,39382.434,159759.5,84064.29,373701.75,6770.7725,2637.4004,30509.52,39009.527,5179.414,19792.438,10752.153,65753.89,73376.46,69156.555,78343.79
17.0,37.45134,40996.418,174713.44,91452.48,401457.88,6133.4707,2171.3916,30584.217,41986.523,4247.2485,19272.451,11921.178,69387.45,30801.96,78161.46,80414.65
18.0,19.313011,42848.74,157157.38,94835.78,400627.88,5671.248,1982.6895,30487.58,42634.965,3398.8438,21034.902,13378.966,67452.36,42598.125,76554.87,82771.22
19.0,7.6270022,44572.805,139095.78,106692.984,429864.97,5195.6836,2008.2135,30698.607,43736.723,2682.4673,23945.74,18851.766,75271.086,77501.27,63939.715,85765.55
20.0,2.1652052,47089.06,137235.33,97545.664,405218.62,4769.4395,2375.0903,28414.623,43829.61,2034.2251,24659.404,17842.611,65925.75,92149.414,63682.477,90486.11
