"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,2741.9724,1349.415,1836.3983,9006.568,0.0,134.76839,0.0,28802.8,4585.445,5156.128,14055.706,54866.832,19096.45,13554.687,1026.5154,193.43456
2.0,2808.4065,3649.4016,3343.3196,5911.428,0.0,155.77126,0.0,30557.158,12355.283,10211.135,30980.531,31764.975,16326.41,13208.159,4611.5127,200.20573
3.0,2195.6758,5254.435,4787.007,6143.539,0.0,242.94649,0.0,11213.343,13108.899,9267.768,22870.807,10956.084,9519.123,5698.2183,2493.936,231.10223
4.0,1496.8951,5681.35,5453.541,12800.561,0.0,243.62556,0.0,6909.392,8989.047,10732.064,15865.971,9923.034,9596.151,338.55807,2052.3074,284.53107
5.0,1051.6547,5546.3516,3973.901,15078.089,0.0,253.50768,0.0,4177.223,5485.0415,5522.2974,6911.9907,4124.6855,4771.969,516.75604,1411.8229,293.19614
6.0,829.39685,5726.369,5325.671,13978.8125,0.0,365.04514,0.0,3803.7678,4566.0747,3819.7166,4347.7627,2490.4702,3945.8826,1317.7874,1951.5234,399.96396
7.0,897.7662,8073.6777,13001.682,17387.727,0.0,676.195,0.0,5505.947,5800.105,5007.9844,4716.669,4549.6875,5944.32,10839.793,2413.9312,1248.3215
8.0,326.80103,4333.218,4987.4907,8788.682,0.0,298.8854,0.0,2549.4697,3583.283,2313.7683,3060.3718,4349.387,4270.2783,1787.7089,732.908,620.2695
9.0,219.89946,4532.534,4707.9194,9858.904,0.0,396.76205,0.0,3102.9412,4526.815,1792.9015,4431.119,4949.637,4207.7773,7441.7383,1200.252,764.6638
10.0,75.56194,4059.6182,5053.1313,8620.3955,0.0,422.5088,0.0,3154.2834,5109.6094,1346.2373,5334.182,5499.2695,4232.372,2366.12,934.36975,836.9047
11.0,9.808737,2823.7893,4195.258,7749.025,0.0,392.0904,0.0,2726.1987,4544.591,780.5441,5429.61,3959.7356,3018.7131,7995.011,952.58685,911.02246
12.0,7.221439,1701.7631,2420.5464,6064.0024,0.0,282.34442,0.0,3009.2576,3593.771,664.59326,6190.198,6077.785,3499.5598,1325.0681,1149.4681,733.1602
13.0,6.1080656,1667.8098,2255.032,6404.4766,0.0,257.5779,0.0,4263.1763,3484.4885,391.30505,5839.6025,5432.314,2400.2422,4385.0894,935.69745,783.13605
14.0,7.353887,2377.971,5827.913,10542.14,0.0,410.8376,0.0,4812.3374,3950.0464,412.02264,7729.849,6740.7407,2878.904,2211.0483,1320.89,1736.5153
15.0,4.871416,1809.7665,3383.423,7643.7085,0.0,268.92133,0.0,3488.7222,2868.484,203.69867,5650.9097,4888.5513,2406.0938,6268.1616,907.7005,1228.1123
16.0,5.5378914,2566.5767,6969.324,9144.67,0.0,427.4492,0.0,5121.3257,3560.648,271.34,8652.227,8491.351,5021.226,2025.7482,950.0522,2529.1125
17.0,2.2147524,1617.778,3261.8228,6004.5654,0.0,206.86584,0.0,3130.269,2347.889,97.25129,4771.603,4586.1274,2266.4358,4310.5244,1067.9781,1197.7252
18.0,1.1191567,1637.7428,4134.826,7213.2383,0.0,209.56528,0.0,3215.4727,2194.3464,125.51524,6971.844,8506.758,4012.1094,1612.1963,743.1884,1430.9391
19.0,0.3328841,1238.7773,1931.6569,4353.234,0.0,124.671715,0.0,2596.0806,1823.0719,70.14181,5877.1606,6556.1377,2522.5781,3765.4102,572.06635,866.0355
20.0,0.11878623,1279.5139,1942.5122,4096.0576,0.0,110.3896,0.0,2849.9343,1876.2694,66.27519,6902.6763,8648.618,3182.2864,947.3959,718.1523,864.37115
