"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,16.507673,1.0046784,11.176867,4.5959744,6.150292,16.971554,1.0390961,20.254074,1.1092076,7.161261,9.228717,3.8068442,7.181407,1.8913002,2.5283375,17.670946
1.0,1.0,23.19538,24.014626,23.473143,27.67874,14.427535,22.341648,15.559037,24.982134,4.6372094,17.941164,27.650774,8.8646555,15.012668,2.019996,25.13598,27.402763
1.0,2.0,30.459745,26.766306,28.851923,32.696888,17.059464,36.334263,20.881227,28.692434,20.898472,20.369452,27.450413,20.680384,20.635372,NaN,NaN,39.038383
1.0,3.0,36.893425,31.299988,32.106003,36.2756,18.875137,47.790848,24.069773,31.25286,24.902227,23.65701,30.73691,23.8835,22.832977,NaN,NaN,48.24768
1.0,4.0,42.500072,34.926334,NaN,38.139824,19.971457,57.40868,25.652718,33.04886,28.351442,26.193666,33.537754,26.168995,23.820623,NaN,NaN,56.040237
1.0,5.0,47.524445,37.97646,NaN,39.136383,NaN,65.56105,26.629671,34.3039,31.264814,28.388447,35.39012,27.654873,24.246277,NaN,NaN,62.87578
1.0,6.0,51.94195,40.520626,NaN,39.651207,NaN,72.339485,NaN,35.17627,33.763325,30.203266,36.83632,28.69679,24.440844,NaN,NaN,68.779976
1.0,7.0,55.851658,42.62307,NaN,39.925877,NaN,77.898506,NaN,35.790268,35.848858,31.710741,37.979,29.40933,24.52796,NaN,NaN,73.91118
1.0,8.0,59.370453,44.38769,NaN,40.073135,NaN,82.47208,NaN,36.221275,37.670277,32.988827,38.847584,29.904278,24.56805,NaN,NaN,78.366844
1.0,9.0,62.518204,45.852123,NaN,40.151176,NaN,86.163635,NaN,36.526154,39.19061,34.018158,39.530323,30.24468,24.585537,NaN,NaN,82.23815
1.0,10.0,NaN,47.07767,NaN,40.19296,NaN,89.196175,NaN,36.739964,40.502655,34.878113,40.055176,30.475632,24.593382,NaN,NaN,85.62468
1.0,11.0,NaN,NaN,NaN,40.214973,NaN,91.80302,NaN,36.89086,41.615723,35.5652,40.468433,NaN,24.59693,NaN,NaN,88.55471
1.0,12.0,NaN,NaN,NaN,40.226746,NaN,93.91216,NaN,36.996777,42.559845,36.18764,40.7999,NaN,24.598839,NaN,NaN,91.096756
1.0,13.0,NaN,NaN,NaN,40.232838,NaN,95.23887,NaN,37.071266,43.35859,36.68411,41.057354,NaN,24.59936,NaN,NaN,93.304695
1.0,14.0,NaN,NaN,NaN,40.236153,NaN,NaN,NaN,37.12454,44.050346,37.097397,41.260986,NaN,24.599976,NaN,NaN,95.22392
1.0,15.0,NaN,NaN,NaN,40.237835,NaN,NaN,NaN,37.16144,NaN,NaN,41.41668,NaN,NaN,NaN,NaN,96.89196
1.0,16.0,NaN,NaN,NaN,40.238914,NaN,NaN,NaN,37.187695,NaN,NaN,41.541428,NaN,NaN,NaN,NaN,98.34333
1.0,17.0,NaN,NaN,NaN,40.23935,NaN,NaN,NaN,37.206177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.604675
1.0,18.0,NaN,NaN,NaN,40.240074,NaN,NaN,NaN,37.219147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.702934
1.0,19.0,NaN,NaN,NaN,40.240047,NaN,NaN,NaN,37.228188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.65624
1.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,21.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,14.475335,0.9325368,6.531634,2.627735,5.571051,1.4454086,1.0045809,10.443446,1.6281319,2.3746433,3.3092275,4.6333556,3.9199631,3.0387418,1.9775376,17.585472
2.0,1.0,25.748653,5.1386266,24.304201,30.111006,22.750685,25.23867,7.076157,27.672121,2.9580593,21.471468,30.316273,10.0040655,13.017698,2.0298064,11.955905,26.479269
2.0,2.0,31.526897,31.83205,28.55686,32.666542,21.106346,29.936834,20.040686,30.021204,19.268332,23.820496,32.172268,11.581934,17.553171,NaN,NaN,35.426407
2.0,3.0,37.707127,33.18333,31.947714,35.319897,21.388557,42.360783,24.300974,32.218754,25.927816,25.041626,31.383549,22.992,21.979513,NaN,NaN,45.922264
