"Distribution of fish species biomass (tonne) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,0.0,391.55084,0.0,0.0,0.0,0.0,355.92767,0.0,3322.6128,0.0,0.0,0.0,7.5991306,1026761.2,3601.9937,0.0
1.0,5.0,0.0,48.126938,0.0,7.0481205,11.928352,1.3478734E-5,279.56146,0.0,1161.7344,184.80937,0.0,4998361.5,5370.292,45057.01,6909.1885,0.0
1.0,10.0,0.0,170.94185,0.004966399,18.773312,803.30554,2.6027997,3848.1328,0.14820713,2414.5872,8856.743,2.3817642,1522081.5,20749.332,12451.927,11996.315,0.0
1.0,15.0,257.07767,1207.3215,1944.4895,518.4365,9213.379,289.69516,4847.812,143.97993,9273.035,26811.195,2465.4927,113607.18,31412.666,1355.9829,2037.3582,15.141292
1.0,20.0,560.6292,3607.5657,10431.002,6558.3833,745.1764,778.5859,7068.3984,10444.087,7786.0205,27647.797,9209.837,70660.336,100699.09,1761.6425,6044.329,57.600346
1.0,25.0,688.4792,3789.4275,7958.1587,32699.592,0.0,237.80426,5629.6675,12693.441,5476.7197,17323.71,21482.885,74338.73,0.0,13623.912,6838.6562,28.325474
1.0,30.0,1119.0709,618.3637,4857.7666,16653.594,0.0,531.0431,0.0,2996.864,2578.4158,18961.248,9367.018,12045.73,0.0,30102.4,0.0,66.30557
1.0,35.0,1669.0829,661.7765,0.0,24543.354,0.0,1111.3628,0.0,1093.5563,1379.7723,12151.812,190.34831,0.0,0.0,18628.707,0.0,51.06352
1.0,40.0,2337.862,814.7892,0.0,11817.285,0.0,114.19161,0.0,0.0,1175.0338,0.0,111.19662,0.0,0.0,1186.1852,0.0,115.03095
1.0,45.0,3142.2563,473.1712,0.0,0.0,0.0,542.9133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.615074
1.0,50.0,4059.9272,0.0,0.0,0.0,0.0,82.29264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.5549
1.0,55.0,4826.211,0.0,0.0,0.0,0.0,86.07049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.15733
1.0,60.0,3790.167,0.0,0.0,0.0,0.0,8.57335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.22202
1.0,65.0,0.0,0.0,0.0,0.0,0.0,8.686446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.20786
1.0,70.0,0.0,0.0,0.0,0.0,0.0,3.1167393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.25082
1.0,75.0,0.0,0.0,0.0,0.0,0.0,1.2660851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.76306
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.72206783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0107
1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.6551719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.8876
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.27805427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.1127
1.0,95.0,0.0,0.0,0.0,0.0,0.0,0.023916392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1780.1434
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.4694
1.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
