"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.0017149914380922171,15.992868766699969,0.35394004414297464,0.0,0.002484673798777078,0.0,5.201981603814366,0.005744614003754171,0.008697761890607324,4.900741246002115E-9,0.012336014806370744,0.08768189108834555,0.0,0.0,0.0,0.0,0.0,0.0,9.728232123229756E-11,0.0011898060274909768,0.012848204199152334,0.0,0.0,0.0,
2.0,0.0014475610328026616,18.71602148635004,0.03585940707676148,0.0,0.0020483133228057808,0.0,5.05054693353942,0.008764697962494579,0.008700327171717369,9.896175388477522E-9,0.001629606432561787,0.14434110382135895,0.0,0.0,0.0,0.0,0.0,0.0,4.445459982832268E-10,8.20819353430332E-5,0.023175328948229733,0.0,0.0,0.0,
3.0,9.99876918614461E-4,12.659687946230026,0.009610019181577929,0.0,0.002483266848780082,0.0,4.835865886746544,0.00873641707935583,0.00870022994723143,1.4235583700887641E-8,0.001969388113802422,0.15222890049120602,0.0,0.0,0.0,0.0,0.0,0.0,9.516028767574877E-10,1.4129477538058635E-4,0.020500426904227875,0.0,0.0,0.0,
4.0,0.0010118642655155756,13.375140074434963,0.002397513517640563,0.0,8.761339763490066E-4,0.0,4.841226464590713,0.00880083060957463,0.00870021313147196,1.1655699598643439E-8,0.0016151629373679578,0.11959915674889056,0.0,0.0,0.0,0.0,0.0,0.0,8.584872258597485E-10,1.2658764271928575E-4,0.01246993927338254,0.0,0.0,0.0,
5.0,0.001073351334104582,17.228432926191026,9.515025335001369E-5,0.0,2.2939150977615622E-4,1.5981098538461106E-7,4.877826459278016,0.008814738036628147,0.008700184263600535,7.47155144014134E-9,0.001097224754584706,0.06654796808055008,0.0,0.0,0.0,0.0,0.0,0.0,1.4327848212142692E-10,2.9711003269217268E-5,0.0018948143493677807,0.0,0.0,0.0,
6.0,9.495197129115641E-4,18.24291675238134,2.399593503268607E-5,0.0,0.0,0.0,4.819731682103963,0.008759968156078116,0.008700179800518657,7.515049878979674E-9,9.052477266599735E-4,0.06356986374365774,0.0,0.0,0.0,0.0,0.0,0.0,1.6123238540209068E-10,2.5818972640269028E-5,0.0014840762388656937,0.0,0.0,0.0,
7.0,9.874717728552507E-4,20.575133349996197,7.4870268715139315E-6,0.0,0.0,0.0,4.8323678356403175,0.009014753479068053,0.008700173658370097,8.563799092533016E-9,0.0012952906279197053,0.07124036551931674,0.0,0.0,0.0,0.0,0.0,0.0,4.987801862966518E-10,8.647172725753878E-5,0.0044806437606725626,0.0,0.0,0.0,
8.0,9.49925377086144E-4,11.65467068532339,2.0965046384893454E-5,0.0,0.005394177616132742,0.0,4.8199577431813,0.008726453110207436,0.008700181077206083,1.082607816685434E-8,0.001634422359346651,0.09639888627724624,0.0,0.0,0.0,0.0,0.0,0.0,1.159330746501012E-9,1.818568656160913E-4,0.010898091514801492,0.0,0.0,0.0,
9.0,9.688337192945532E-4,13.294099979624773,0.003518986911856599,0.0,6.686025314811145E-6,0.0,4.825929386283644,0.008841963320194044,0.008700350207252345,7.827914438463809E-9,0.0011801565636616496,0.06509670517163409,0.0,0.0,0.0,0.0,0.0,0.0,5.04699895320543E-10,8.400218266596809E-5,0.004516772245186182,0.0,0.0,0.0,
10.0,0.0010045942192326387,25.73396948001152,0.0010768268347983395,0.0,1.4709243662488342E-4,3.597604391179919E-8,4.835337872935368,0.009719917653132014,0.00870023034741647,6.9927706780513306E-9,0.0017308350237914504,0.06265854895880103,0.0,0.0,0.0,0.0,0.0,0.0,4.719687339094383E-10,1.3566931876668424E-4,0.004543017370811522,0.0,0.0,0.0,
