"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,25.987854226428897,11.699055231758843,0.3958171177947053,0.0,0.8172091499387686,0.08590130218822459,0.04969398165552685,0.01506738017070606,0.015548295244878347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06040358334821424,
2.0,7.658438710143295,12.153518964511216,0.9773953615187971,0.0,1.1701821870593025,0.30500229885686647,0.02598777494315452,0.015190178238173365,0.015544904983472321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05140730769638948,
3.0,6.090228846441043,12.889605622199465,0.777059082592861,0.0,1.0714704925428318,0.2549906798675573,0.024647558082858928,0.015326113011779096,0.015563238355350265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07260211611985024,
4.0,5.343849643949557,15.667857207775508,0.421947168230295,0.0,0.9491357173918545,0.12558121448261156,0.02403978970550259,0.01547996042829728,0.015589086342902523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15829468310458433,
5.0,6.694862641599252,14.43327036087526,0.29608902615552946,0.0,0.9258793394611027,0.13799835318593542,0.02513785313886718,0.015296648422637893,0.015631890450436375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3026527909446643,
6.0,6.8565383770655135,18.733609738461755,0.39859271343873054,0.0,0.4711953118615325,0.15279399878771938,0.025298613169710677,0.01552176424106368,0.01569161072253956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46603149096937174,
7.0,7.597673116817529,17.004701177565675,0.4802498655608628,0.0,0.33162632074786674,0.2561952394476802,0.025913039615945283,0.015482980080961231,0.015546733986528036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036604072045596715,
8.0,5.75747857054247,17.219098592734618,0.4530269820398027,0.0,0.3417454537809358,0.19034213465254807,0.024380862716451557,0.015295699542388096,0.015568973723589244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09477890378493695,
9.0,5.744169293290628,14.88912049202286,0.41587796364443563,0.0,0.30900811590063204,0.20916681467663678,0.024381887212020562,0.015210180379294964,0.015555303237100637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06004485901354624,
10.0,6.541976166465671,15.25543547524395,0.6231575419301417,0.0,0.3875440394144409,0.23249747419440647,0.025032034409156263,0.015422801787714038,0.015549961900244496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027958631088082296,
