"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,9.298841453550928,1.3591549950290438,0.15428011061828292,0.0,1.109346218515012,0.7192774114144056,0.012531090491411531,0.0020915398331953334,0.002118825661686792,0.0014502694976458873,0.031222936484291218,0.3524485837629365,0.0,0.27499999999999963,0.27500000009836634,0.0,0.0,0.0,1.125673085010686E-7,3.424296919996217E-6,6.007246606570716E-5,0.0,0.0,0.0029662060000823624,
2.0,11.87720782992679,2.996826221937387,0.006856563488285868,0.0,1.0016495903218001,1.4650148006807537,0.014136151461502412,0.002042001427289417,0.0021188232208916706,0.0021357207378639668,0.07549687149498628,0.13032968860117652,0.0,0.27499999999999974,0.2749999999999997,0.0,0.0,0.0,3.96123083128372E-6,2.098406456103803E-4,3.793014211015309E-4,0.0,0.0,5.540487984660562E-6,
3.0,8.60886971486732,4.280753925764447,0.01794525043033191,0.0,0.8069172750502323,1.4349206523988467,0.012010762498475542,0.0020047311687916057,0.0021186273058690017,0.0020172946219545198,0.09337240233109168,0.1819808246924049,0.0,0.27499999999999974,0.27499999999999963,0.0,0.0,0.0,9.153918483009635E-6,6.640983508687692E-4,0.0013602248959986652,0.0,0.0,5.240081037085374E-6,
4.0,7.173288098896188,5.108716962597577,0.037407951454959495,0.0,0.6587425735348517,1.2725565981478713,0.011107161151172043,0.0019960116752846704,0.0021184862589294197,0.00312717777083678,0.16387526927545462,0.36536652200142505,0.0,0.27499999999999963,0.2749999999999997,0.0,0.0,0.0,9.575739977776644E-6,8.354328655612779E-4,0.0019863989581601947,0.0,0.0,3.895512969599435E-6,
5.0,8.039663568369537,7.724942922794272,0.09032001094439134,0.0,0.46143613532252437,0.8754756279121146,0.011627281740707957,0.0019710726430900855,0.0021186802561814046,0.002222071391625366,0.11428984172405784,0.30557730386634624,0.0,0.2749999999999997,0.27499999999999963,0.0,0.0,0.0,2.7855507342402736E-8,2.5288581288252957E-6,7.4899012573123585E-6,0.0,0.0,3.7672432039157072E-6,
6.0,7.957253929206877,8.344063778974725,0.13458689784100325,0.0,0.3322730438182875,0.4651414004718028,0.011548906884679605,0.0020463582245598844,0.0021186721753292466,0.0019584426196831346,0.098971419653099,0.3297499089612541,0.0,0.2749999999999997,0.27499999999999963,0.0,0.0,0.0,2.8883049323856637E-7,2.5939715054702478E-5,1.0025811834601279E-4,0.0,0.0,4.257083085449675E-6,
7.0,7.108000008409658,8.117345570671699,0.12751134517665227,0.0,0.24158223322726433,0.29283893105768344,0.011047667542742065,0.0020447594175787395,0.0021188584595085566,0.0020515905026340076,0.1090218125620936,0.4271792064036117,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,4.973800022433871E-6,4.7859643723049435E-4,0.0021425908353939174,0.0,0.0,4.971646365702014E-6,
8.0,6.001017742451562,9.785286320943676,0.1536802014135569,0.0,0.17209278330092398,0.2262361866271418,0.010394817390588368,0.0021412432031670827,0.002119108280944047,0.002051204028415011,0.08753025840953636,0.5264208309097445,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,1.4980154865108485E-5,0.001049083183054114,0.007589226043813501,0.0,0.0,6.1014417335906575E-6,
9.0,5.161022428994739,8.820843714651074,0.14325508556461675,0.0,0.29912293267803014,0.24493402610073559,0.009917303435609983,0.0020723740392948674,0.002118873065564012,0.0019029172054170107,0.09247313160586201,0.43044401854376496,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,5.476024296646843E-6,4.683538553822317E-4,0.002610154614842256,0.0,0.0,4.123901085072391E-6,
10.0,6.038953565802563,10.820860029473707,0.14508504180335788,0.0,0.26241904976244435,0.37633722830753824,0.010404947541569098,0.002083783039706287,0.002119011084478757,0.0018995383139010712,0.07123613153386289,0.37569812243552625,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,5.634122693796544E-6,3.550659245920122E-4,0.0022919917672384682,0.0,0.0,2.271484929114612E-6,
