"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,2.8545016514670415E-5,0.37694720106712104,0.07981563877819235,0.0,0.0,0.0,1.9376250584224533,0.0049416795007122555,0.004944825470285153,1.0075770197293823E-4,0.04351831652692718,0.12549142465897156,0.0,0.0,0.0,0.0,0.0,0.0,3.921775154778164E-5,0.014770211546722626,0.04127959596934011,0.0,0.0,0.03858720967202947,
2.0,4.5362193620089765E-4,0.6797772271431782,0.021953482501593735,0.0,0.0,0.0,1.7617814475373157,0.004942163394148899,0.004945154809670139,1.3559492974394134E-4,0.05140963520418725,0.16871313362922835,0.0,0.0,0.0,0.0,0.0,0.0,5.1075713808203505E-5,0.01737584088339233,0.056005235541474636,0.0,0.0,0.04317325126145486,
3.0,4.0647288188897716E-4,0.2514362127602311,0.031239679865581384,0.0,2.689174599567267E-4,0.0,1.761765383808698,0.004941368725056059,0.004946654402743913,1.5230814908779068E-4,0.058843433522007806,0.17747537223292847,0.0,0.0,0.0,0.0,0.0,0.0,5.5467623764407235E-5,0.019430612975834496,0.061315545460922695,0.0,0.0,0.05729111644091459,
4.0,2.247945475175026E-5,0.2778909051234125,0.03185914129561446,0.0,0.004294542430303705,4.2661776322531147E-4,1.7615070046803396,0.004943696583003483,0.00494852668428693,1.3125607280094524E-4,0.04918292470164813,0.14954687749108542,0.0,0.0,0.0,0.0,0.0,0.0,4.7021389240430234E-5,0.015868267529992857,0.05180715966154707,0.0,0.0,0.0751926568119043,
5.0,1.4143401163304895E-5,0.4670393871964331,0.03319073770772151,0.0,0.0071854746526980595,8.835806729926833E-4,1.7614646280841495,0.004947194592786624,0.004950046800813922,8.545768139602086E-5,0.030431761024871874,0.09513336707679255,0.0,0.0,0.0,0.0,0.0,0.0,3.3252736881020896E-5,0.010482718236750605,0.035228127990644495,0.0,0.0,0.08927113249036531,
6.0,7.91538027345251E-6,0.8340732860741074,0.020258846036284563,0.0,0.012634622187886873,0.0020796170931891853,1.7614584229278982,0.004966239055610871,0.004951090119548767,8.291981224996456E-5,0.026497815457580426,0.09437854864663711,0.0,0.0,0.0,0.0,0.0,0.0,3.207591680984045E-5,0.009151709080442263,0.03408849611953389,0.0,0.0,0.1003766063931959,
7.0,3.7393561593096117E-4,0.8952835302094427,0.02929068873470879,0.0,0.012302980927497044,0.0024410439495638064,1.7616892828609814,0.0049720406775290585,0.004952963608320073,8.671839665156799E-5,0.02911707823759447,0.10138945730235868,0.0,0.0,0.0,0.0,0.0,0.0,3.166713216533837E-5,0.009490579803569417,0.03428034669088439,0.0,0.0,0.11799333078342503,
8.0,8.723512927157943E-8,0.716271582561686,0.03247845205566108,0.0,0.009852615878007323,0.002924185320968066,1.7614693181679095,0.004963856326404833,0.004954438986979475,1.0478194113227567E-4,0.03426888731497175,0.12405206461284514,0.0,0.0,0.0,0.0,0.0,0.0,3.550098567768655E-5,0.010867413277766042,0.03953221795454825,0.0,0.0,0.132264363818506,
9.0,2.1901054392918325E-4,0.5422230635474842,0.03729127133543912,0.0,0.0033329619538480437,0.0020935205368929786,1.7615845924495208,0.004957924955279203,0.004957176753009556,7.762789640927726E-5,0.027286445952060107,0.09373268363779987,0.0,0.0,0.0,0.0,0.0,0.0,2.8263981707370378E-5,0.008998826991810897,0.03046541363205668,0.0,0.0,0.15837731375745562,
10.0,2.847833525339894E-4,0.5258223279088078,0.027713813734124133,0.0,0.011378039245507888,0.005610142396392054,1.7616230611831878,0.004955061553414783,0.004959868822658739,7.484611186197634E-5,0.026544056160516645,0.09539707851521487,0.0,0.0,0.0,0.0,0.0,0.0,2.6944957458803395E-5,0.008543102330753012,0.02935718354014022,0.0,0.0,0.18446790664065588,
11.0,2.3843289530079472E-4,0.6609779404491152,0.02976190662706789,0.0,0.010110648002226197,0.002475725450195089,1.7615796336568954,0.004961486328543102,0.004943070725154646,5.676819540556278E-5,0.020034679247674846,0.07334082509775951,0.0,0.0,0.0,0.0,0.0,0.0,2.182780742376317E-5,0.006675549541785775,0.023386586598736686,0.0,0.0,0.022205856430386115,
12.0,0.005042860794637272,0.45313214724221607,0.01855903076877738,0.0,0.009023531754175975,0.0018409270233229126,1.764612314396527,0.004954799794390551,0.0049464346779745745,7.538931753875781E-5,0.026002269191700067,0.0928205998749699,0.0,0.0,0.0,0.0,0.0,0.0,2.6489180919057893E-5,0.008207832301458317,0.02952844179105065,0.0,0.0,0.05534810263943188,
13.0,0.0016521480120715354,0.531508146173788,0.027795721118569316,0.0,0.01060038888054848,0.0017493959161358303,1.7624674013382835,0.004958024070335452,0.004948367500011379,6.211103079653796E-5,0.02124221990718759,0.07372273738591438,0.0,0.0,0.0,0.0,0.0,0.0,2.2437764876859653E-5,0.006791581375894398,0.024534989626407346,0.0,0.0,0.07265118518294114,
