"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,5.726920900560766,5.053480985212938,0.12931259557389857,0.0,0.692747644092205,0.006894833282268222,0.0924061919281907,0.08836562167762686,0.08866133351388336,4.099612103801164E-5,0.015934981732190233,0.07962480292280957,0.0,0.0,0.0,0.0,0.0,0.0,2.1125410598432307E-6,8.211400415519036E-4,0.004103150487572935,0.0,0.0,0.005384703983576101,
2.0,1.9396200613649868,7.514671056948929,1.292478107114194,0.0,1.1186026003146299,0.39117704147029025,0.06212612782332322,0.08815602425147444,0.08873168326106069,5.3071206958320104E-5,9.249928669541025E-4,0.04988790255745584,0.0,0.0,0.0,0.0,0.0,0.0,2.7428818902096226E-6,4.78065912342274E-5,0.002579387737795352,0.0,0.0,8.700432349379121E-4,
3.0,1.0127818773047539,9.773460616454766,1.6250308039133652,0.0,1.0819945398487147,0.6214911324422708,0.0573387815006813,0.08846022513883837,0.08886560205803562,6.166785617483207E-5,0.0013264978392455403,0.012485104743821187,0.0,0.0,0.0,0.0,0.0,0.0,3.1957778452080363E-6,6.874300596909996E-5,6.472540546239729E-4,0.0,0.0,1.4079134434811705E-4,
4.0,1.1817991277173843,11.311845338037672,0.6770502755766487,0.0,1.070163351519486,0.40650231499576417,0.058182219156870364,0.08812079335241206,0.08872054832788308,5.1703016708147394E-5,0.0025464914377428824,0.02313512898191146,0.0,0.0,0.0,0.0,0.0,0.0,2.6816363233908757E-6,1.3208800708641605E-4,0.0012003972661041359,0.0,0.0,2.5637335106259794E-4,
5.0,1.0512132259293134,13.144121198644994,0.6583814625549512,0.0,0.9260721353246837,0.30758779572258504,0.05752564584769417,0.08919304528710092,0.08863513245160354,3.3501053201152336E-5,9.78348601611622E-4,0.023347949497242892,0.0,0.0,0.0,0.0,0.0,0.0,1.7261800866686195E-6,5.0410542475343E-5,0.0012030330907991766,0.0,0.0,4.859639335283413E-4,
6.0,1.4196339828088247,11.76283039853868,0.3605490869661437,0.0,0.8715736439273887,0.3169361195425719,0.05941633445278748,0.08864331319778136,0.08868410154924383,3.1971307529962626E-5,0.0012304166536724322,0.026144114119774454,0.0,0.0,0.0,0.0,0.0,0.0,1.6477850366341436E-6,6.341520935910075E-5,0.0013474943513400214,0.0,0.0,5.762570375583706E-4,
7.0,1.4760018605825242,14.082504648344655,0.3511350590760643,0.0,0.9333294494755048,0.25257896111682887,0.059685335257632595,0.09025618801979882,0.08871015361304073,3.318309456191144E-5,0.002535461406415575,0.03804784081090064,0.0,0.0,0.0,0.0,0.0,0.0,1.717766978264866E-6,1.312600856895263E-4,0.001970410712021255,0.0,0.0,9.604332643524969E-4,
8.0,1.169513378453537,11.556106561871172,0.2848086720661654,0.0,0.9967600295485585,0.2567188357827518,0.05811953537195086,0.08863596667047166,0.08866393958919043,4.162763851411099E-5,0.0018077413697815247,0.05332592985307012,0.0,0.0,0.0,0.0,0.0,0.0,2.1684918458940518E-6,9.417774983020252E-5,0.0027796070463379087,0.0,0.0,0.0014783498361571944,
9.0,1.3377773542580151,12.074712915789826,0.3681826364003236,0.0,1.0204151266487755,0.28796730821008304,0.05902379349667047,0.08887730763650524,0.08871507593156219,3.019371695957028E-5,0.0011343747162664982,0.031201679963485985,0.0,0.0,0.0,0.0,0.0,0.0,1.5642446681232323E-6,5.877048720723046E-5,0.0016172659619382494,0.0,0.0,0.0017591934626930942,
10.0,1.3131318531420662,13.21185856462457,0.31609325750269873,0.0,0.8568437190945837,0.3676968309853595,0.058873671078417074,0.08872043423495643,0.08871332408357475,2.9038689147475206E-5,0.0016783342276906735,0.027314752272232103,0.0,0.0,0.0,0.0,0.0,0.0,1.5049582237018438E-6,8.698614209123934E-5,0.00141630781503785,0.0,0.0,0.004520111686077734,
