"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.7179793694031851,0.09294652036869401,0.06958998025964096,0.0,2.69621097516916,0.2230573797281009,0.7808512855388451,0.02346465157234373,0.0236815688298102,1.0897526267129915E-4,0.0015035148772344548,0.194655012168815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43594747369261344,
2.0,0.3017054897391879,2.6683547325948402,2.4906699912959045,0.0,0.9429764434950262,2.059696952021778,0.5722293574665691,0.023463516446395417,0.024069667894981727,1.0965269704532524E-4,0.005672119997841856,0.003963444702157913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0586922600174964,
3.0,0.21003591630614593,5.124264743921014,1.1643960977776417,0.0,0.2222601164754306,0.6026201784216915,0.4437119641928407,0.02342245619000424,0.02402523171588232,9.530726145726094E-5,0.040462681598474784,0.054116560424765536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0739316935329768,
4.0,0.6287089232482834,2.4748311601276547,0.2849625986802064,0.0,0.10768586766416013,0.2582483265696497,0.7758338606164119,0.023482365488359663,0.03358224003866989,1.3934633825499765E-4,0.036097592290303064,0.3049995886831736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.578309560668224,
5.0,0.583109919856126,3.8696649938133216,0.1253074437575402,0.0,0.07130757169265553,0.2362949687265892,0.6498660267463306,0.02348464169151695,0.023561369676452722,7.801144276943523E-5,0.042645734734635635,0.128948469923963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1933517565064664,
6.0,0.7052673921049315,3.2027340985268875,0.18169124414496457,0.0,0.4519673558170562,0.04787132715751087,0.7802779961877953,0.02347019513888054,0.02969783033627622,9.032885271563781E-5,0.010111459393836874,0.19599573417824565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.32979866450302,
7.0,0.5576828386863306,5.804022545429754,0.4503411433925101,0.0,0.09887208601686041,0.4856133886712793,0.6483573841193729,0.023223507155684192,0.023792062558618807,7.700800443791132E-5,0.03833971607718695,0.061874369500668505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216161161395699,
8.0,0.6347762245919315,2.703048306925506,0.112449035609671,0.0,0.16467524478007503,0.1110561147175942,0.7761560243429515,0.023479576944545926,0.029419215100891852,1.0900569619573406E-4,0.021833984638561964,0.24791495411156225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34686548689941,
9.0,0.6439845929809314,4.1191302279956465,0.189403995600694,0.0,0.05074986244880154,0.3954606535384902,0.6534927089948156,0.023403924143066485,0.023780956236023366,6.952036405543051E-5,0.039540899913253665,0.0890341192287655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6067041377660817,
10.0,0.557148522708454,2.8323548518383386,0.12903262702151044,0.0,0.3057942405071607,0.0965394316954097,0.7715963920636993,0.02347447644267197,0.02815701193514394,7.931715447649147E-5,0.010891514652506202,0.16734129337743797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4304715258301135,
