"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.0070465994802204135,0.0542090360606689,0.006475822495680416,0.0,0.0,0.0,0.9448511841644301,0.004097753639679868,0.0040992083592595605,1.7146042656845457E-4,0.011128649964757731,0.022335685653407773,0.0,0.0,0.0,0.0,0.0,0.0,5.863920074813574E-5,0.0038057556016477248,0.007637858698515776,0.0,0.0,0.0176285392870713,
2.0,0.06329589992628878,0.05165035325210305,0.011101880397131818,0.0,0.0,0.0,0.9515953512958483,0.004097830122139002,0.004098639449902119,2.726206166456124E-4,0.017359279791492984,0.0363256144275923,0.0,0.0,0.0,0.0,0.0,0.0,9.144247639079247E-5,0.005816943736066621,0.012159650382804501,0.0,0.0,0.010920225828905963,
3.0,0.025932032418761373,0.04259354498062115,0.012698841116089132,0.0,2.5090461047890336E-4,3.337967700364365E-5,0.9471248370188144,0.004097779800818519,0.004098355493847969,3.5215729213820016E-4,0.022512584110514232,0.0478563914224199,0.0,0.0,0.0,0.0,0.0,0.0,1.1654406872367221E-4,0.007441328107758462,0.0157983573334218,0.0,0.0,0.0074827482405503175,
4.0,0.04001100911809614,0.07862684734929733,0.010278442196401562,0.0,0.0019147913826365708,7.729842840900803E-5,0.9487939130531448,0.004097827642637197,0.004098211354727572,3.1286598823660665E-4,0.02000902945448301,0.043198966216653804,0.0,0.0,0.0,0.0,0.0,0.0,1.0316877208566268E-4,0.006590026416568891,0.014209140828631919,0.0,0.0,0.005836734493346886,
5.0,0.01507942170957655,0.04087458008209716,0.007557089213050759,0.0,0.0013555063963273403,1.0753994610569321E-4,0.9457942694436552,0.004097972539170733,0.004098124928715178,1.446866362656353E-4,0.008751643608241943,0.01866846117495957,0.0,0.0,0.0,0.0,0.0,0.0,4.951298212659181E-5,0.0029948441334093755,0.006388306398610712,0.0,0.0,0.0048505408334265,
6.0,0.039879391476515515,0.07828748319469124,0.006280678011040544,0.0,0.0013957510577336128,1.7116918518735177E-4,0.9487511423938537,0.004098331149243505,0.004098068630920384,1.4194547876908483E-4,0.008609590547705152,0.018470168847839932,0.0,0.0,0.0,0.0,0.0,0.0,4.8479384603128345E-5,0.0029400743782924763,0.006306283053595277,0.0,0.0,0.004206951172108521,
7.0,0.022755854198312685,0.07182622476082295,0.005457342181628764,0.0,0.0027032910834396975,1.974069460675524E-4,0.9467145071092734,0.004098035366728959,0.0040980314028953154,1.8789168613562044E-4,0.011608346468825106,0.025766209626627467,0.0,0.0,0.0,0.0,0.0,0.0,6.249434761551118E-5,0.0038567075205168375,0.00854913054715453,0.0,0.0,0.0037636631709308185,
8.0,0.031084328038499618,0.0854424316542158,0.005423856137635451,0.0,0.0012887840851214557,5.9315088665866286E-5,0.9477154038015249,0.004098260402457846,0.0040980043541877275,3.0069272569823027E-4,0.019082995557422024,0.043141827232257755,0.0,0.0,0.0,0.0,0.0,0.0,9.76541831405773E-5,0.006191352907892136,0.01398167606804154,0.0,0.0,0.0034400656066597432,
9.0,0.04915264603405933,0.07731114585353599,0.005680963202603264,0.0,0.001352756271180997,1.3737737550237185E-5,0.9498650935320435,0.004098005180853758,0.004097984071711493,1.7525198068989414E-4,0.010892880257700846,0.024403114791363912,0.0,0.0,0.0,0.0,0.0,0.0,5.807599717531866E-5,0.0036055644549743224,0.008066386339051365,0.0,0.0,0.003203507153509948,
10.0,0.02439296774504162,0.1138563132108142,0.005372126663465193,0.0,0.0023958541462459656,1.2867636521796163E-4,0.9468988750434183,0.004098449441673754,0.0040979694431781365,1.7145141542931468E-4,0.010648455757008048,0.023851457700151842,0.0,0.0,0.0,0.0,0.0,0.0,5.6723755069389296E-5,0.0035188509968559277,0.007870994574306137,0.0,0.0,0.0030303030011339833,
11.0,0.057343981213186485,0.11659259966916342,0.005757316899338014,0.0,0.0025350948811854344,1.399837761754576E-4,0.9508868221583467,0.004098184279248234,0.004097962954255574,9.479839258180597E-5,0.005745802966356844,0.012419304194224719,0.0,0.0,0.0,0.0,0.0,0.0,3.24296838992301E-5,0.001965517096347992,0.004248188796069209,0.0,0.0,0.002955954017750419,
12.0,0.02488152768297873,0.13708029010135409,0.006596317643879983,0.0,0.0018920287543547944,1.627872107007264E-4,0.9469574841291616,0.004098276453972514,0.004097972987479549,1.864462483340617E-4,0.011555669471774077,0.026347667018377704,0.0,0.0,0.0,0.0,0.0,0.0,6.124756980620238E-5,0.0037916517345036177,0.00863336262566914,0.0,0.0,0.0030461492138166746,
13.0,0.028840310525138097,0.14543120710302915,0.007966324134222321,0.0,0.0019848374020688953,4.984389328753596E-5,0.9474139979206289,0.004098150115253814,0.0040979872159844785,1.3652208435765777E-4,0.008491201946205128,0.018933882536406065,0.0,0.0,0.0,0.0,0.0,0.0,4.5317342775112486E-5,0.002815333213271971,0.006269164853209235,0.0,0.0,0.003181049720165882,
14.0,0.030837933388886126,0.17372740531629643,0.008611451691684998,0.0,0.0013297097276684948,6.514913497479261E-5,0.9476518811437362,0.0040984459466220785,0.0040980038675652135,1.1851307111747804E-4,0.007178235340843504,0.01628178808946441,0.0,0.0,0.0,0.0,0.0,0.0,3.957137729650126E-5,0.0023943196880592023,0.005423829933024227,0.0,0.0,0.003372405324322906,
15.0,0.04202129190835449,0.17991583569202027,0.009006909349727444,0.0,0.0025319666435481424,1.0888066897352735E-4,0.9489879944891869,0.004098391849060301,0.004098024244609276,7.563638869407933E-5,0.004484954695645347,0.010011755638177026,0.0,0.0,0.0,0.0,0.0,0.0,2.5770027194996315E-5,0.00152764970642806,0.00340895156897121,0.0,0.0,0.003607124477165309,
16.0,0.011552998558669184,0.2141053976146669,0.011856894468310399,0.0,0.0026151881438348317,9.455853116405423E-5,0.9453820657676298,0.004098488032931167,0.004098055934031544,1.8613432966613292E-4,0.01120368500592438,0.026532175815820708,0.0,0.0,0.0,0.0,0.0,0.0,6.0809056472591204E-5,0.003656299875486914,0.008647335837420502,0.0,0.0,0.0038985468956553044,
17.0,0.03990834969520015,0.21537457448455177,0.015415614544144298,0.0,0.003764977939242557,2.126479313525996E-4,0.9487220053251512,0.004098296177510451,0.004098105085701536,9.890116325403882E-5,0.00588574389887579,0.01344483761918913,0.0,0.0,0.0,0.0,0.0,0.0,3.315892988376248E-5,0.0019715108208272947,0.004498199035709832,0.0,0.0,0.0044347455013283126,
18.0,0.03771967327512772,0.22782434398906096,0.024941693511430253,0.0,0.0032914300950244646,2.640491320976392E-4,0.9484647528540835,0.004098467205729806,0.004098157237493577,9.657396736635464E-5,0.005757021450172817,0.013116115495373127,0.0,0.0,0.0,0.0,0.0,0.0,3.231614701142208E-5,0.0019245761248182732,0.004379316190034003,0.0,0.0,0.004810535088687918,
19.0,0.04429112992951547,0.25353403045795686,0.030756609423347795,0.0,0.002156837717977436,4.970185982821826E-4,0.9492542113433302,0.00409840012843698,0.004098270100444846,6.043109935158775E-5,0.0035871441943207457,0.007883717417516811,0.0,0.0,0.0,0.0,0.0,0.0,2.0651999947054594E-5,0.001225767438526902,0.002693617142145488,0.0,0.0,0.0060519286075755374,
20.0,0.02326261872034001,0.26257110174785475,0.03597009253019099,0.0,0.004730386123518572,3.037859415122912E-4,0.9467402706593288,0.0040985864771708,0.004099391348040781,5.977115494742844E-5,0.003498760119105422,0.007748098230283706,0.0,0.0,0.0,0.0,0.0,0.0,2.044792005727989E-5,0.00119689917004123,0.002650452277719333,0.0,0.0,0.019072316464773878,
