"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.0710800329421413,11.785061362004088,0.04169266255155546,0.0,6.668591050494236E-5,0.0,4.810704345495988,0.023672777812750404,0.023896085820176556,4.5805543592900363E-7,0.030443436044440688,0.1764494925873074,0.0,0.0,0.0,0.0,0.0,0.0,3.120400114065527E-7,0.02074067716289796,0.1202181437361186,0.0,0.0,0.0029935052744771034,
2.0,0.04296440513031481,9.072650138644157,0.030781632404261985,0.0,6.970445576140099E-4,0.0,4.036747884076356,0.023723232345284243,0.023895518653784482,9.259265585122853E-7,0.01407201090893525,0.2586308691519806,0.0,0.0,0.0,0.0,0.0,0.0,6.444482891654594E-7,0.009798221374374022,0.18053866923521414,0.0,0.0,0.0019077937147558533,
3.0,0.035295892909646055,12.119306505838066,0.18664464484916993,0.0,0.0012095700362779772,0.0,3.9446447194114707,0.024123380391212493,0.023896693792228856,1.1792695762736658E-6,0.02281933842788454,0.2723706535316711,0.0,0.0,0.0,0.0,0.0,0.0,8.357135040177003E-7,0.016187690128429695,0.19377337121596963,0.0,0.0,0.0014780623327967967,
4.0,0.028406521143579305,9.978521580286923,0.08531444444617126,0.0,0.007448594480748523,0.0,3.855039481000567,0.02389123416450809,0.023896188077002216,1.1076847078783508E-6,0.016658673678413553,0.25676553978349226,0.0,0.0,0.0,0.0,0.0,0.0,7.89242046158495E-7,0.011881028787753871,0.18373689392106118,0.0,0.0,0.0011838638774684497,
5.0,0.028604021407030424,9.83681463715853,0.11505427963082492,0.0,7.280071108523801E-4,0.0,3.862261591544915,0.02374822884640141,0.023895856481528817,6.540786093804314E-7,0.009601905459794127,0.13367458072870286,0.0,0.0,0.0,0.0,0.0,0.0,4.453070243883045E-7,0.006537172234841545,0.09101061395533495,0.0,0.0,9.627424713473101E-4,
6.0,0.0369376393011432,9.81578470620479,0.10131587500639976,0.0,0.008184001132548422,0.0,3.958292827336839,0.02367946667816757,0.023895659991058797,5.949620152599115E-7,0.009319226645504301,0.13699639141919412,0.0,0.0,0.0,0.0,0.0,0.0,4.0585231466994824E-7,0.006357507875053958,0.09348252818757499,0.0,0.0,7.59890630649322E-4,
7.0,0.03397796030970518,10.54547181021951,0.08996609437101522,0.0,0.0016010377911696188,0.0,3.936469743295231,0.023784146321775914,0.02389531509400172,6.57540366010732E-7,0.010773559947543261,0.15317958883884858,0.0,0.0,0.0,0.0,0.0,0.0,4.6267616437941424E-7,0.007587111780435152,0.10817064123422529,0.0,0.0,6.768358576502669E-4,
8.0,0.02969553304359324,12.223064262592544,0.10821879566741799,0.0,0.0016405949529931583,0.0,3.871906372087809,0.023953940348727408,0.023895561968363562,9.100525329218905E-7,0.012060477831768123,0.2169278205083127,0.0,0.0,0.0,0.0,0.0,0.0,6.654999947347588E-7,0.008828218253760636,0.15931075489482444,0.0,0.0,5.691294850364765E-4,
9.0,0.03243019525076441,12.150273715365394,0.08757248848830722,0.0,0.002795137159249819,0.0,3.901600883918349,0.023805056856155013,0.023895334653098396,6.206195595255143E-7,0.00692711259858466,0.13983123734082137,0.0,0.0,0.0,0.0,0.0,0.0,4.389657523827524E-7,0.004903121937545726,0.0992831887080114,0.0,0.0,5.503897822465651E-4,
10.0,0.032929236497994875,9.743469174521085,0.08091034835829825,0.0,0.0014275331354440838,0.0,3.9171574193340066,0.023847146675691922,0.023895365816328718,5.790576569138662E-7,0.008499967886743374,0.14072323917033464,0.0,0.0,0.0,0.0,0.0,0.0,4.1054473950981903E-7,0.00603022564583862,0.1001758475597356,0.0,0.0,4.568360929069859E-4,
11.0,0.0304397511037761,12.286885784406333,0.12204657411830787,0.0,0.007395657810691411,0.0,3.885478392714873,0.02369926088115343,0.023895683835799972,4.245293206922584E-7,0.0065520189597011785,0.08864982587549255,0.0,0.0,0.0,0.0,0.0,0.0,2.8912387971530214E-7,0.004462313358535446,0.06037950659326188,0.0,0.0,3.62267024213343E-4,
12.0,0.028206270824948775,12.309663964074126,0.11386268440686094,0.0,0.006412095928766726,0.0,3.8599318448945428,0.02381648504167452,0.023896186646130153,6.196238644350025E-7,0.008356925702825771,0.14623088146373836,0.0,0.0,0.0,0.0,0.0,0.0,4.4412442353779354E-7,0.005994307394387555,0.10527719630186569,0.0,0.0,3.643584337682924E-4,
13.0,0.028899754392081763,11.145653562070764,0.09459952475507863,0.0,0.0035663903130356022,0.0,3.8622363912434925,0.023671720032766696,0.023895301996367864,5.028838207873107E-7,0.007003846755337654,0.11137127624213153,0.0,0.0,0.0,0.0,0.0,0.0,3.548488204631014E-7,0.004945856524499485,0.07888143210980794,0.0,0.0,3.8907388544002597E-4,
14.0,0.02817722266956537,11.843601121380537,0.1347694323659398,0.0,3.5816252020670796E-5,0.0,3.8640165409972655,0.023867152315058985,0.023895395887139858,4.567903353835221E-7,0.006532606217818267,0.10019519111283247,0.0,0.0,0.0,0.0,0.0,0.0,3.197646286702868E-7,0.004575920425159091,0.07036592453709763,0.0,0.0,3.767631527906245E-4,
15.0,0.03465890492661534,14.170488977575452,0.11885005348504274,0.0,0.002558384699461023,0.0,3.931703597644144,0.023887050652250517,0.023895882317272236,3.0867588282702214E-7,0.004151092882254212,0.07200993651409845,0.0,0.0,0.0,0.0,0.0,0.0,2.1108191727907364E-7,0.002839069516536005,0.04927634048342386,0.0,0.0,3.923376939455972E-4,
16.0,0.03198932855237911,11.382668719325032,0.09700210589754021,0.0,0.005672087180513978,0.0,3.9183490930833997,0.024009705789049155,0.023895520512838178,5.670485628930828E-7,0.0079945489418165,0.14533413442873053,0.0,0.0,0.0,0.0,0.0,0.0,4.1021442616512085E-7,0.005787736730033618,0.10562116470477792,0.0,0.0,4.670741112186393E-4,
17.0,0.03364921929209916,11.135047273256935,0.11107522686020957,0.0,0.0,0.0,3.916817317695388,0.023605318974025687,0.023895618810083064,3.768347191293161E-7,0.007325642892786501,0.08775162295964531,0.0,0.0,0.0,0.0,0.0,0.0,2.6241776134060997E-7,0.005104938238792219,0.06128261141816278,0.0,0.0,6.684750254554938E-4,
18.0,0.031411769042204524,10.529128613315896,0.1379780805982788,0.0,1.7119466690163947E-7,0.0,3.8953417545610005,0.023826185056329892,0.023896273857975783,3.6809118715056315E-7,0.0055669656636912705,0.08369332375679765,0.0,0.0,0.0,0.0,0.0,0.0,2.5695631813703006E-7,0.0038891565796262094,0.05860099188307095,0.0,0.0,9.189835169303362E-4,
19.0,0.030633934851837383,11.416920955506741,0.1393239223907716,0.0,1.6590611228536615E-4,0.0,3.8967870374753666,0.023843382745657074,0.02389695218953285,2.630780219507829E-7,0.0040537442913162235,0.058709771861407196,0.0,0.0,0.0,0.0,0.0,0.0,1.7934847359777439E-7,0.0027636973189709584,0.040033754433247346,0.0,0.0,0.0017652134262445224,
20.0,0.03033810867302994,11.401551925517888,0.14587872457121648,0.0,5.1198505528103116E-5,0.0,3.882127509188551,0.024082304274174664,0.023899154649160717,2.63248434168541E-7,0.004727839529006091,0.05933924798303898,0.0,0.0,0.0,0.0,0.0,0.0,1.7927780647719249E-7,0.0032198156983960563,0.040414540807721264,0.0,0.0,0.006710183216502766,
