"Mean size of fish species in cm, weighted by fish numbers in the catches, and including first ages specified in input."
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,36.162365,3.2188442,23.880804,29.456429,NaN,26.39958,NaN,25.57777,2.9875796,20.414888,25.073082,6.662366,18.082523,2.0205598,6.785919,49.823223
2.0,40.287292,2.212843,25.330053,32.253517,NaN,32.5343,NaN,29.587456,9.419761,24.049944,27.292116,9.852991,20.575579,4.517428,7.127704,42.677128
3.0,44.296997,1.8593502,24.821733,29.816065,NaN,38.696533,NaN,31.275152,5.1099424,25.453215,24.854994,11.886142,20.881954,15.189534,5.6134844,40.479164
4.0,46.20927,1.7686619,23.213,28.83939,NaN,43.943134,NaN,30.912388,5.452443,24.303684,25.52072,13.297793,20.89979,18.520473,7.275099,40.78351
5.0,46.161423,1.8669176,23.170038,26.473772,NaN,48.075146,NaN,29.758827,6.7848926,23.471033,25.825878,14.791232,20.929375,22.164492,8.470726,41.83023
6.0,46.033337,1.9525267,24.150248,27.46506,NaN,51.321938,NaN,30.121853,6.1872396,24.705782,28.251328,16.19713,22.25623,10.138277,9.773627,43.39473
7.0,45.16933,1.7992718,24.419525,27.274542,NaN,53.98664,NaN,30.699226,6.174187,25.727058,28.520039,17.410786,22.78757,17.943834,9.280521,45.04253
8.0,44.97169,1.8105938,24.048399,26.997763,NaN,56.13073,NaN,31.380653,4.404455,24.391422,27.51385,17.33851,22.986336,18.83864,9.753449,46.622196
9.0,42.046745,1.7133207,23.363764,25.818121,NaN,57.991608,NaN,30.561577,4.506469,23.925694,27.84021,15.167044,23.074753,17.398973,8.370604,48.14977
10.0,40.054092,1.8168433,23.680666,27.360224,NaN,59.435627,NaN,30.757847,4.8048043,24.851273,30.466532,15.573053,23.694752,14.381102,8.894217,49.75674
11.0,40.155964,1.8596042,23.93983,27.89916,NaN,60.64505,NaN,30.507696,5.2115006,25.361748,30.545061,13.550467,24.118328,17.141077,9.070291,51.204445
12.0,43.831142,2.211498,24.480507,28.541977,NaN,61.654785,NaN,30.992878,4.441091,25.53042,29.16176,12.350969,23.526855,18.512194,8.082857,52.774223
13.0,45.115,2.2031386,24.103235,28.379328,NaN,62.38856,NaN,30.622412,5.36417,24.523834,27.812391,14.0119915,22.648634,19.562263,9.281069,53.98793
14.0,45.653698,2.1925542,23.880642,28.418144,NaN,63.153893,NaN,30.49314,5.5945525,24.138647,27.02917,14.580686,22.839056,16.312235,8.893136,55.202873
15.0,45.22019,2.2875874,24.172247,27.552118,NaN,63.551723,NaN,30.166952,5.7883787,24.4581,26.53659,13.679477,23.030664,16.6584,9.069772,55.906487
16.0,45.56367,2.0892026,24.506092,28.49,NaN,64.19178,NaN,31.060814,5.4317636,25.900675,28.087162,13.494487,22.950272,17.108786,8.466284,56.14698
17.0,42.535164,2.2088532,24.556683,28.941607,NaN,64.60807,NaN,30.345268,5.451873,25.887169,27.54329,14.4667635,22.812649,17.620077,9.1708145,54.93762
18.0,41.185215,2.016382,24.731754,28.812231,NaN,64.87601,NaN,30.279118,5.135516,24.885338,26.93139,13.949683,22.935802,17.607698,7.8475013,53.1161
19.0,40.138657,1.983748,24.526562,28.948786,NaN,65.158585,NaN,29.790766,5.209636,25.169312,25.533411,15.1508665,23.241009,17.817974,9.169875,51.276413
20.0,41.139153,2.0879333,24.094902,28.917887,NaN,65.30882,NaN,29.99226,4.935437,25.308405,26.495388,15.101099,23.854445,17.881712,7.517458,49.97868
