"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,36.47539,4.095336,23.420109,29.26288,16.449348,25.070637,11.632844,24.979027,1.5238804,18.15429,24.690554,8.271044,14.127694,1.9045086,3.8961585,49.289036
2.0,42.18004,3.8582442,24.712894,30.8204,17.764729,33.46781,7.8570476,29.478376,3.3198748,24.419025,28.92043,9.893134,17.879335,2.167475,4.7771573,41.340374
3.0,44.98173,4.555163,23.687342,27.611996,11.255996,39.4608,7.6098123,30.289087,3.337104,24.919546,23.850822,11.819172,18.458723,10.500209,6.209372,39.598095
4.0,46.362175,6.5564666,22.612469,25.812983,9.928829,44.272686,13.991505,29.840263,4.183691,23.377148,23.298206,13.298939,19.708021,18.568941,9.591369,39.953197
5.0,46.912693,9.57256,22.203619,24.53691,10.304071,48.218727,14.016405,29.522722,6.9320965,21.965712,24.326942,14.814529,20.07315,22.667698,10.587951,41.14748
6.0,45.93222,9.647923,23.058155,25.567976,10.571743,51.35993,14.78038,30.985903,8.236606,22.470179,26.328823,16.25258,22.101173,12.588368,11.204151,42.710262
7.0,45.609577,12.600457,23.3409,27.75679,11.8579855,54.06006,13.834429,32.391693,6.653997,24.153507,25.894642,17.490078,22.642204,18.016457,13.361728,44.35506
8.0,42.884632,6.2579474,22.193546,25.133467,10.639633,55.98657,12.694587,31.918888,4.7441072,23.950415,27.481264,17.30473,22.472973,12.295163,11.310743,46.08391
9.0,40.487495,9.428903,22.611053,25.765284,10.893621,58.024952,12.434955,30.721193,6.9154215,24.534052,25.688068,15.139609,22.282608,16.91945,10.338151,47.626213
10.0,40.556526,8.885445,23.176666,26.32087,10.922247,59.560413,11.710665,31.519035,3.4240274,23.68189,26.812178,13.993803,23.915943,14.999287,11.266038,49.203705
11.0,41.45642,7.342069,22.767992,26.36077,11.678814,60.62878,11.840495,31.397116,5.130279,23.076849,26.58332,14.374075,24.368607,18.02715,12.161201,50.70238
12.0,44.540424,12.974491,22.8875,27.039476,11.368314,61.797337,13.444401,31.85213,6.729811,23.44317,29.025917,14.367275,24.746662,13.525934,12.837295,52.119717
13.0,45.34928,10.191696,22.452633,26.294302,11.238325,62.12896,13.380611,31.51677,4.2879095,23.185646,26.293877,14.539159,23.487278,17.624983,11.437282,53.304794
14.0,45.751904,8.903156,23.03018,24.412174,11.216167,63.22147,13.018064,31.223953,4.826328,23.761604,25.978304,14.582491,22.64294,11.462998,11.92028,54.630783
15.0,45.46624,8.010582,24.169186,25.15524,11.344059,63.931297,12.173584,31.1241,4.8050685,25.420101,28.560135,13.961314,23.939356,15.556829,11.665994,55.42247
16.0,44.920677,9.388255,23.262861,25.931421,10.618124,63.880707,12.536988,32.10643,5.092266,25.405611,30.220905,14.748451,24.140806,13.645801,11.906134,55.470108
17.0,42.859783,8.481023,22.295673,25.980959,10.498337,64.58386,12.839527,31.490208,5.5613823,23.840425,27.16755,14.366798,22.408693,18.22839,10.9385195,53.97392
18.0,41.375065,12.829692,22.601385,25.221111,10.875935,64.27156,11.59359,31.098104,4.792646,23.499537,26.89591,14.047472,21.900234,11.7771635,11.88591,51.988163
19.0,41.49291,11.822777,23.136168,25.034025,11.777422,65.35308,12.762172,30.969313,5.803539,24.186714,27.580162,14.825073,21.98303,16.277716,11.053859,50.168358
20.0,43.20474,12.342777,22.846132,25.406418,10.635715,64.81835,12.78366,31.294655,4.917352,23.324213,29.457016,14.83622,21.645252,12.90814,10.635911,48.869827
