"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,21768.87,14197.141,25795.672,90774.26,13469.736,3678.3923,23587.928,26952.135,48415.195,108857.97,44445.9,4270181.5,171448.7,4964737.5,59785.098,7435.7715,52021.703,29433.375,16463.96,17559.355,39341.47,45800.0,9402.784,457910.2,272108.8,91600.0,91600.0
2.0,23359.41,32983.69,35219.69,93018.305,117222.086,5542.5063,25495.709,31370.295,53739.996,93285.01,28880.84,4426555.5,53668.76,548701.5,288880.9,8116.3076,53219.2,29225.908,15947.398,17261.234,37955.32,45800.0,9101.973,451288.25,268434.0,91600.0,91600.0
3.0,22529.727,44158.734,43992.812,77983.94,546616.75,7166.532,22776.53,29876.924,62020.08,86548.45,21023.58,1525078.6,26185.309,132795.6,279769.44,8642.627,51153.547,29987.79,16952.51,17112.916,39800.91,45800.0,9348.098,445036.25,266443.38,91600.0,91600.0
4.0,20852.996,49870.84,40653.543,57357.074,1147337.8,8456.797,18409.44,27810.125,57637.96,66859.64,10470.164,386135.6,19276.176,17581.229,94053.84,9485.027,51432.473,32140.717,17324.836,18015.105,38319.867,45800.0,9613.781,454662.78,264137.53,91600.0,91600.0
5.0,19482.959,53521.656,45655.277,50907.19,1458824.1,9708.904,12009.824,28340.973,59274.727,61194.543,11988.03,97627.836,22415.758,21503.836,44678.867,10919.95,50703.336,30185.596,16756.383,17351.287,37669.48,45800.0,9348.676,455215.8,265129.7,91600.0,91600.0
6.0,18292.549,54860.098,45546.543,48841.293,1494994.5,10899.195,5365.573,30255.729,66511.46,57796.105,12770.814,34593.66,23013.826,42246.27,52010.434,13002.415,52573.766,30323.074,16568.242,17282.217,38353.49,45800.0,9495.598,454667.56,268450.12,91600.0,91600.0
7.0,16501.969,56056.246,45895.72,46089.316,1447234.1,11705.744,3456.735,31831.773,71983.555,56285.7,10390.705,15443.42,19564.285,56791.957,54422.07,15501.691,52169.863,29312.557,16502.82,17234.322,39030.316,45800.0,9286.089,456457.7,269976.12,91600.0,91600.0
8.0,13944.788,56913.742,40627.215,39569.39,1352469.6,11941.962,3627.4146,32257.174,78688.07,52782.918,9396.929,7688.2017,14371.646,65502.38,45388.445,18143.744,51419.95,30727.854,16828.66,17369.818,38299.11,45800.0,9219.673,455400.34,266255.25,91600.0,91600.0
9.0,10939.407,57065.04,44122.863,34510.363,1323868.9,11916.849,4532.2373,33829.85,81521.56,53561.473,10430.761,8277.55,13047.017,64745.97,59807.492,21098.945,51889.88,29711.979,16462.19,17279.656,38979.887,45800.0,9238.049,452816.9,268105.2,91600.0,91600.0
10.0,7933.021,56396.09,46025.17,32191.633,1452013.4,11917.809,5291.3022,35797.88,92725.234,56166.746,11214.92,20677.352,13216.256,46944.176,66691.04,24613.492,52752.72,29172.594,16660.502,17051.24,39736.406,45800.0,9334.929,457000.66,271871.22,91600.0,91600.0
11.0,6863.6694,40292.41,49915.14,33477.867,1499163.5,11893.606,5242.8677,38072.39,92155.06,62468.15,11293.883,37608.47,15650.842,77857.78,61625.566,28612.166,52079.703,29280.71,16665.877,17310.857,39778.074,45800.0,9294.303,454361.28,270163.6,91600.0,91600.0
12.0,7264.9873,29752.197,44267.56,32751.008,1451043.5,11725.054,5011.5005,40054.67,97298.664,58834.773,11012.91,46660.55,14481.389,58363.137,35442.34,32821.965,51685.387,30675.824,17197.627,17772.166,40011.047,45800.0,9365.874,456204.22,268616.9,91600.0,91600.0
13.0,7249.7417,30317.824,37133.25,31542.836,1417283.5,11377.435,4915.1787,41544.44,102591.79,55174.566,12149.447,42459.086,14277.634,45163.594,60378.793,37035.793,51710.234,29768.357,16360.526,16670.22,37638.46,45800.0,9062.807,448950.47,265484.3,91600.0,91600.0
14.0,7070.5557,31243.078,33374.086,31711.291,1425387.2,11080.982,5013.043,43627.734,100153.21,54807.508,13857.467,44137.133,17080.566,31633.89,53684.598,41600.3,53368.76,27861.719,15673.088,16831.373,38757.17,45800.0,9097.815,442797.1,268780.0,91600.0,91600.0
15.0,6855.785,31117.367,33494.117,32169.941,1383096.0,10833.267,4646.716,47888.66,98654.086,62061.766,14540.297,47622.652,18403.154,53570.617,48277.707,46535.22,51986.605,29772.27,16058.549,17258.861,38426.863,45800.0,9133.278,439618.8,265972.88,91600.0,91600.0
16.0,6541.004,32657.365,33304.086,29457.676,1377119.6,10447.193,4901.784,52274.055,106232.02,63206.25,13173.475,54450.41,15526.836,53300.71,55630.902,51284.816,52592.64,28315.865,15967.7295,16749.592,39013.723,45800.0,9227.259,446734.22,271329.88,91600.0,91600.0
17.0,5966.38,34569.16,37311.17,26499.512,1392892.8,9981.97,4977.013,56161.082,106351.19,61078.42,11871.214,63716.96,16284.478,46814.07,50525.97,56012.566,51678.9,29045.0,16254.3,16987.568,39910.32,45800.0,9224.666,446876.9,268299.1,91600.0,91600.0
18.0,5035.481,35697.895,33847.24,25783.986,1367221.4,9647.884,4683.693,61178.47,107349.875,65365.11,9797.863,63524.758,17459.328,39915.652,48555.375,61505.926,51991.992,28922.166,16320.879,17115.018,39787.773,45800.0,9117.526,442874.8,267244.12,91600.0,91600.0
19.0,4164.009,37547.0,35361.973,26005.111,1332154.5,9360.98,4563.2773,68606.19,112684.09,66589.46,9485.835,54523.465,20869.238,50717.52,53391.215,67728.61,51865.848,29680.893,16187.539,17059.271,38334.2,45800.0,9132.847,444729.66,266474.6,91600.0,91600.0
20.0,3797.2903,38335.125,29783.328,26004.473,1271226.2,9121.73,4168.6104,75399.06,116529.57,68090.57,9895.917,47545.684,23175.488,51421.223,44457.844,74461.66,51570.004,31717.059,16706.428,17911.863,38079.37,45800.0,9455.266,446659.1,264953.8,91600.0,91600.0
