"Distribution of the biomass (tonne) of prey species (in columns) in the diet of herring by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.56308264,9.971668E-4,0.002964342,0.02234543,2.7783547E-6,17.907505,1.9178719E-5,26.198334,0.0,3.7438346E-7,287.4734,0.11192968,1904.1884,0.0,0.0,0.22718821,42.995815,1.2995538E-5,2.9493256,7.79174,1441.0592,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.38919345,0.009008272,0.006205488,0.010478391,4.7848202E-6,2.0665379,1.4424155E-5,32.32576,0.0,0.039410606,354.6052,0.03573845,133.38895,0.0,0.0,0.0,0.0,0.0,1.124853,2.437412,771.8277,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.2388379,0.0024797784,0.042077355,0.01985525,1.7910722E-6,1.3064804,6.1534834E-6,41.80835,0.0,0.061155178,318.45807,0.026042972,153.7815,0.0,0.0,0.0,0.0,0.0,0.09041907,1.5344267,467.16025,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.82920885,9.327659E-5,6.0132047E-6,0.005973348,2.546792E-5,0.2971686,2.3706493E-6,32.67489,0.0,0.08010814,287.2229,0.01972394,128.2641,0.0,0.0,0.0,0.0,0.0,0.0,1.0353799,346.89758,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,2.7244798E-7,0.0019596093,6.0720195E-4,0.003626227,6.1419914E-6,0.9302148,3.573112E-6,24.517035,0.0,0.3304628,243.83257,10.030691,114.188545,0.0,0.0,0.0,0.0,0.0,0.0,0.7914784,262.39304,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,7.2204543E-6,2.680764E-4,9.5305266E-4,8.2327845E-4,9.511418E-6,0.3600615,3.7241402E-6,13.441986,0.0,0.36984545,157.38802,15.888824,73.34342,0.0,0.0,0.0,0.0,0.0,0.0,0.48694292,152.91328,0.0,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.081807174,9.81782E-4,9.459829E-4,0.0013116854,2.937774E-6,0.45781726,1.1142976E-6,14.713769,0.04503967,0.10885993,106.012886,14.777394,45.960407,0.0,0.0,0.0,0.0,0.0,0.0,0.3949751,119.2238,0.0,0.0,0.0,0.0,0.0
1.0,7.0,0.0,6.057442E-6,5.1984325E-4,9.3818653E-7,0.0026974329,4.6577824E-7,1.4343892,3.1193679E-6,4.063075,0.6289815,0.010200179,108.915535,14.402883,32.454254,0.0,0.0,0.0,0.0,0.0,0.0,0.32958385,88.241585,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.0,3.576686E-8,7.524635E-4,2.9095836E-4,0.00146125,9.303604E-8,0.034195185,4.544705E-7,5.9724417,0.0,0.12322557,76.10373,31.529253,31.975967,0.0,0.0,0.0,0.0,0.0,0.0,0.17717324,61.98057,0.0,0.0,0.0,0.0,0.0
1.0,9.0,0.0,1.3907322E-6,3.189953E-4,1.2247533E-12,3.077514E-5,8.2358795E-8,0.106134966,2.8272044E-7,6.488228,0.0,0.0064634234,75.84539,6.1832547,22.647707,0.0,0.0,0.0,0.0,0.0,0.0,0.14944583,51.176727,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.078331016,3.8058223E-4,0.01631052,0.0053295917,5.7207266E-8,0.13923413,1.4585208E-6,0.988706,0.018726142,0.10268027,54.8895,3.0427485,13.838187,0.0,0.0,0.0,0.0,0.0,0.0,0.17562228,49.956757,0.0,0.0,0.0,0.0,0.0
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
