"Distribution of the biomass (tonne) of prey species (in columns) in the diet of mackerel by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,3.4412017,0.39763153,2.2151072,2.1838293,0.025436973,19.745903,0.036090866,77.592926,0.16559286,0.023950478,226.73334,167.84274,193.98553,0.0,0.0,0.0,0.0,0.0,3.439375E-4,6.2596145,835.41864,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,30.674973,0.8581911,2.3552606,4.7281103,9.706998E-6,44.966724,0.098839894,21.995499,23.823294,4.604063,229.70494,367.76025,665.9314,0.0,0.0,0.0,0.0,0.0,0.0,11.000871,1558.0669,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,4.442452,0.14036325,0.12766203,2.6900873,8.50763E-6,8.367922,0.0027312727,0.8506615,7.7280436,0.83644974,19.783987,45.188065,92.530266,0.0,0.0,0.0,0.0,0.0,0.0,1.3474096,210.03989,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.81974274,0.040725622,0.16789348,0.39748767,2.1553146E-6,1.3217889,4.1105313E-4,0.44961214,1.5449126,0.089850314,4.048025,10.379786,13.827259,0.0,0.0,0.0,0.0,0.0,0.0,0.20303708,37.27638,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.2650522,0.039579295,0.009859284,0.25729907,5.5001937E-7,0.41217574,1.5223719E-4,0.08622608,0.66700375,0.15346341,0.4502881,3.4979727,2.3611116,0.0,0.0,0.0,0.0,0.0,0.0,0.04501099,7.8210454,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0077032717,7.60986E-4,4.3316024E-5,0.081009775,2.1330521E-5,0.007949775,2.8991906E-5,0.04098925,0.91487646,0.008044483,0.26735398,2.6321404,1.7571372,0.0,0.0,0.0,0.0,0.0,0.0,0.012924073,2.5126925,0.0,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.041850064,0.0043608434,0.0012631145,0.06622443,1.9660494E-5,0.02554939,4.8744336E-5,0.13480225,0.57536435,0.008248904,0.66821814,1.6270971,0.8987007,0.0,0.0,0.0,0.0,0.0,0.0,0.012110004,2.2185664,0.0,0.0,0.0,0.0,0.0
1.0,7.0,0.0017263673,0.04269436,8.315506E-4,0.0019514319,0.07642044,1.07290696E-4,0.07647599,4.7586705E-5,0.066101804,0.75197595,0.0042115627,0.30848378,1.4175256,0.5631109,0.0,0.0,0.0,0.0,0.0,0.0,0.0079129785,1.8020985,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.0028187153,0.027745059,0.004777032,7.4375496E-4,0.09131933,1.7990606E-5,0.030588271,4.249314E-5,0.046511374,0.66822803,0.03639097,0.32142293,0.9743871,0.7678551,0.0,0.0,0.0,0.0,0.0,0.0,0.0041168686,1.3248208,0.0,0.0,0.0,0.0,0.0
1.0,9.0,0.0064092265,0.02069849,4.398447E-4,9.903264E-4,0.114518344,0.0078464085,0.03059245,4.5983277E-5,0.016085593,0.39247885,0.019524839,0.26833838,1.0390314,0.6449418,0.0,0.0,0.0,0.0,0.0,0.0,0.0056712283,1.0833377,0.0,0.0,0.0,0.0,0.0
