"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,3.9344225,3.5153668,3.4612207,3.9651175,3.4462297,3.8819973,3.6942742,3.3629432,3.4106243,3.7090464,3.6991782,3.271297,3.395763,3.39316,3.4759765,4.0479145
2.0,4.17223,3.4786103,3.5910678,4.1002564,3.4540153,4.0447273,3.6521187,3.349378,3.4638476,3.835098,3.8589048,3.333711,3.4580202,3.5573618,3.777156,4.16636
3.0,4.0947547,3.4682164,3.504674,4.0968432,3.4147878,4.1004066,3.5512881,3.343604,3.441792,3.6638796,3.730517,3.3735936,3.3867059,3.6133955,3.6836755,4.1062737
4.0,4.073046,3.4171307,3.4725168,4.0766277,3.4170022,4.1639013,3.4612293,3.3048525,3.372314,3.7131696,3.7975707,3.3595414,3.3862624,3.6693377,3.5295615,4.0898404
5.0,4.101098,3.372586,3.4107256,4.081828,3.3616633,4.1945076,3.4912143,3.2944283,3.3063185,3.7139845,3.795754,3.3935628,3.3805397,3.7570713,3.5347416,4.080061
6.0,4.0812283,3.3519402,3.3954604,4.082842,3.345049,4.236561,3.6852252,3.299462,3.3164454,3.696132,3.8060174,3.4507747,3.3792198,3.7715986,3.4708447,4.0728445
7.0,4.1327343,3.3457918,3.4155157,4.0810075,3.3538728,4.230012,3.9191358,3.29067,3.3134387,3.7163024,3.7752187,3.443376,3.3858461,3.7721996,3.5371306,4.084256
8.0,4.1254206,3.317356,3.44261,4.0661254,3.3636045,4.2694407,3.8782086,3.2955685,3.3114846,3.7583861,3.8678186,3.4675984,3.4003694,3.8354998,3.5522227,4.08411
9.0,4.1309166,3.3345935,3.4415252,4.0912013,3.3737218,4.296246,3.8582826,3.2960298,3.3172452,3.8077178,3.8988712,3.4575627,3.4002383,3.852672,3.5120091,4.1095448
10.0,4.09456,3.3438885,3.4550362,4.073948,3.370313,4.3028235,3.8241544,3.2970955,3.312616,3.7705991,3.815624,3.3946874,3.4208605,3.8270035,3.609037,4.10731
11.0,4.068334,3.3695414,3.4627645,4.0824375,3.3518164,4.294488,3.793382,3.2954383,3.30687,3.7526815,3.8485477,3.4080367,3.3911505,3.7539809,3.5807495,4.1090326
12.0,4.0763617,3.3927972,3.3839564,4.091832,3.3532488,4.2894278,3.8168745,3.2962523,3.2975361,3.735604,3.8063416,3.4839408,3.4162068,3.8296988,3.5199773,4.111937
13.0,4.1056066,3.4039633,3.4220471,4.079286,3.360977,4.293365,3.829429,3.290786,3.303592,3.7585583,3.8002992,3.4638631,3.4023204,3.8223295,3.5287206,4.128529
14.0,4.093132,3.4121974,3.4652634,4.079369,3.3584795,4.3106976,3.849902,3.2976677,3.3244083,3.7723744,3.864525,3.4546442,3.4120703,3.74386,3.5653496,4.1155143
15.0,4.114257,3.3906183,3.4367769,4.0787272,3.3534012,4.3042507,3.8389955,3.2922237,3.3137515,3.7825587,3.8914604,3.485908,3.3926895,3.797762,3.5925927,4.1279836
16.0,4.110698,3.3781774,3.452083,4.073267,3.360207,4.2974744,3.8502436,3.2898824,3.3101678,3.786645,3.8283098,3.3903718,3.4014952,3.8084493,3.5635293,4.121981
17.0,4.1333966,3.382444,3.4553769,4.0861735,3.3643582,4.3253922,3.8698204,3.2970822,3.3310153,3.7549968,3.8349245,3.3979356,3.3996184,3.7882419,3.5563827,4.132507
18.0,4.0972667,3.3809488,3.439045,4.062695,3.357907,4.307535,3.8648772,3.2935894,3.3183644,3.7352777,3.8613384,3.42348,3.3967767,3.7791564,3.5604725,4.123099
19.0,4.0846853,3.3561776,3.4467025,4.066933,3.3547115,4.3156176,3.8297837,3.2896168,3.3213632,3.7787714,3.8153262,3.371769,3.395211,3.8859923,3.569251,4.130899
20.0,4.1030846,3.3487935,3.4398427,4.0769134,3.3544996,4.307006,3.8531208,3.291785,3.3065982,3.8097622,3.833296,3.512199,3.4109185,3.8074527,3.5848844,4.132858
