"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,16.247139,3.6633124,13.519601,1.8610429,5.412404,16.745852,1.9292644,3.8291228,1.3199422,1.518101,11.210994,4.57592,7.8677244,1.922733,3.7257476,17.062471
1.0,1.0,23.06745,22.11917,24.322876,7.6207623,14.342838,22.556295,16.36871,25.590784,5.6279716,18.400497,27.445494,8.920362,14.384981,2.6220415,24.861069,27.37323
1.0,2.0,30.298326,25.057764,29.348593,31.992395,17.007545,36.361782,21.044466,29.053284,21.323952,20.360209,27.3772,20.625515,20.48954,NaN,NaN,39.097668
1.0,3.0,36.750225,30.048462,32.414413,35.931313,18.753706,47.797092,23.852732,31.499619,25.263256,23.581608,30.744488,23.908846,22.794104,NaN,NaN,48.251686
1.0,4.0,42.367374,33.89077,NaN,37.94793,19.911787,57.40667,25.519592,33.207066,28.669695,26.102667,33.399868,26.127943,23.804579,NaN,NaN,56.044975
1.0,5.0,47.399796,37.129387,NaN,39.034256,NaN,65.60298,26.545742,34.41308,31.51832,28.26828,35.304718,27.652256,24.2402,NaN,NaN,62.901573
1.0,6.0,51.829563,39.834904,NaN,39.599693,NaN,72.35122,NaN,35.253796,33.951347,30.086515,36.808014,28.677454,24.437496,NaN,NaN,68.79598
1.0,7.0,55.757538,42.050316,NaN,39.89872,NaN,77.94055,NaN,35.848083,36.05359,31.636831,37.913033,29.418653,24.526707,NaN,NaN,73.9237
1.0,8.0,59.28767,43.904423,NaN,40.05814,NaN,82.46257,NaN,36.261597,37.819305,32.921684,38.775627,29.905245,24.567255,NaN,NaN,78.37788
1.0,9.0,62.444935,45.454124,NaN,40.14367,NaN,86.20736,NaN,36.554012,39.330215,33.943127,39.4834,30.247122,24.585526,NaN,NaN,82.25357
1.0,10.0,NaN,46.74218,NaN,40.18889,NaN,89.21788,NaN,36.760574,40.611973,34.80568,40.018044,30.477451,24.593174,NaN,NaN,85.6352
1.0,11.0,NaN,NaN,NaN,40.21269,NaN,91.814026,NaN,36.903717,41.706642,35.5454,40.44096,NaN,24.596891,NaN,NaN,88.5644
1.0,12.0,NaN,NaN,NaN,40.225605,NaN,93.92785,NaN,37.006733,42.637737,36.146908,40.773643,NaN,24.598776,NaN,NaN,91.100975
1.0,13.0,NaN,NaN,NaN,40.232197,NaN,95.19394,NaN,37.07849,43.431572,36.647015,41.040623,NaN,24.599329,NaN,NaN,93.31053
1.0,14.0,NaN,NaN,NaN,40.235817,NaN,NaN,NaN,37.129322,44.10662,37.071743,41.245834,NaN,24.599966,NaN,NaN,95.23127
1.0,15.0,NaN,NaN,NaN,40.23767,NaN,NaN,NaN,37.16458,NaN,NaN,41.407047,NaN,NaN,NaN,NaN,96.89836
1.0,16.0,NaN,NaN,NaN,40.23882,NaN,NaN,NaN,37.190014,NaN,NaN,41.53419,NaN,NaN,NaN,NaN,98.34918
1.0,17.0,NaN,NaN,NaN,40.239296,NaN,NaN,NaN,37.207954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.610985
1.0,18.0,NaN,NaN,NaN,40.240044,NaN,NaN,NaN,37.22031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.70794
1.0,19.0,NaN,NaN,NaN,40.240047,NaN,NaN,NaN,37.229042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.659676
1.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,21.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,14.378639,3.2051535,9.033386,1.6812946,1.9829538,1.5013571,1.7277163,2.820855,2.174205,1.4691851,2.6436343,5.8207836,1.6209377,4.4562883,2.3299744,17.603073
2.0,1.0,24.945284,15.000588,27.180912,6.9698186,15.351792,25.42168,6.367668,6.220932,4.3782916,10.781332,29.861027,10.110703,13.049289,3.1667123,13.436522,25.886494
2.0,2.0,30.970911,26.976736,30.335955,11.695217,20.275955,30.11479,20.37845,31.09181,22.920784,22.90659,31.821186,11.6413765,17.581926,NaN,NaN,35.424225
2.0,3.0,37.271896,29.133997,33.079624,33.833122,20.941063,42.49351,23.949017,32.93808,26.918444,24.288593,30.992687,22.79196,21.293432,NaN,NaN,46.008484
2.0,4.0,42.933952,33.401802,NaN,36.900524,21.369886,52.85647,25.67255,34.22946,30.032429,26.73341,33.63732,25.360826,23.194622,NaN,NaN,54.23864
2.0,5.0,47.856117,36.695854,NaN,38.46285,NaN,61.595078,26.64453,35.13044,32.73687,28.697533,35.74439,27.150616,23.968815,NaN,NaN,61.25112
2.0,6.0,52.27296,39.459908,NaN,39.3062,NaN,69.05995,NaN,35.754646,35.010113,30.488718,37.16291,28.378334,24.324495,NaN,NaN,67.42265
2.0,7.0,56.163647,41.77502,NaN,39.74449,NaN,75.20052,NaN,36.20556,36.914627,32.001804,38.300995,29.207111,24.475388,NaN,NaN,72.725006
2.0,8.0,59.614655,43.67785,NaN,39.97585,NaN,80.29011,NaN,36.52031,38.587303,33.276295,39.08248,29.779423,24.54201,NaN,NaN,77.33922
2.0,9.0,62.71456,45.264854,NaN,40.099213,NaN,84.40284,NaN,36.73259,39.97882,34.310215,39.699993,30.141953,24.575403,NaN,NaN,81.34686
