"Distribution of fish species biomass (tonne) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,238.71466,1693.8239,3510.1106,126667.66,49417.61,107.57929,6946.355,18387.578,16498.55,44071.07,13879.88,9791617.0,36059.543,345322.88,41291.723,48.46638
1.0,1.0,868.8976,5470.9927,12975.853,31038.51,798.8693,1363.9437,7553.674,16255.018,12141.081,44306.71,30371.195,444371.16,57712.395,74787.0,10787.908,103.852936
1.0,2.0,1309.3541,828.3343,5359.411,13924.002,1230.9874,1598.2649,4866.318,4203.2856,8055.569,12893.093,3860.6511,50664.91,35337.746,0.0,0.0,148.22855
1.0,3.0,1864.045,465.32822,3295.9077,8790.436,1379.7751,611.89417,3835.9924,1524.5254,5476.423,11030.833,612.39996,40453.195,22431.521,0.0,0.0,216.0892
1.0,4.0,2470.1436,416.3959,0.0,5989.3315,1204.5822,87.26342,3121.2837,720.1325,2974.4158,7505.967,129.22,29642.887,15367.917,0.0,0.0,272.62753
1.0,5.0,3015.5842,356.25116,0.0,4242.534,0.0,12.761231,2586.106,405.74677,1620.1898,6602.0654,63.82353,18035.996,11314.79,0.0,0.0,322.5531
1.0,6.0,3424.364,324.6271,0.0,3422.9104,0.0,2.9469035,0.0,285.0295,930.2733,5674.543,49.70321,13480.337,8269.6,0.0,0.0,368.90738
1.0,7.0,3419.5315,308.71237,0.0,2707.8765,0.0,1.1878138,0.0,204.64629,591.4708,4722.497,39.40048,10441.627,5981.9263,0.0,0.0,402.81888
1.0,8.0,3140.7607,282.98895,0.0,2120.032,0.0,0.6525465,0.0,148.2524,446.77744,4217.184,32.21711,8275.34,4797.2314,0.0,0.0,424.43527
1.0,9.0,2942.63,252.47253,0.0,1656.1879,0.0,0.41268942,0.0,108.36905,373.4832,3937.5813,28.521778,6412.274,3875.6536,0.0,0.0,435.9062
1.0,10.0,0.0,220.52994,0.0,1359.0298,0.0,0.23195876,0.0,83.03251,320.3672,3596.7566,25.678059,5163.5405,3244.9092,0.0,0.0,451.11865
1.0,11.0,0.0,0.0,0.0,1203.2472,0.0,0.15183102,0.0,68.744385,278.05194,3274.2336,23.11043,0.0,2636.6643,0.0,0.0,469.89938
1.0,12.0,0.0,0.0,0.0,1064.6182,0.0,0.11226767,0.0,56.902378,242.44305,2935.6938,20.640692,0.0,2202.1216,0.0,0.0,484.595
1.0,13.0,0.0,0.0,0.0,941.3084,0.0,0.007794059,0.0,47.141403,211.70816,2605.8545,18.21236,0.0,1825.2174,0.0,0.0,494.27637
1.0,14.0,0.0,0.0,0.0,832.3113,0.0,0.0,0.0,39.03033,184.79204,2319.056,16.108938,0.0,1552.7415,0.0,0.0,499.43607
1.0,15.0,0.0,0.0,0.0,735.80615,0.0,0.0,0.0,32.315525,0.0,0.0,14.212471,0.0,0.0,0.0,0.0,500.6023
1.0,16.0,0.0,0.0,0.0,650.30035,0.0,0.0,0.0,26.74783,0.0,0.0,12.481833,0.0,0.0,0.0,0.0,498.3133
1.0,17.0,0.0,0.0,0.0,574.70886,0.0,0.0,0.0,22.150547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.09445
1.0,18.0,0.0,0.0,0.0,508.08698,0.0,0.0,0.0,18.334917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.44055
1.0,19.0,0.0,0.0,0.0,449.10562,0.0,0.0,0.0,15.171299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.8044
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
