"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,9.477911667741541,4.194168779965698,0.22610331647709342,0.0,1.2491563372324597,0.00384337068099932,0.05259581901968852,0.0017008213653757049,0.001703501282679772,2.0292653309551864E-5,3.3190214286107976E-4,0.04595919015309738,0.0,0.0,0.0,0.0,0.0,0.0,3.171387754799324E-5,5.045142363282994E-4,0.04575611613041,0.0,0.0,5.108703192372402E-4,
2.0,7.400768614799893,7.220824684984698,2.3712633986856466,0.0,0.9138682779431723,0.414588667003718,0.04687176697178353,0.0016784685179411704,0.001700026816145789,2.493827182335551E-5,4.5641078365387105E-4,0.011986815004941503,0.0,0.0,0.0,0.0,0.0,0.0,3.907936305280803E-5,7.050437410212509E-4,0.01180788354047326,0.0,0.0,4.6106849862946106E-5,
3.0,5.9211164500785,9.991032481921055,2.1233229191384932,0.0,0.9770392308298833,0.23573161848389024,0.04310655972994443,0.0016828028988533777,0.0016976109511495914,3.07394649481023E-5,4.977903057307057E-4,0.03517502636767608,0.0,0.0,0.0,0.0,0.0,0.0,4.626697903310497E-5,7.397350053148065E-4,0.03430926317385975,0.0,0.0,1.46156942865658E-4,
4.0,5.614394204632322,10.515260496097905,0.5131019441323729,0.0,1.0603025517988118,0.14781465760889545,0.04247357541014136,0.0016900583845448542,0.0017028221228567886,2.239479957669861E-5,4.184692898333628E-4,0.04609246193930684,0.0,0.0,0.0,0.0,0.0,0.0,3.422207547663824E-5,6.128243862115003E-4,0.04255205620110215,0.0,0.0,2.1828333309436258E-4,
5.0,4.9046711170938,11.617210307393428,0.21519144739435406,0.0,1.1086073172455222,0.11868238284566833,0.04075760054118479,0.0016861185592916034,0.0017035780924292187,1.93896904674411E-5,3.70065264694631E-4,0.04670519837531963,0.0,0.0,0.0,0.0,0.0,0.0,3.036513189139718E-5,5.49100974659108E-4,0.044753599297004454,0.0,0.0,2.7283968263252996E-4,
6.0,4.784041584900271,12.19041122612861,0.20973877197386132,0.0,1.124566079996685,0.10312394056780959,0.040453091304134735,0.0017161078008977185,0.001703690974745983,2.866934352995165E-5,4.6669060917794856E-4,0.06641743675291235,0.0,0.0,0.0,0.0,0.0,0.0,4.166960494302445E-5,6.586873687914471E-4,0.06621403471229939,0.0,0.0,3.1797557549946386E-4,
7.0,5.242875739836364,10.921060125978597,0.0838969939944645,0.0,1.2020426709179701,0.12054848034893352,0.041596011769367836,0.0017012637875730042,0.0017035529543598953,1.682890325365868E-5,2.33505584142281E-4,0.056812644787117735,0.0,0.0,0.0,0.0,0.0,0.0,2.5955267814273065E-5,3.545508052003865E-4,0.050586907005455185,0.0,0.0,3.9731331825358684E-4,
8.0,4.358832576174171,9.618512937488852,0.17685351640774005,0.0,1.1720522229740127,0.11565117209664112,0.03964021677957767,0.0017106931046352131,0.001703696934050592,2.5026319619385382E-5,3.1285611792247726E-4,0.06223627914138991,0.0,0.0,0.0,0.0,0.0,0.0,3.502773397996418E-5,4.355541561044988E-4,0.0626179919302663,0.0,0.0,5.287367602466187E-4,
9.0,3.969442673255055,9.872110779108452,0.30803836823605096,0.0,1.1818120280279012,0.09054130908267717,0.038848399198555116,0.001713119264891107,0.0017018804609734703,1.5888890622932646E-5,2.0516791833259987E-4,0.05386344407002319,0.0,0.0,0.0,0.0,0.0,0.0,2.418674395423463E-5,3.070169530934856E-4,0.050513741579025245,0.0,0.0,8.996385821342565E-4,
10.0,3.582253646576473,10.847019957801493,0.26603398067201567,0.0,1.2118166903603356,0.09635391456543324,0.037729145269548285,0.0017157711232718023,0.0017009307647918863,2.143635978018005E-5,3.155489738770756E-4,0.062202640655881464,0.0,0.0,0.0,0.0,0.0,0.0,3.079827938104805E-5,4.4102585766833886E-4,0.05993384922206456,0.0,0.0,0.0016689879361803598,
