"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,8.020086908053326,6.252202633559304,1.0014852701198156,0.0,0.08923772960550974,9.740311824213314E-5,0.04388568701967562,3.0955098949132803E-4,3.1361260088609886E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13716636327794834,
2.0,6.243125567658089,7.136728933605954,0.1939957797465809,0.0,0.5302836695244804,0.2108419807466866,0.03716889318838878,3.102381450011074E-4,3.1303809983962796E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034194141604569114,
3.0,4.738072406285537,6.385043452741559,0.8513751037607102,0.0,0.6762608820101265,0.2841749552705849,0.03412003643526416,3.1063985493792333E-4,3.1294054499326725E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013550373066435245,
4.0,4.285724933773935,6.889598722700337,1.1578849618321345,0.0,0.8314466507897326,0.3454182763153229,0.03327393842627295,3.1053145862354665E-4,3.128674562525841E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.107539774401151E-4,
5.0,4.019742059169481,7.433971144417998,1.0984480045283704,0.0,0.8779419271672939,0.28394824594921325,0.032789254433668646,3.1195177380725946E-4,3.1255913253503244E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.894262159072256E-4,
6.0,3.450332552462327,7.310377245603978,0.7355559682259657,0.0,0.8421799448295387,0.2553530880258963,0.03165924974679568,3.119157145372709E-4,3.133691008377763E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11230191555947232,
7.0,3.558918885429798,7.650197841611098,0.8846701720892205,0.0,0.8356414574738945,0.24201707309904152,0.03191997556655946,3.128194532701473E-4,3.1303356800078486E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06785967525596974,
8.0,3.5940582406156993,7.0277128434775955,0.8081138856869221,0.0,0.829224624131365,0.21521512310344754,0.03191323115448615,3.125659899884906E-4,3.1378019539485925E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1529731303817948,
9.0,4.15439901770717,7.085454071123948,1.0263552927331885,0.0,0.8117564925531375,0.2559700831355362,0.03302396503671231,3.1239247408047777E-4,3.1341935516431273E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08515143165993368,
10.0,3.872989593126678,6.916633589102066,1.1514318405973996,0.0,0.8007110404154447,0.2663788135192251,0.03252703199152276,3.126292303792527E-4,3.1331032780675946E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07141527310414864,
