"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.11441641481002454,4.757533079394913,0.08869935322108298,0.0,0.015927194568279388,0.0036839381622519826,1.8840641689952538,0.0018774384896556454,0.0018968422985938301,5.405678881551492E-7,0.01260736879818131,0.05722165389780558,0.0,0.0,0.0,0.0,0.0,0.0,2.787312843381783E-8,6.501009242246109E-4,0.0029507873338219144,0.0,0.0,0.005262811367584261,
2.0,0.14054644125798668,10.858357806258896,0.2930365640536746,0.0,0.07880063007335786,0.19794354288943108,1.7643989868009395,0.0018378754415598493,0.0018972547396568396,4.2067564131364227E-7,0.0033752886764710477,0.04687381659388038,0.0,0.0,0.0,0.0,0.0,0.0,2.1687231064858598E-8,1.7400852502939045E-4,0.0024166815161686165,0.0,0.0,0.001282619894029044,
3.0,0.10939714881916365,8.911973733692761,0.08176584088998352,0.0,0.09499260592541003,0.25585905091088923,1.6404787245441632,0.0018570679541135091,0.0018966760554933529,5.724390710270631E-7,0.0032801836435225732,0.0475075605698232,0.0,0.0,0.0,0.0,0.0,0.0,2.9598127632197717E-8,1.696086935200063E-4,0.0024573310081841345,0.0,0.0,0.0010909646291143015,
4.0,0.11505050028401917,6.954771101567113,0.22779759261212343,0.0,0.13085221863757193,0.2319448881547278,1.6575245050935754,0.0018713682469007657,0.001897262988988613,4.05662658542897E-7,0.002298596694317035,0.03844959547466751,0.0,0.0,0.0,0.0,0.0,0.0,2.095041266351195E-8,1.1871261731371022E-4,0.001986273221603692,0.0,0.0,0.001700385548967643,
5.0,0.11566436131278661,8.750795353634668,0.175082653993119,0.0,0.09803101056675778,0.2345706291617758,1.662316542497052,0.0018886823966666698,0.0018972893491846251,3.4509914077886325E-7,0.0021352550879439915,0.028272504163571605,0.0,0.0,0.0,0.0,0.0,0.0,1.7791538482165663E-8,1.1008338128525864E-4,0.0014576925695616164,0.0,0.0,0.001635177105038061,
6.0,0.1264561490391277,6.657972159070341,0.16353592926501678,0.0,0.09998768373100012,0.2524769949558128,1.7048282915198116,0.0018585364762762756,0.0018969360819708241,4.1355224506781757E-7,0.002136136255466284,0.039188788004831054,0.0,0.0,0.0,0.0,0.0,0.0,2.1441017986990023E-8,1.107524898081681E-4,0.0020328650813214773,0.0,0.0,0.0017899431718888974,
7.0,0.10846363646950334,9.622373864106164,0.28777880860853644,0.0,0.06915714195541087,0.2114907939420849,1.636807212885347,0.0018785346083382071,0.0018976152131310647,3.0425551220334167E-7,0.0016619066316906806,0.025286738074635978,0.0,0.0,0.0,0.0,0.0,0.0,1.5702197344885112E-8,8.576999064630271E-5,0.0013052612377734323,0.0,0.0,0.0022849406417752302,
8.0,0.1084537367430811,6.979468376365761,0.17078930883024437,0.0,0.029031224712773668,0.23304299868462952,1.6355321318499607,0.0018774382319866945,0.0018971432948801954,3.838936883503394E-7,0.0015310581224075245,0.038825209228460035,0.0,0.0,0.0,0.0,0.0,0.0,1.996546462818485E-8,7.962968534293459E-5,0.0020205488019578196,0.0,0.0,0.004706129560132581,
9.0,0.11897996271722652,8.455186552479658,0.3749411423767058,0.0,0.15084581307824113,0.17800268054961213,1.6761766889466314,0.0018712589704135171,0.0018977679268341935,2.569363535575506E-7,0.0012998276230542097,0.0230819990201501,0.0,0.0,0.0,0.0,0.0,0.0,1.327342925855747E-8,6.715080800098369E-5,0.0011927725763504677,0.0,0.0,0.0067500559387931045,
10.0,0.11347332986901065,9.4796743680487,0.21307660900226075,0.0,0.06343250422580642,0.24462866582052178,1.6550134267925192,0.0018864209647492414,0.0018984383133287019,3.190925803027367E-7,0.0020748590078665955,0.025596954715691633,0.0,0.0,0.0,0.0,0.0,0.0,1.6558561844544945E-8,1.076750303339387E-4,0.001328990880867731,0.0,0.0,0.016854815818564954,
