"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.08143852203218596,9.020620312663183,0.658539799318181,0.0,0.44902944374155107,0.6123176567390592,3.8569909813425944,0.0014972813549391669,0.0015088450454110924,4.583321816268823E-7,0.011320859914156224,0.07980895050730033,0.0,0.0,0.0,0.0,0.0,0.0,6.874602254946914E-7,0.016979874168378425,0.11969892135323522,0.0,0.0,0.0038759567845635503,
2.0,0.05485861276151119,19.29970332085601,0.7592721936684333,0.0,0.0010675672244205,0.30504850625091434,2.940608107591345,0.0014897894810217977,0.0015084596632685126,8.941302862478753E-7,0.013557888148073401,0.09899897281521125,0.0,0.0,0.0,0.0,0.0,0.0,1.3411539742813669E-6,0.020335835373821907,0.1484886997173796,0.0,0.0,0.002555837276445756,
3.0,0.053066390003038894,12.011390548129995,0.3055970438087919,0.0,0.06104211766261636,0.2140321621249301,2.922596449530046,0.0014790954261925508,0.0015080610008364915,8.593759151028346E-7,0.041272412502783115,0.12753650389027088,0.0,0.0,0.0,0.0,0.0,0.0,1.2887437974617996E-6,0.0618797354836914,0.19120605708976465,0.0,0.0,0.003439989219938924,
4.0,0.050145575238221336,6.468677741835338,0.216998211551796,0.0,0.055565801129307396,0.2025743721517856,2.8501165249088083,0.0014777878715855864,0.0015089014442687349,1.2039149854645466E-6,0.03139237599496939,0.17171074357398616,0.0,0.0,0.0,0.0,0.0,0.0,1.8057142717244714E-6,0.047081638726778556,0.2575170673069168,0.0,0.0,0.002567205724763688,
5.0,0.053680469403340286,10.907843948402428,0.14772766906884954,0.0,0.049456828641998477,0.1990913537156635,2.9061649652926804,0.001469387447431616,0.0015085996924116612,8.204816154791692E-7,0.029760837961752818,0.1097727701415522,0.0,0.0,0.0,0.0,0.0,0.0,1.2306885196661938E-6,0.0446389725129761,0.1646492184615656,0.0,0.0,0.0019623453221659574,
6.0,0.041780482395731566,10.215999037217005,0.16090272827068722,0.0,8.040983326025941E-4,0.2355590098870498,2.7163411132208792,0.001470597366242314,0.0015086720806341465,9.066659050447911E-7,0.031232386005702405,0.12402438209023492,0.0,0.0,0.0,0.0,0.0,0.0,1.3594394797576166E-6,0.04681433024796467,0.18588385760380952,0.0,0.0,0.0013601649958379551,
7.0,0.04615780719366762,8.18390504878972,0.21235597468927891,0.0,0.0048636810349677725,0.23489795321632093,2.789621717777612,0.0014915781200204746,0.0015085977440420432,8.459994278219169E-7,0.02644619303347464,0.11395548067049939,0.0,0.0,0.0,0.0,0.0,0.0,1.2689050240418132E-6,0.03966371931771941,0.1709050404506949,0.0,0.0,0.0014520543305056536,
8.0,0.04389804993319272,9.976651142709684,0.1504430873350111,0.0,0.008679245413188343,0.1812074287845528,2.7442864238428144,0.0014772061010502329,0.001508773209945329,8.312693791301933E-7,0.030376702996781888,0.1398600068559266,0.0,0.0,0.0,0.0,0.0,0.0,1.2462357157853222E-6,0.045522554050348885,0.20956875495997868,0.0,0.0,0.001146649140321303,
9.0,0.043321808253990395,10.259516281569656,0.10382452299389401,0.0,0.002467413874187281,0.14900010268436714,2.7376722640626294,0.0014798751576974275,0.0015087141181151635,7.95345677399713E-7,0.028914704600302214,0.11878503495585359,0.0,0.0,0.0,0.0,0.0,0.0,1.192873122102623E-6,0.0433617785747859,0.1781289910527289,0.0,0.0,9.196630527257631E-4,
10.0,0.04439040999358809,10.032210746729653,0.10865603438867513,0.0,0.001964530713904291,0.19103404058130252,2.7614165137779048,0.0014725229091089012,0.0015084097579128588,8.121633587584951E-7,0.0274783431921481,0.14743929042919407,0.0,0.0,0.0,0.0,0.0,0.0,1.2177775696683213E-6,0.041189041134472616,0.22098167900168048,0.0,0.0,0.0010410326018625137,
11.0,0.04009945470555373,8.64895537859423,0.07421105420821669,0.0,0.020668972241632055,0.19150259718386112,2.698002570450121,0.0014760488241266723,0.0015087622287164235,5.48399332611709E-7,0.01905690058168427,0.0825968579768211,0.0,0.0,0.0,0.0,0.0,0.0,8.225807928847415E-7,0.028584117606022506,0.12388894371664216,0.0,0.0,0.00105806790569924,
