"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,11.238258514847843,2.6537834613936773,0.04134965051002577,0.0,0.9568712579408931,6.027219864294719E-4,0.14585325646917693,0.01680122097963639,0.016836787031175224,2.0210736136727833E-5,0.04236051605878791,0.36859100734773076,0.0,0.0,0.0,0.0,0.0,0.0,8.72277344301304E-6,0.003974533910071332,0.026808269601811444,0.0,0.0,3.183056489601672E-4,
2.0,8.181273125247259,3.906793698151766,1.6926842656328083,0.0,1.3965621608017917,0.4957957361438061,0.11880756915431666,0.016763382430546866,0.01684238419667929,2.2366828346572357E-5,7.434248245183094E-4,0.08807767008061074,0.0,0.0,0.0,0.0,0.0,0.0,9.855287608626285E-6,2.527493441870788E-4,0.006719541252397788,0.0,0.0,2.2305867510492143E-5,
3.0,8.07654998262029,5.916558792802945,2.1256355887996676,0.0,1.4491797356722909,0.6240524885869856,0.11856742505660106,0.016757571135701803,0.016821798587552336,3.344452880858602E-5,9.571711257424317E-4,0.014278986109833856,0.0,0.0,0.0,0.0,0.0,0.0,1.1221721461462034E-5,2.8683917063405457E-4,0.0019600501588894767,0.0,0.0,4.164018591702061E-6,
4.0,7.744763150698914,5.789359699120962,1.4682700555971941,0.0,1.3384277304599714,0.5267088893891317,0.11720123026755498,0.016724206196051774,0.016844229264551577,2.28313958897897E-5,8.168133868707681E-4,0.014706305315992109,0.0,0.0,0.0,0.0,0.0,0.0,8.418532339183326E-6,2.4203565679630726E-4,0.0020881898470632857,0.0,0.0,4.673506471289494E-6,
5.0,7.563134891220445,6.5413855589464225,0.992478935995014,0.0,1.393740455781163,0.48784629365623433,0.1156176749008037,0.01677756561584504,0.016854278287478406,1.6088571722753852E-5,5.942044059492437E-4,0.015155928353502334,0.0,0.0,0.0,0.0,0.0,0.0,7.055924437667585E-6,1.9983577581289539E-4,0.0023201279800869265,0.0,0.0,6.79060106768127E-6,
6.0,7.8954782949629,6.915628167667672,0.8338520962648606,0.0,1.1844457564827462,0.43408737295063365,0.1174772539412451,0.016841313271463515,0.01684913404843746,3.4802445488656364E-5,0.001394833722952024,0.030341944799296132,0.0,0.0,0.0,0.0,0.0,0.0,9.68846582534751E-6,3.2408648158470995E-4,0.004406117863857633,0.0,0.0,7.93807932635226E-6,
7.0,7.1725186851203055,7.066245284445039,0.6716346258464259,0.0,1.0682366625667337,0.42904101445158616,0.11311094041121818,0.016807827517369558,0.01686059780219911,1.545245405460818E-5,0.0010170741913020785,0.028070531105784544,0.0,0.0,0.0,0.0,0.0,0.0,6.062522465494994E-6,2.398838148823445E-4,0.003443015192565807,0.0,0.0,8.329720821885475E-6,
8.0,6.954050214234271,7.787757733261968,0.5458858069991098,0.0,1.1462010635972764,0.4070496621458053,0.1118084449253351,0.01689091313158817,0.01684809946694167,3.5840802889297536E-5,0.0015413812321042203,0.03350525848667864,0.0,0.0,0.0,0.0,0.0,0.0,8.436945409720743E-6,3.150569179693865E-4,0.004601038115822762,0.0,0.0,8.438213795516079E-6,
9.0,7.366274434804036,7.097963984457959,0.6883698469027547,0.0,1.0644841878785742,0.39371052806756374,0.11453048849780767,0.016843240257855586,0.016832480646503577,1.5283212855949337E-5,0.0010274871402223302,0.029499425349306645,0.0,0.0,0.0,0.0,0.0,0.0,5.495745761223476E-6,2.4201372067217665E-4,0.003680930455227982,0.0,0.0,9.27001734929362E-6,
10.0,8.01642650095728,7.253720420177228,0.5421426432934411,0.0,1.0965194186261407,0.3313471729339404,0.11830134630151871,0.01684488405458601,0.016849900866463194,2.6507913041772683E-5,0.0013411809958698054,0.04253664841472597,0.0,0.0,0.0,0.0,0.0,0.0,6.988307296427191E-6,2.743237198180371E-4,0.004975072704343861,0.0,0.0,8.779176936643571E-6,
11.0,7.756523937582525,8.508144085409327,0.765905864468102,0.0,1.0683907254029466,0.3371011974919377,0.11718534540010422,0.01687773744312065,0.016854759564167016,1.0268032178200514E-5,7.882836792849421E-4,0.03619335464519675,0.0,0.0,0.0,0.0,0.0,0.0,4.5765434783040955E-6,1.8497623743922822E-4,0.0036778024141442636,0.0,0.0,8.842899892621575E-6,
