"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.006366363710092382,0.040953979736365394,0.004804464556587863,0.0,3.203168538668284E-4,0.0,0.693645692982379,0.034711070943889547,0.03472322455481378,2.12548657014672E-4,0.008931253573007805,0.018803606457473997,0.0,0.0,0.0,0.0,0.0,0.0,7.237215593759724E-5,0.0030400399582714397,0.0063980739459212005,0.0,0.0,0.017587676632404486,
2.0,0.214217172554656,0.14204037745069,0.00804770035044611,0.0,0.0024421685691892554,4.203302640553879E-4,0.707541237849799,0.03471660017827109,0.03471753414853823,2.4159649818126903E-4,0.010296610861105412,0.020931904986474324,0.0,0.0,0.0,0.0,0.0,0.0,8.23659244358073E-5,0.0035094625419518086,0.007132412303746228,0.0,0.0,0.009641597470985827,
3.0,0.03079979891106117,0.02481335267179098,0.01072699360387423,0.0,0.0026387194702860313,3.1688617803111665E-4,0.6952840970705759,0.034710988202621196,0.034714568196146454,3.158440973662E-4,0.01309568856500132,0.028057821093214273,0.0,0.0,0.0,0.0,0.0,0.0,1.0576894219153796E-4,0.004381093320493715,0.009376238938445993,0.0,0.0,0.005488600028881096,
4.0,0.07460490941143286,0.0338030342780369,0.009007977446964101,0.0,0.008413509039507515,0.001100895486344418,0.6981803277654595,0.03471027359930819,0.03471347871489665,2.2665596973802993E-4,0.009360226880467852,0.02018251800516791,0.0,0.0,0.0,0.0,0.0,0.0,7.640013499309804E-5,0.0031526515117565996,0.006791524895283662,0.0,0.0,0.003991086665979601,
5.0,0.037521824885264454,0.03935319592030788,0.006629986135686617,0.0,0.013307187443887413,0.0015937013607229154,0.6957111627783518,0.03471307051245013,0.0347128336343868,1.7773652685913624E-4,0.007187583449069657,0.015490867035058446,0.0,0.0,0.0,0.0,0.0,0.0,6.058219696033282E-5,0.0024492982788539694,0.0052771542065278895,0.0,0.0,0.003125723213321018,
6.0,0.006646948459681081,0.04778562098247744,0.005460851548170231,0.0,0.009768652080308332,0.0017330960921048465,0.6936718868424668,0.034713925682222584,0.03471245827654474,3.0319788340003347E-4,0.012409221833293689,0.028084477599265387,0.0,0.0,0.0,0.0,0.0,0.0,1.0023997212133139E-4,0.004097911860894184,0.009261560626262074,0.0,0.0,0.002616918260215308,
7.0,0.0661960582797387,0.07540667287829506,0.004321537867100917,0.0,0.012264148459943204,0.0010951446697269316,0.697618388876191,0.03471134870577493,0.03471220587500376,1.5667669416435812E-4,0.0063137361867312124,0.013970488301820171,0.0,0.0,0.0,0.0,0.0,0.0,5.303756558242474E-5,0.002136040658055309,0.004722909367204539,0.0,0.0,0.002282040044360312,
8.0,0.05777967671302903,0.07676356689132083,0.004487226900604035,0.0,0.014406899399985523,0.0013395901203574398,0.6970548168102356,0.03471114641391584,0.03471204307816964,2.752505121083167E-4,0.011398621275550556,0.026264647738203063,0.0,0.0,0.0,0.0,0.0,0.0,8.992759245148987E-5,0.00372006269126396,0.008560743089068784,0.0,0.0,0.0020496910372762777,
9.0,0.01937021841794896,0.07658455359575855,0.004418172255543953,0.0,0.015235802210069475,0.0011731653985698803,0.6944935612893829,0.03471398190101082,0.034711937333153815,1.495589449751122E-4,0.005960450932839718,0.013537426490070838,0.0,0.0,0.0,0.0,0.0,0.0,5.0325065245284744E-5,0.002004011752485543,0.004546734848399173,0.0,0.0,0.0018896883897555198,
10.0,0.03367083493576492,0.09725252044887951,0.005040732974740791,0.0,0.00974579519987186,0.0013974625745254159,0.6954575457413603,0.034715243194330156,0.03471184878030047,2.2393190668747908E-4,0.00930955455939543,0.021111707367514956,0.0,0.0,0.0,0.0,0.0,0.0,7.375845270851975E-5,0.0030627996030205356,0.006936045155007705,0.0,0.0,0.0017717864711235766,
