"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,35.61521,20.31459,24.106365,4.078689,11.6875925,25.099834,4.5477915,5.0398993,2.0582578,3.0302212,24.495905,8.3706045,13.07371,1.9846019,6.1806273,49.4311
2.0,40.134598,18.240976,27.176506,5.5804443,6.848174,33.27549,6.0646167,4.9798307,4.928745,4.1174884,30.68702,9.986943,15.508555,3.619403,9.269949,37.07743
3.0,42.587185,20.014015,26.491312,6.1350584,4.545375,39.33337,5.9844484,5.5738587,3.8401368,3.1251016,30.482265,12.070112,17.772642,16.005465,5.129813,35.303795
4.0,44.258114,17.538244,25.304935,6.4407334,4.4496555,44.094803,7.5101185,6.2489543,3.5228407,3.22365,28.00994,13.388827,17.931684,18.46143,7.392929,35.989555
5.0,45.19811,23.029943,25.983776,7.00663,4.25973,48.23417,9.788375,7.5333076,4.139688,4.512159,24.00518,14.618517,17.469078,16.457333,7.731896,37.558205
6.0,45.250755,24.149336,26.07483,7.1472363,3.7355309,51.27079,7.6717796,7.2144337,3.407442,5.480918,28.910631,15.808705,17.859291,15.24255,7.8766437,39.5748
7.0,44.338478,16.579514,25.629774,6.9345374,3.497158,53.962025,8.999984,6.155467,2.8165503,5.1654124,27.285118,16.837984,18.299236,18.821846,8.341988,41.60449
8.0,41.170418,14.320866,25.641535,6.565302,4.0980215,56.189224,11.634542,7.119829,2.831018,4.5542827,26.182816,17.060781,18.642958,15.898938,9.313467,43.607807
9.0,39.503963,17.924398,25.57768,7.3409004,3.8516057,57.964382,11.89105,7.568044,2.7091713,3.9882748,29.9156,15.393827,19.625244,19.275434,7.699599,45.58913
10.0,37.98912,17.451447,25.65465,7.1445494,4.146001,57.912975,11.554362,8.108933,2.5629976,5.5131774,29.098064,14.114386,20.873312,14.453656,9.616084,47.385452
11.0,38.591293,16.395983,25.968094,7.5069194,4.570283,59.708027,13.558187,7.0184183,2.5500114,4.452125,32.886288,14.262219,20.648718,18.54377,9.507452,49.141136
12.0,41.25629,16.440321,25.721235,7.131928,3.8618371,57.32636,11.306696,7.6592975,2.7484958,4.2372417,29.254068,13.457363,20.732664,15.445708,9.649319,50.774773
13.0,42.72754,16.40474,25.692856,7.244487,4.0736384,61.865128,10.531429,5.9783134,2.5920222,4.832579,29.276514,14.277662,21.111345,19.251497,7.802838,52.218506
14.0,43.661125,17.154797,25.660015,7.0831137,4.076185,59.612965,11.131979,6.254621,2.8753128,3.9813926,27.22507,13.943631,21.221966,17.247103,7.8903465,53.711292
15.0,43.236286,18.456085,25.938837,7.3839555,4.5928183,57.310337,11.232641,6.719784,2.7190835,5.1425047,24.80288,14.831031,19.78891,17.869701,8.530647,54.096497
16.0,41.91647,18.63149,25.950115,7.462061,4.1050735,55.19161,11.099551,7.860085,3.071642,4.0598893,26.71713,14.491979,20.411922,14.262184,7.488017,53.81404
17.0,39.82205,19.378094,25.754824,7.4255753,4.374735,57.475204,10.845564,7.1679287,3.1556118,4.7876525,27.850445,14.693324,19.304977,18.353182,8.421611,51.133278
18.0,38.203007,20.493038,25.606455,7.468724,4.078056,59.96914,10.289042,7.15323,3.3969676,4.028202,30.114742,14.9525,20.709076,15.94793,7.6790085,47.973423
19.0,38.047825,21.044165,25.600735,7.0722136,4.3407927,59.49699,9.616959,7.088056,3.1372166,4.2908173,27.295893,15.111952,20.888006,18.68143,7.7872996,45.56476
20.0,39.580967,22.165186,25.934843,7.2670302,4.0780807,62.79118,11.657583,7.716916,2.9428802,4.9823704,28.00394,13.406478,20.20607,16.825047,9.151537,43.905838
