"Distribution of the biomass (tonne) of prey species (in columns) in the diet of horseMackerel by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.059409667,0.08846072,666.20685,3.2139752,6.255069E-5,98.66047,50.931828,48.48557,2004.4924,0.021561109,9.709109,24.10342,356.06366,0.0,0.0,0.0,0.0,0.0,322.3579,38.0975,2629.1912,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.49198654,0.3997358,630.202,106.69045,3.0516536E-5,124.45129,65.895325,53.77301,592.9086,3.278444,75.3534,97.10266,1160.6765,0.0,0.0,0.0,0.0,0.0,0.0,31.830284,2234.4197,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.23912883,0.18098949,167.55011,20.907917,2.5648286E-4,32.25337,27.653002,27.601503,69.09536,1.1030449,58.277817,70.5474,300.6576,0.0,0.0,0.0,0.0,0.0,0.0,9.298261,774.54095,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.13499948,0.16176222,95.53698,34.13815,1.1301731E-5,27.220455,14.817525,27.559116,79.61487,0.5451179,57.629032,85.32773,383.35794,0.0,0.0,0.0,0.0,0.0,0.0,6.998487,577.28894,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,2.902103E-4,0.058078703,24.465239,21.022833,0.024306817,6.2233224,9.287895,17.299984,34.047707,0.12857981,51.72644,47.852413,162.25142,0.0,0.0,0.0,0.0,0.0,0.0,3.2628176,339.11267,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.004255955,0.026239771,17.622087,16.42762,3.7114525E-5,6.963038,8.838418,17.63833,29.143757,0.06592482,50.3616,59.897793,135.94516,0.0,0.0,0.0,0.0,0.0,0.0,2.596276,284.47543,0.0,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0037349265,0.024592072,21.702084,15.266607,1.2154463E-5,4.322489,7.3358784,12.892402,35.006645,0.19396427,47.879993,64.026566,118.30068,0.0,0.0,0.0,0.0,0.0,0.0,2.0127766,222.96747,0.0,0.0,0.0,0.0,0.0
1.0,7.0,0.0,0.0029635467,0.023357362,12.92588,13.236414,3.756568E-5,4.8110137,9.266441,13.476307,36.713055,0.06364261,38.600624,59.645504,93.52452,0.0,0.0,0.0,0.0,0.0,0.0,1.5641403,184.38338,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.0,0.003435187,0.02966685,14.197453,11.774085,8.064255E-6,6.123981,3.9395165,11.898297,19.439995,0.111771956,45.02994,46.876705,83.44054,0.0,0.0,0.0,0.0,0.0,0.0,1.4134904,178.19731,0.0,0.0,0.0,0.0,0.0
1.0,9.0,0.0,8.8148424E-4,0.1240784,13.635035,13.986275,1.2836619E-5,5.973482,4.575414,12.0145445,24.09279,0.016323214,40.106537,45.634407,91.98555,0.0,0.0,0.0,0.0,0.0,0.0,0.92907757,147.18147,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0035611715,0.010033976,14.762543,12.939886,0.0010262234,4.2353563,1.8032598,7.9571323,20.12484,0.019080404,39.77004,47.101135,72.49781,0.0,0.0,0.0,0.0,0.0,0.0,0.96227723,141.87006,0.0,0.0,0.0,0.0,0.0
1.0,11.0,0.0,0.003840803,0.014087835,14.707162,11.3746395,8.666952E-4,3.910988,3.046206,8.2247505,28.387877,0.0012961553,31.44536,43.275642,71.49123,0.0,0.0,0.0,0.0,0.0,0.0,0.7945667,119.0474,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.0,7.4057543E-4,0.11015722,8.400722,14.725626,0.30186477,3.0829508,2.7483966,3.6662357,21.554049,0.050158445,32.66329,38.846172,58.28507,0.0,0.0,0.0,0.0,0.0,0.0,0.70781946,112.78753,0.0,0.0,0.0,0.0,0.0
1.0,13.0,0.0,0.0010055923,0.002699702,7.315293,12.275597,0.13312674,2.6827343,1.7371951,9.130805,10.981806,0.1189738,29.28021,33.766552,58.829124,0.0,0.0,0.0,0.0,0.0,0.0,0.67013204,102.93257,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.0,1.7794135E-5,0.088321105,5.9747605,11.228195,0.0059500695,2.836562,3.8754408,3.895274,15.626757,2.968098E-4,23.952913,35.915344,55.43183,0.0,0.0,0.0,0.0,0.0,0.0,0.50096077,84.7248,0.0,0.0,0.0,0.0,0.0
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.15812404,0.007883628,397.9529,102.46996,1.4620722E-6,90.49768,43.11712,18.267654,2632.1912,0.03696247,0.3847687,0.2724261,77.68529,0.0,0.0,0.0,0.0,0.0,489.5052,44.102646,2577.7327,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.23136005,0.5242726,800.9395,658.77747,1.1668196E-4,212.08769,178.36902,161.95676,941.25085,0.30190727,73.07674,24.835054,905.94147,0.0,0.0,0.0,0.0,0.0,0.0,23.902742,1777.8278,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.0,0.55077296,2.7632275,751.13086,812.7664,1.802276E-4,68.195206,84.78639,22.044308,533.2044,9.760888,46.154953,13.797509,562.11725,0.0,0.0,0.0,0.0,0.0,0.0,32.951683,1715.936,0.0,0.0,0.0,0.0,0.0
2.0,3.0,0.0,0.22842203,1.2580639,227.25595,184.15448,3.9816845E-5,21.613482,31.699821,19.542297,113.65844,3.3558838,25.933475,8.480247,243.6239,0.0,0.0,0.0,0.0,0.0,0.0,11.2713375,554.211,0.0,0.0,0.0,0.0,0.0
2.0,4.0,0.0,0.061445206,0.48194718,85.686806,107.77107,8.521298E-6,12.146937,16.206661,12.2299,47.061657,0.5612701,28.084522,8.081283,163.13887,0.0,0.0,0.0,0.0,0.0,0.0,4.9643044,273.7017,0.0,0.0,0.0,0.0,0.0
