"Distribution of the biomass (tonne) of prey species (in columns) in the diet of lesserSpottedDogfish by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,1.2498541E-5,2.6823787E-4,2.804923,0.12271073,3.888616E-18,1.2263548,0.5659598,3.3341296,1.1600082,2.9464906E-7,1.2023311,0.050058767,0.29403993,0.47047478,0.0,0.0,0.0,0.0,0.0,0.003584283,1.13477,6.62387E-6,1.9915069,24.168346,3.970134E-7,0.0
1.0,1.0,0.0,0.0032338093,0.0052644243,17.466116,0.46596763,5.035069E-8,5.286215,9.057866,8.378054,9.898588,5.237427E-4,3.7411754,1.2221886,0.53364146,1.318411,0.0,0.0,0.0,0.0,0.0,0.0040323166,2.8818526,3.5038438E-6,4.1385183,61.265495,2.8353602E-6,0.0
1.0,2.0,0.0,3.7627103E-4,0.0010987066,6.8068576,1.2685372,1.1039983E-6,2.30597,1.7079018,4.429897,1.191954,2.2481925E-5,6.3683844,6.5143266,33.401775,13.995327,0.0,0.0,0.0,0.0,0.0,0.0,6.973728,0.0,8.91868,93.998314,9.358118E-6,3.0268295
1.0,3.0,0.0,4.2331504E-4,0.0014023333,7.1865754,2.9377482,1.1222034E-4,3.6719434,4.22167,6.5584936,2.1636908,0.0012465004,20.760859,11.003082,47.7109,23.603527,0.0,0.0,0.0,0.0,0.0,0.0,7.877715,0.0,8.895179,103.955284,1.0772773E-5,22.00093
1.0,4.0,0.0,0.0120447,9.956892E-4,6.930349,5.846124,3.7370748E-5,4.3917856,4.9568086,7.9965615,3.4932961,0.0019593218,21.020573,15.721397,63.015446,32.9263,0.0,0.0,0.0,0.0,0.0,0.0,9.170459,0.0,9.994131,127.43922,1.3168873E-5,48.069984
1.0,5.0,0.010592136,0.060087297,0.0018051899,6.1246996,13.3790455,0.028050307,5.088605,4.655459,8.15404,3.95634,0.0856661,29.684994,20.552238,74.85767,37.311752,0.0,0.0,0.0,0.0,0.0,0.0,9.954179,0.0,10.789259,148.54724,1.5326808E-5,67.46031
1.0,6.0,0.026796635,0.16071929,0.014384654,9.973775,16.646526,0.062675945,6.631424,8.51515,7.9947753,8.059503,0.1422532,35.78737,29.868889,77.17862,40.214653,0.0,0.0,0.0,0.0,0.0,0.0,10.065001,0.0,10.618857,165.61954,1.655788E-5,72.88783
1.0,7.0,0.076999865,0.17521349,0.30405858,9.607474,15.2379875,0.11269524,8.998431,6.9485097,6.933106,14.322544,0.4834652,44.761158,28.531149,88.47689,39.928562,0.0,0.0,0.0,0.0,0.0,0.0,8.258295,0.0,8.8931875,151.24278,1.5099977E-5,66.49348
1.0,8.0,0.11418128,0.2900108,0.8906894,8.513955,16.529427,0.2036802,8.772362,5.6061215,7.301011,16.218246,1.1923367,38.716255,29.726053,80.78225,37.31583,0.0,0.0,0.0,0.0,0.0,0.0,6.7911086,0.0,7.1173706,135.00119,1.3170087E-5,57.973644
1.0,9.0,0.019933566,0.32493913,0.77682054,6.9135866,17.518824,0.18606539,7.4904404,5.083795,5.4070206,18.055677,1.2313136,40.96951,28.763287,74.08197,30.53209,0.0,0.0,0.0,0.0,0.0,0.0,5.980724,0.0,6.269005,125.20328,1.2565161E-5,55.309414
