"Distribution of the biomass (tonne) of prey species (in columns) in the diet of thornbackRay by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.0015140786,2.3407898E-5,0.6127354,0.047044158,1.0375971E-9,0.13902847,0.14186443,0.22267567,0.3112447,1.19392826E-4,0.12130445,0.0217302,1.1865956,0.4114219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.771031E-6,0.75591373,6.9047894,1.6866077E-6,0.0
1.0,1.0,0.0,0.0017261882,0.0019350552,0.6737595,0.17225473,4.6489066E-9,0.19753556,0.19104022,0.30466104,0.3073376,4.6928923E-5,0.31245917,0.3223117,1.2901554,0.9694024,6.4111814E-6,0.0,0.0,0.0,0.0,0.0,0.0,6.8074814E-6,0.8958684,8.610894,7.3538433E-7,0.9043288
1.0,2.0,0.0,0.0064274254,0.0069433865,0.9569956,0.7475398,2.7650883E-4,0.31257424,0.27309838,0.4046048,0.61043406,0.0013677469,1.0883458,0.8817833,1.7230566,1.0928988,4.6999584E-4,0.0,0.0,0.0,0.0,0.0,0.0,5.668289E-6,0.90672714,9.328599,7.785562E-7,3.283889
1.0,3.0,0.0,0.052265998,0.050457574,1.1097413,1.2846668,0.013283257,0.3426559,0.5412285,0.73050475,1.1428993,0.044257578,1.7567211,1.7298495,2.6025853,1.2787613,0.001532113,0.0,0.0,0.0,0.0,0.0,0.0,6.4514857E-6,1.2564714,12.719893,1.1090264E-6,4.8753614
1.0,4.0,0.0,0.084159,0.32277834,1.6297055,1.535612,0.046815425,0.5159698,0.4965308,0.976521,2.029748,0.19383757,2.0850942,2.6120412,3.5587757,1.7977699,0.0037363272,0.0,0.0,0.0,0.0,0.0,0.0,6.071384E-6,1.4681784,14.67607,1.3087451E-6,5.755183
1.0,5.0,0.0,0.13318628,0.43655604,1.6856387,2.0191798,0.042157456,0.6037544,0.7709862,1.090225,2.1700258,0.31291798,2.9106271,3.9992821,4.3146644,2.3833416,0.006420629,0.0,0.0,0.0,0.0,0.0,0.0,5.035506E-6,1.591527,16.21848,1.4538041E-6,6.3953347
1.0,6.0,0.0,0.15722264,0.8474967,2.235954,1.8477615,0.06423754,0.9130255,1.1103086,1.3067571,3.0095446,0.691233,4.13732,3.7288733,4.806519,2.2162616,0.0073463884,0.0,0.0,0.0,0.0,0.0,0.0,3.7733944E-6,1.6624581,18.312254,1.5467301E-6,6.798191
1.0,7.0,0.0,0.17563012,1.0048852,3.549114,1.844702,0.06854758,0.9186702,1.0432625,1.5223922,3.3958633,0.7541548,3.8108492,4.3838816,6.449598,2.6151447,0.008430976,0.0,0.0,0.0,0.0,0.0,0.0,2.4696587E-6,1.6676729,18.464926,1.6214157E-6,7.1284804
1.0,8.0,0.0,0.16773029,1.1398576,3.594449,1.7402537,0.073566906,0.90627944,1.0697892,1.5389445,3.2661374,1.0781507,4.5289245,4.7939186,6.2176046,2.8726919,0.009558146,0.0,0.0,0.0,0.0,0.0,0.0,1.3634393E-6,1.7771026,19.663242,1.7124323E-6,7.5251336
1.0,9.0,0.0,0.17753267,1.2476076,4.226308,2.0573156,0.07193157,0.84160215,1.1906984,1.4904994,3.4331,1.0124103,4.929943,4.9533176,6.535515,2.9284463,0.011537321,0.0,0.0,0.0,0.0,0.0,0.0,2.2039596E-7,1.7270417,19.31391,1.7042678E-6,7.491507
1.0,10.0,0.0,0.20337129,1.3234392,4.294437,2.1855035,0.10056051,0.91155595,1.3899271,2.060673,3.7037294,1.2057233,5.0260262,5.359042,6.8906274,2.5530794,0.010842655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6833893,19.580706,1.6796403E-6,7.380358
1.0,11.0,0.0,0.21596938,1.3372662,5.464745,1.9442643,0.11158233,1.0194713,1.4578595,1.7147868,3.9994445,1.2260998,4.7878547,5.163699,6.564355,2.703004,0.013985822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7613634,21.353035,1.7683279E-6,7.767429
1.0,12.0,0.0,0.20171218,1.3825834,4.6841984,2.0791612,0.13679743,1.0252845,1.3096682,1.582696,4.3523808,1.1844716,5.2826967,5.377411,7.716453,3.1738348,0.0128206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7890928,21.539915,1.8026391E-6,7.921853
1.0,13.0,0.0,0.22075514,1.4470747,5.134151,1.7416434,0.17408882,0.96671486,1.5010457,1.7792833,4.605297,1.3148385,5.6180973,5.6909866,7.4604645,3.0121531,0.015977783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.802082,21.622204,1.8345219E-6,8.060571
