"Distribution of the biomass (tonne) of prey species (in columns) in the diet of whiting by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.009341011,0.83145803,0.011326878,4534.2095,4.005757,0.028060542,284.3686,297.93167,466.48615,2359.2092,0.05562906,8.769002,116.87511,482.40506,34.683006,0.0,0.0,0.0,0.0,0.0,36.403267,2243.148,0.013717982,1310.8243,6018.611,3.3729742E-5,87.19527
1.0,1.0,1.3675244,4.327234,9.711336,563.08325,117.85734,0.9604735,92.62521,210.49687,203.09793,430.4311,10.272967,191.3795,280.88043,445.679,174.09436,0.0,0.0,0.0,0.0,0.0,0.009526691,54.68008,2.32165E-5,73.2291,1355.339,9.23835E-5,406.27737
1.0,2.0,1.6091967,4.126018,6.9327617,221.59167,46.33194,1.3572708,48.90046,84.43967,74.42824,223.35252,10.773832,137.0596,186.00142,198.72073,77.80705,0.0,0.0,0.0,0.0,0.0,0.0,18.093773,0.0,22.976643,502.96323,3.945663E-5,173.39479
1.0,3.0,0.9850934,6.1630683,9.336052,126.797775,23.527996,1.7991834,33.50931,52.628937,43.09935,142.96416,13.170076,128.65874,139.73787,114.05608,52.905617,0.0,0.0,0.0,0.0,0.0,0.0,8.994824,0.0,11.406343,280.8122,2.233935E-5,98.133835
1.0,4.0,0.9107092,4.039305,10.430938,83.85211,16.637032,1.4042491,24.954596,36.318726,34.62586,90.9112,12.447388,76.62987,115.62982,81.78684,31.738386,0.0,0.0,0.0,0.0,0.0,0.0,5.364214,0.0,6.606089,180.49971,1.4374872E-5,63.165848
1.0,5.0,1.0199229,2.9290159,8.756339,71.55212,11.279745,0.91578215,16.820276,23.542526,24.144236,61.417038,11.930901,53.90253,83.257805,59.646275,19.120882,0.0,0.0,0.0,0.0,0.0,0.0,3.4484026,0.0,4.252761,121.010155,9.785626E-6,42.974815
1.0,6.0,0.8161747,2.6092412,7.9186907,56.643707,9.327603,0.7800122,14.132775,19.020332,20.199621,51.705635,11.703772,47.54476,64.05954,46.58692,16.732718,0.0,0.0,0.0,0.0,0.0,0.0,2.493501,0.0,3.1053262,93.277054,7.5270873E-6,33.05794
1.0,7.0,0.4582737,1.8888794,7.057008,44.232418,8.812519,0.7042829,9.921166,19.395514,13.231863,36.126526,7.6243753,33.274666,60.012264,31.524416,11.903684,0.0,0.0,0.0,0.0,0.0,0.0,2.1090136,0.0,2.658467,78.30742,6.2804465E-6,27.598263
1.0,8.0,0.3675588,1.3742642,6.6882725,32.096313,7.715581,0.48542896,10.055628,11.646951,10.543882,31.400414,5.33642,29.863974,42.05681,26.462273,10.578799,0.0,0.0,0.0,0.0,0.0,0.0,1.6501825,0.0,1.974932,59.042355,4.8523125E-6,21.324177
1.0,9.0,0.2042079,1.1057055,4.0622654,27.306051,5.2824316,0.42023984,7.717295,8.463387,7.1417975,23.934628,6.140226,23.32533,27.191679,21.809618,9.287233,0.0,0.0,0.0,0.0,0.0,0.0,1.3931292,0.0,1.6315901,48.914284,3.966774E-6,17.410368
