"Mean abundance (number of fish), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,9.834491E7,9.3248744E7,1.4218331E8,2.3398887E11,2.7544374E9,1.8975318E7,7.014036E9,1.2299287E10,6.6534117E10,8.256519E10,4.2221523E8,2.5807364E12,8.687658E9,2.2412891E11,2.1948513E9,4353277.0
2.0,8.39464E7,2.30103E8,1.15902504E8,2.9584087E11,3.429129E10,1.2941597E7,7.2988713E9,3.1448496E10,1.3371845E10,6.8492313E10,1.6198966E8,1.2251068E12,2.5890143E9,1.4860789E10,5.78816E9,8541481.0
3.0,7.438868E7,1.8614502E8,1.2665682E8,2.5846217E11,1.19897915E11,1.0781396E7,3.520172E9,2.2981317E10,2.109491E10,1.6464966E11,7.276652E7,2.4252773E11,9.916852E8,8.721827E8,8.578291E9,1.2608643E7
4.0,6.7616616E7,2.721499E8,1.2939761E8,2.4545924E11,1.7046548E11,9327061.0,3.4787466E9,1.2258727E10,1.727086E10,9.341796E10,9.539401E7,5.7763754E10,5.119616E8,2.0516146E8,6.838668E9,1.6567066E7
5.0,6.221716E7,3.312936E8,1.3767256E8,2.0328756E11,1.654965E11,8358425.0,1.7642758E9,8.677136E9,1.0454896E10,6.8583313E10,8.038642E7,1.6716015E10,2.9317654E8,1.8658794E8,3.5364547E9,2.0391106E7
6.0,5.8355748E7,1.9686581E8,1.672682E8,2.0637103E11,1.7270361E11,7508881.0,1.5180357E9,1.0562471E10,2.0547E10,6.3834644E10,7.2174264E7,5.519732E9,2.0929874E8,5.048949E8,2.1722875E9,2.3613956E7
7.0,5.6481012E7,2.0447906E8,1.9276171E8,2.0560205E11,1.7822012E11,6726174.0,5.2205494E8,1.1372669E10,1.730749E10,5.785077E10,7.269555E7,2.5784655E9,1.5271848E8,5.469811E8,2.4037238E9,2.654407E7
8.0,5.7295156E7,2.752295E8,2.3970445E8,2.4451159E11,1.799193E11,6141501.0,4.2276365E8,1.2115474E10,3.1548742E10,5.985083E10,6.5546016E7,1.3690916E9,1.0050809E8,3.2441613E8,2.3785935E9,2.9089594E7
9.0,5.9242704E7,2.81191E8,2.8142966E8,1.878335E11,1.6378279E11,5537396.0,3.4869446E8,9.482757E9,2.5170014E10,3.0693659E10,6.432586E7,1.1405061E9,9.642871E7,4.2567424E8,2.6920087E9,3.1359716E7
10.0,5.6088012E7,2.220554E8,3.216477E8,1.996284E11,1.9247163E11,4903727.5,2.5726643E8,9.349079E9,2.899487E10,4.9415746E10,5.5231944E7,3.1298094E9,7.098523E7,5.37578E8,2.6900193E9,3.3314344E7
11.0,4.9988124E7,2.0636438E8,3.3870256E8,1.8083385E11,1.4746611E11,4643381.5,2.2494622E8,7.92938E9,2.4897716E10,5.5710523E10,6.0335748E7,6.9718426E9,5.827194E7,5.436422E8,1.7194812E9,3.509819E7
12.0,4.773567E7,1.1464521E8,3.7232422E8,2.0805666E11,1.8391255E11,4300381.5,3.0992394E8,7.466524E9,3.8774325E10,3.4320679E10,6.5922204E7,8.4818217E9,5.0751656E7,4.0183648E8,1.6825661E9,3.694827E7
13.0,4.6321996E7,8.613275E7,4.5892637E8,1.8490348E11,1.642796E11,3843903.8,2.3419598E8,8.34591E9,2.1170516E10,3.863503E10,1.12360584E8,7.8332575E9,5.2858428E7,3.355086E8,1.27958E9,3.8625736E7
14.0,4.5186796E7,8.286888E7,4.1607018E8,2.2292315E11,1.9335224E11,3485208.0,2.9882726E8,7.5690977E9,3.3703434E10,6.6113176E10,9.215408E7,8.393648E9,5.6060428E7,2.8816643E8,1.6589482E9,3.9565776E7
15.0,4.341783E7,7.86963E7,4.1190784E8,1.9700821E11,1.4504593E11,3126177.5,3.041962E8,7.3333806E9,2.281571E10,4.318275E10,1.0771891E8,6.227185E9,5.5147644E7,3.1634467E8,2.0851241E9,4.0481636E7
16.0,4.2933624E7,1.0356219E8,4.6475366E8,1.6381013E11,1.786513E11,2781539.0,2.7223734E8,9.924124E9,2.2958414E10,6.6192003E10,1.0283697E8,1.4524666E10,4.770883E7,2.838914E8,1.7587203E9,4.243016E7
17.0,4.450651E7,1.0216841E8,5.0638058E8,1.5466635E11,1.5780248E11,2364749.0,5.758061E8,8.632633E9,1.4221885E10,6.140091E10,9.955109E7,1.1162799E10,5.09297E7,3.085204E8,1.6331414E9,4.8773024E7
18.0,4.4443164E7,7.989029E7,5.409775E8,1.532184E11,1.8204503E11,2223887.2,4.2099677E8,8.664958E9,1.5673574E10,3.5994776E10,8.5307496E7,6.310631E9,3.7336004E7,2.6582093E8,1.4350505E9,5.8260624E7
19.0,4.3129356E7,9.649101E7,5.710923E8,1.5782506E11,1.6132665E11,2147750.0,3.106111E8,1.1555031E10,1.492727E10,3.0551914E10,1.1879427E8,4.6406697E9,5.1203104E7,3.8653056E8,1.7370061E9,7.055658E7
20.0,4.182177E7,9.294457E7,5.29256E8,1.30724225E11,1.7750422E11,1885538.6,1.8201666E8,1.0016459E10,1.943084E10,5.997663E10,1.0004552E8,4.7629276E9,4.4257704E7,4.2135805E8,1.9095363E9,8.561634E7
