"cumulative catch (number of fish caught per time step of saving). ex: if time step of saving is the year, then annual catches in fish numbers are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,9531658.0,3667668.8,7438853.5,4.7098893E8,0.0,1199762.4,0.0,7.84398E7,5.2695588E7,2.1812187E8,2.0046291E8,7.914024E10,3.386619E8,2.8270765E8,7464619.0,74755.41
2.0,1.0232769E7,6933003.0,7332466.0,1.3159808E9,0.0,1418907.0,0.0,1.1380624E8,5.418461E7,3.01473E8,1.3203883E8,1.0306573E11,1.9935442E8,1.7437358E8,4.9495484E7,156307.86
3.0,9012974.0,7362923.0,1.0372261E7,1.9133631E9,0.0,1127746.4,0.0,1.1021308E8,6.4155948E7,3.3092752E8,8.181814E7,3.0843048E10,9.084719E7,6.4557116E7,3.7699932E7,327356.06
4.0,6113298.5,5387240.5,6928674.5,1.4467521E9,0.0,614304.2,0.0,7.353356E7,4.5969292E7,4.179879E8,6.174279E7,1.2385944E10,7.867347E7,1.5800467E7,2.138192E7,311231.53
5.0,4755971.0,4565243.0,5368080.0,1.1466266E9,0.0,409263.56,0.0,5.8137156E7,3.2962982E7,2.5042547E8,3.545756E7,2.3632914E9,4.231432E7,1.5491523E7,1.3753025E7,296821.66
6.0,5526506.5,5715558.0,1.0250701E7,1.5683661E9,0.0,513253.1,0.0,9.641821E7,4.2262136E7,1.9859704E8,2.5599078E7,9.2241536E8,3.1828992E7,4.0596384E7,1.1549245E7,627452.2
7.0,3708555.5,3576213.8,5363511.5,1.0231034E9,0.0,270370.97,0.0,7.036111E7,2.5638004E7,1.7894235E8,2.400141E7,4.7229866E8,2.2327198E7,1.4002851E7,1.3457887E7,354274.7
8.0,4255811.0,4298901.5,1.2339006E7,1.3259483E9,0.0,348170.16,0.0,8.269578E7,3.628716E7,2.1863032E8,2.4879604E7,3.264368E8,2.2032254E7,1.402248E7,9078602.0,733040.44
9.0,3501420.2,3270047.0,6833059.0,9.071031E8,0.0,201594.38,0.0,6.1468484E7,2.3189634E7,1.5129461E8,2.029184E7,2.1871016E8,1.5542443E7,1.8238416E7,1.0856372E7,408796.03
10.0,4266608.5,4475074.5,1.356453E7,1.0726972E9,0.0,241691.47,0.0,8.332673E7,2.6881486E7,2.0196666E8,1.7310888E7,4.670691E8,1.3692086E7,2.9433758E7,1.1860915E7,680114.7
11.0,3132009.5,2432398.0,6267183.5,6.644807E8,0.0,136060.12,0.0,6.6146596E7,2.257261E7,1.5019198E8,1.5801624E7,5.2575146E8,8457521.0,2.3369604E7,1.0216628E7,343608.94
12.0,2761283.5,2176083.0,7329813.0,7.19716E8,0.0,121835.97,0.0,6.964785E7,1.948047E7,1.7069547E8,2.0915786E7,1.3020415E9,1.2406788E7,1.3598281E7,7046957.0,382236.6
13.0,2454875.5,1967688.9,7438120.0,7.3758163E8,0.0,108087.68,0.0,6.779212E7,2.0141012E7,1.0935391E8,1.8696158E7,9.3935565E8,9777428.0,2.0153562E7,1.0472204E7,389300.3
14.0,3367238.2,3172449.0,1.9557772E7,1.1952818E9,0.0,186408.0,0.0,9.1219544E7,3.030925E7,1.2602559E8,2.2800124E7,9.461583E8,9694372.0,2.7634438E7,8891813.0,991873.6
15.0,4572120.5,5237861.5,3.583092E7,1.7025824E9,0.0,263707.6,0.0,1.3200793E8,3.5091376E7,2.0679386E8,2.7912144E7,1.2258204E9,1.0465368E7,3.488739E7,1.7009838E7,1803414.2
16.0,2400017.0,2583695.2,1.3834444E7,8.313576E8,0.0,107176.09,0.0,7.344689E7,1.8497028E7,2.109977E8,2.3478696E7,1.2653174E9,1.1380214E7,8231267.0,9080389.0,741084.3
17.0,2348127.5,2303116.8,1.3365032E7,8.1825837E8,0.0,89222.21,0.0,6.8012344E7,1.4167083E7,1.190351E8,1.6193959E7,5.5767616E8,7213314.5,1.502892E7,9285589.0,733882.06
18.0,1851119.5,1656897.4,7676159.5,5.671163E8,0.0,57921.832,0.0,4.6782812E7,1.2389884E7,1.4251934E8,2.300634E7,8.0894515E8,9330223.0,8396793.0,5514502.5,546018.25
19.0,1523794.6,1166110.6,4972901.5,4.1579616E8,0.0,38213.914,0.0,3.889308E7,9438386.0,1.0670714E8,2.2324968E7,6.927338E8,6635972.0,9896010.0,4885109.0,415240.38
20.0,1517034.0,960944.25,5371386.5,4.2998147E8,0.0,34958.203,0.0,4.0237028E7,9721330.0,1.23836536E8,3.4511804E7,1.1276242E9,9236797.0,6727069.5,6048067.0,492134.9
