"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,16.580542,1.3674432,3.2122877,1.69917,4.1749535,10.552052,1.0369251,20.471819,1.718253,5.0629387,9.175596,4.256288,1.0414219,1.8904195,2.660844,17.854593
1.0,1.0,23.029045,25.662657,23.34946,25.302826,13.973451,22.397186,16.39543,25.68627,14.403997,19.470554,28.360952,8.745327,15.190733,1.9229273,25.160048,27.744116
1.0,2.0,30.282099,27.339617,28.786703,31.865252,16.713575,36.394325,21.525095,29.166344,22.029057,20.842436,27.587812,20.631334,20.903442,NaN,NaN,39.321133
1.0,3.0,36.725536,31.745565,32.063194,35.854733,18.574766,47.80632,24.480484,31.564913,25.876867,23.998465,30.882795,23.959148,22.988405,NaN,NaN,48.4631
1.0,4.0,42.37403,35.301346,NaN,37.913704,19.78478,57.39095,25.90229,33.25733,29.16906,26.339506,33.520355,26.173092,23.889225,NaN,NaN,56.222343
1.0,5.0,47.409985,38.263714,NaN,39.017696,NaN,65.61649,26.7889,34.447117,31.961187,28.516964,35.372055,27.638775,24.278137,NaN,NaN,63.052883
1.0,6.0,51.834126,40.763718,NaN,39.58882,NaN,72.37514,NaN,35.27654,34.344296,30.288832,36.829884,28.691555,24.453379,NaN,NaN,68.94143
1.0,7.0,55.757748,42.827156,NaN,39.8935,NaN,77.94312,NaN,35.86237,36.37056,31.812681,37.927483,29.413027,24.534203,NaN,NaN,74.04563
1.0,8.0,59.28903,44.55111,NaN,40.055954,NaN,82.4782,NaN,36.270645,38.088455,33.0294,38.812023,29.91864,24.570606,NaN,NaN,78.481415
1.0,9.0,62.445953,45.989475,NaN,40.142067,NaN,86.20223,NaN,36.559204,39.560795,34.065536,39.51878,30.247944,24.586231,NaN,NaN,82.33795
1.0,10.0,NaN,47.192062,NaN,40.188038,NaN,89.21633,NaN,36.76507,40.810192,34.914406,40.05459,30.48076,24.59383,NaN,NaN,85.70996
1.0,11.0,NaN,NaN,NaN,40.21232,NaN,91.80818,NaN,36.908,41.87534,35.63042,40.460735,NaN,24.597301,NaN,NaN,88.62895
1.0,12.0,NaN,NaN,NaN,40.22536,NaN,93.92343,NaN,37.008854,42.779163,36.20887,40.791252,NaN,24.598944,NaN,NaN,91.161896
1.0,13.0,NaN,NaN,NaN,40.23215,NaN,95.160034,NaN,37.08003,43.545685,36.71243,41.049732,NaN,24.599398,NaN,NaN,93.36197
1.0,14.0,NaN,NaN,NaN,40.23578,NaN,NaN,NaN,37.130653,44.21017,37.126812,41.25232,NaN,24.599995,NaN,NaN,95.27551
1.0,15.0,NaN,NaN,NaN,40.237617,NaN,NaN,NaN,37.1659,NaN,NaN,41.413895,NaN,NaN,NaN,NaN,96.93455
1.0,16.0,NaN,NaN,NaN,40.238804,NaN,NaN,NaN,37.19067,NaN,NaN,41.537495,NaN,NaN,NaN,NaN,98.38089
1.0,17.0,NaN,NaN,NaN,40.23928,NaN,NaN,NaN,37.2082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.63749
