"Distribution of fish species biomass (tonne) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,0.0,40.73905,5348.6025,41571.74,0.0,0.0,83.85053,0.0,2073.9854,0.0,0.0,0.0,46.189075,3196559.2,2253.9824,0.0
1.0,5.0,0.0,329.8458,9564.218,36091.914,3753.414,0.007745599,276.8744,0.0,3433.5266,101.52243,0.652278,5802096.0,6473.623,158641.52,11277.97,0.0
1.0,10.0,0.081619546,128.65114,11372.562,660.25696,20108.002,1.3417559,3463.3215,0.21315141,1917.4955,7693.697,0.98514616,1247766.2,25896.998,83513.14,9087.721,0.0
1.0,15.0,268.56662,927.03186,3753.3633,865.9576,5519.61,283.07333,5865.1045,85.578476,10004.151,30697.53,2752.923,109198.18,35923.562,4572.822,2123.8528,12.654086
1.0,20.0,560.9615,2382.115,11589.193,15203.127,434.79166,785.3143,7101.4487,8441.061,14933.078,52758.895,8929.838,76089.414,111844.125,1443.4707,5850.776,61.247665
1.0,25.0,718.7017,5008.042,8028.1807,15073.803,0.0,244.80319,6756.921,14329.199,7217.7573,20241.795,24717.242,78952.81,0.0,13760.325,6358.238,31.190802
1.0,30.0,1131.5217,1082.3563,4922.849,14015.788,0.0,510.61087,0.0,3810.2786,3360.8372,19478.854,12078.503,13477.363,0.0,30231.5,0.0,63.26754
1.0,35.0,1666.3751,584.96826,0.0,23389.572,0.0,1087.6001,0.0,1063.9404,1582.04,12610.567,207.09904,0.0,0.0,25424.436,0.0,55.507786
1.0,40.0,2350.372,687.819,0.0,11698.018,0.0,123.09545,0.0,0.0,1292.7018,0.0,119.583115,0.0,0.0,1900.1788,0.0,111.33973
1.0,45.0,3199.3438,433.16354,0.0,0.0,0.0,523.9423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.87826
1.0,50.0,4110.0034,0.0,0.0,0.0,0.0,82.63446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.92767
1.0,55.0,4808.992,0.0,0.0,0.0,0.0,83.26595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.59625
1.0,60.0,3771.6318,0.0,0.0,0.0,0.0,8.541816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0096
1.0,65.0,0.0,0.0,0.0,0.0,0.0,8.212767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.3408
1.0,70.0,0.0,0.0,0.0,0.0,0.0,3.0163157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.28775
1.0,75.0,0.0,0.0,0.0,0.0,0.0,1.2317861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.4902
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.70318705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.2596
1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.62683326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.5463
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.26974928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.4526
1.0,95.0,0.0,0.0,0.0,0.0,0.0,0.014076252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761.737
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.4747
1.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,57.24656,5835.361,21731.389,1084.9216,0.0,221.19295,0.0,809.36414,0.0,0.0,0.0,25.156208,593430.44,4951.032,0.0
2.0,5.0,0.0,1644.449,27437.5,253417.64,9308.288,0.0022732788,481.86322,1.1578277,3270.7932,23.35687,2.7587823E-5,2117827.2,18.493584,155574.8,15738.479,0.0
2.0,10.0,0.5279719,1358.1318,52287.996,41435.54,55321.387,9.768074E-5,786.1831,7.958274,1045.3617,133.73941,173.19621,4435936.0,5475.8345,302622.53,75694.28,0.0
2.0,15.0,45.1523,730.7926,27520.637,191.13974,84731.92,2.1834057E-4,4238.925,79.34646,1850.6711,1812.847,82.37995,114918.086,13857.777,211155.83,75896.71,22.354584
2.0,20.0,174.50864,163.38846,3502.7156,9.288074,9830.358,56.178112,6873.785,310.05054,17014.455,39873.348,161.15189,32066.15,42617.234,37101.34,11944.449,96.28892
2.0,25.0,850.11206,1708.3318,22427.4,29614.002,0.014123549,1198.4209,13162.913,7699.968,33078.65,79886.05,6519.319,26366.254,0.0052450974,3287.8137,2669.391,131.0819
2.0,30.0,1327.7816,8697.035,8438.629,11587.191,0.0,1054.7595,0.0,21650.58,14339.633,21709.725,25622.014,3513.524,0.0,695.3607,0.0,171.32715
2.0,35.0,1755.8542,5816.616,0.0,18168.672,0.0,333.94403,0.0,1902.2821,4216.8047,10375.639,7462.5483,0.0,0.0,2357.0476,0.0,87.23052
2.0,40.0,2391.5576,704.1841,0.0,7967.3735,0.0,1783.3937,0.0,0.0707312,1780.5194,0.0,64.27756,0.0,0.0,0.0,0.0,132.3476
2.0,45.0,3227.763,484.70132,0.0,0.0,0.0,219.05711,0.0,8.599507E-4,44.09253,0.0,0.0,0.0,0.0,0.0,0.0,147.19286
2.0,50.0,4228.9014,0.0,0.0,0.0,0.0,682.2299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.73634
2.0,55.0,5446.6304,0.0,0.0,0.0,0.0,73.37668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.8928
2.0,60.0,4600.1875,0.0,0.0,0.0,0.0,86.043816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.10068
2.0,65.0,0.0,0.0,0.0,0.0,0.0,11.73917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.56873
2.0,70.0,0.0,0.0,0.0,0.0,0.0,3.7173352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.7725
2.0,75.0,0.0,0.0,0.0,0.0,0.0,1.9901352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.1458
2.0,80.0,0.0,0.0,0.0,0.0,0.0,1.1326838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.335
2.0,85.0,0.0,0.0,0.0,0.0,0.0,0.4761602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.2255
2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.38352814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.9362
2.0,95.0,0.0,0.0,0.0,0.0,0.0,0.008650937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1804.1172
2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.3877
2.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,3.1665227,7639.1113,32203.68,16198.695,0.0,70.35788,0.0,599.0469,0.0,0.0,0.0,121.7873,46.160496,6021.9272,0.0
3.0,5.0,0.0,603.7746,17419.533,226231.98,21827.293,0.021453826,419.0872,2.1470444,2778.9,26.403515,7.7476053,32164.623,613.5907,20783.656,44408.78,0.0
3.0,10.0,1.8001254,1534.149,97287.984,97901.31,53837.945,0.0035769208,738.8811,22.827911,1984.9314,2197.5696,192.45827,2177257.5,489.8495,44619.652,27479.361,0.0
3.0,15.0,49.28544,1158.1323,56283.67,2595.6687,107239.29,0.0020898972,721.85956,285.4731,4299.9937,1009.84265,1302.796,201113.1,6929.632,51821.184,47742.062,21.71559
3.0,20.0,87.85902,457.6125,18860.748,0.0027732784,73460.04,0.0,5912.5312,513.5528,4331.6284,4934.316,3316.425,16421.193,20849.36,16088.056,27654.97,97.96007
3.0,25.0,137.9693,315.0578,7944.4854,13795.814,739.9798,0.0028360526,18842.871,1550.4697,16813.932,51641.43,3044.2515,8072.941,0.04318763,874.8534,1976.6882,190.2845
3.0,30.0,964.6248,557.9753,23273.682,19240.857,0.0,1300.3499,75.8356,12582.748,48972.61,73224.72,6275.765,908.0732,0.0018436019,0.018867578,0.0,305.7574
3.0,35.0,2090.785,6844.382,6.321394E-4,12760.224,0.0,2044.1427,0.0,15952.468,20540.32,11466.873,12507.865,0.0,0.0,0.0,0.0,391.652
3.0,40.0,2565.106,9870.875,0.0,5431.879,0.0,323.23615,0.0,360.83545,3668.9226,0.0,2415.6255,0.0,0.0,0.0,0.0,207.6811
3.0,45.0,3248.6882,1218.7158,0.0,0.0,0.0,2382.4626,0.0,0.08721847,261.58426,0.0,0.0035735145,0.0,0.0,0.0,0.0,241.89412
3.0,50.0,4248.4673,0.0,0.0,0.0,0.0,210.22787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.42091
3.0,55.0,5515.273,0.0,0.0,0.0,0.0,764.4728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0139
3.0,60.0,5872.7695,0.0,0.0,0.0,0.0,55.471195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.17014
3.0,65.0,0.0,0.0,0.0,0.0,0.0,51.482258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.26642
3.0,70.0,0.0,0.0,0.0,0.0,0.0,12.931264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.2098
3.0,75.0,0.0,0.0,0.0,0.0,0.0,2.8560758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.5668
3.0,80.0,0.0,0.0,0.0,0.0,0.0,1.1319064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.9263
3.0,85.0,0.0,0.0,0.0,0.0,0.0,0.85762453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0025
