"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.05899209531357702,7.8387851384115494,0.25438200106087017,0.0,1.966842867936086E-5,0.0,3.9865383724395067,0.06905417457281478,0.06919215473637516,1.0652822420933737E-7,0.010756296746286524,0.07787607145694808,0.0,0.0,0.0,0.0,0.0,0.0,2.774263128185258E-9,9.744524320995583E-4,0.011101456090130475,0.0,0.0,0.0,
2.0,0.05345198880229779,26.142093870686608,0.03825807665354569,0.0,0.012641367832552123,3.7549084972510526E-6,3.76646321437728,0.06640902346287227,0.06922175193090628,1.5652403956879804E-7,0.0020701447005506387,0.11412028546893199,0.0,0.0,0.0,0.0,0.0,0.0,4.790139332574042E-9,9.06878341232833E-5,0.017700314661251347,0.0,0.0,0.0,
3.0,0.04158062762257755,17.333947119850716,0.00762705249643188,0.0,0.00366446928716665,0.0,3.514678774425539,0.06649823900470639,0.06922110051017327,1.8584635581696074E-7,0.0011123133331818764,0.09615365662458059,0.0,0.0,0.0,0.0,0.0,0.0,4.324143631480728E-9,3.2913165469356954E-5,0.01089584329040826,0.0,0.0,0.0,
4.0,0.040711022424417674,19.27634408230644,0.0020781548009585174,0.0,0.02742175495030609,0.0,3.4964047214728198,0.0686747806283405,0.06922100501084603,1.5871257397913405E-7,9.844370777679606E-4,0.07025882288504251,0.0,0.0,0.0,0.0,0.0,0.0,4.294346023490204E-9,3.4513459027939756E-5,0.004572066649336867,0.0,0.0,0.0,
5.0,0.04390441655746609,17.73564408194252,1.91622985290655E-4,0.0,0.004933151448055948,0.0,3.561256668793226,0.06929224918190749,0.06922101232723804,1.388108127537983E-7,0.0012208089392603812,0.05784308665603189,0.0,0.0,0.0,0.0,0.0,0.0,2.7257355874979715E-9,3.7142623644047446E-5,0.0015885935454948053,0.0,0.0,0.0,
6.0,0.035779485072140495,18.92381102272073,0.0029574198659023964,0.0,1.1903763609446451E-4,0.0,3.4156495054454807,0.07028644366158818,0.0692211049782983,1.5152519788194468E-7,0.0010433521173572823,0.05675573897300881,0.0,0.0,0.0,0.0,0.0,0.0,3.8914542361580655E-9,3.653682745553225E-5,0.0015868311549291955,0.0,0.0,0.0,
7.0,0.03589024849373532,18.288513292654585,0.004141974004608578,0.0,0.06358550206262144,0.0,3.4174245506207117,0.06778027274771112,0.06922149158168756,1.2983257048360745E-7,6.986238456501659E-4,0.04757226411572295,0.0,0.0,0.0,0.0,0.0,0.0,3.482439523612054E-9,2.4965746222894467E-5,0.0013525890870330426,0.0,0.0,0.0,
8.0,0.03554312114859591,18.060792148032302,0.0012143474953029733,0.0,0.0068105185411777526,0.0,3.4119509273156674,0.0722076806754193,0.06922110809854254,1.5656405567509192E-7,0.0010385889396910927,0.05886102924381156,0.0,0.0,0.0,0.0,0.0,0.0,1.2398612702984848E-8,8.806363816841582E-5,0.005025403018523987,0.0,0.0,0.0,
9.0,0.0429261882321141,16.744414163000588,0.0014894017063914315,0.0,0.017384397955943282,6.332068559755093E-7,3.557029046721929,0.06933791942019153,0.06922121694573019,1.1566395454637842E-7,0.001098327290211319,0.04526455064442922,0.0,0.0,0.0,0.0,0.0,0.0,4.545750207275191E-9,5.536202601348447E-5,0.0019153624114652181,0.0,0.0,0.0,
10.0,0.033945900689210724,13.707534339886923,0.0038146433541288963,0.0,0.0018883046459788693,2.140400242719983E-6,3.392883362253363,0.06988456944444457,0.06922245144514116,1.5244358907319064E-7,0.0010517723118850127,0.05786788125919412,0.0,0.0,0.0,0.0,0.0,0.0,1.1202975826188877E-8,8.574556573712516E-5,0.0045767551777668855,0.0,0.0,0.0,
