"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,9.854705459604979,1.1997309334659956,0.11639215267500548,0.0,1.1191679870150488,0.6512545184193226,0.0165550560203426,0.002219009567343343,0.002238362958265958,0.0010681496095921975,0.022350397404514912,0.2735961472307915,0.0,0.27499999999999963,0.275000000101673,0.0,0.0,0.0,8.889882218371224E-7,2.5844129975242525E-5,4.950053081909381E-4,0.0,0.0,0.003237726528608529,
2.0,11.565547256399126,5.5590486090948845,0.01188830618502323,0.0,0.8471673328039901,1.4712085188708839,0.017859693661133262,0.002094768958360599,0.0022386136037411226,0.001644656086158753,0.052347319777561914,0.09066911739720021,0.0,0.27499999999999963,0.2749999999999999,0.0,0.0,0.0,1.7145614050248127E-6,8.263711390502192E-5,1.477914848030134E-4,0.0,0.0,7.299112566795618E-6,
3.0,9.307499691135263,5.850517409288435,0.021143964331412197,0.0,0.6993789810380949,1.430330595040454,0.01585102342712559,0.002130434882728871,0.002238358221672794,0.0014079212128561504,0.054396408776241335,0.1213806252249169,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,6.112990023277921E-7,3.806486452852451E-5,9.03461389872278E-5,0.0,0.0,1.1122697452416965E-5,
4.0,10.887865947189356,5.03796890205991,0.05275036311759631,0.0,0.6998991094321685,1.2729446446114843,0.017169183135171604,0.002140844131069494,0.0022384610071886314,0.0019950954757184266,0.09123757265360904,0.2450249391977836,0.0,0.2749999999999997,0.27499999999999963,0.0,0.0,0.0,8.841237663612431E-7,6.617126297364271E-5,1.9847849929644344E-4,0.0,0.0,1.1681391655569242E-5,
5.0,10.433243449703632,11.968173045255963,0.11655445785976129,0.0,0.35650788473897,0.9658943587417841,0.016768041809100024,0.002124656187514655,0.002238455365398401,0.0014534918287837596,0.07428786986720091,0.20594072478947203,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,7.673510652971239E-8,6.831577630205964E-6,2.0903677181377454E-5,0.0,0.0,1.286277350146051E-5,
6.0,9.468687953956236,9.248558610258154,0.16099342706655914,0.0,0.35120446726737625,0.5884549224910693,0.015965069535531697,0.0021685960773497642,0.002238785316482755,0.0013609628022289906,0.062377024201213827,0.23953868183357796,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,7.595672294666618E-7,6.112688083609196E-5,2.718522003206983E-4,0.0,0.0,2.0460913476407503E-5,
7.0,7.481451720627428,9.88353020217031,0.1656233776467569,0.0,0.3096029736167869,0.3963026110212365,0.01446082795874496,0.0021522735813610193,0.0022385813551681804,0.0014520318383007898,0.06567192726034575,0.28751690549957704,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,7.736186147986236E-7,6.287976294243326E-5,3.2444815784839437E-4,0.0,0.0,3.0295724167507556E-5,
8.0,5.353761491758963,6.5999397571206995,0.16169672283586536,0.0,0.3721408327509901,0.32352956437031544,0.01279539569260064,0.002215188162692406,0.0022387741064133376,0.0014262449881262127,0.06956315967758478,0.3347043758031922,0.0,0.27499999999999963,0.2749999999999997,0.0,0.0,0.0,7.225495504600079E-6,5.982281011532417E-4,0.0034226443844273887,0.0,0.0,3.211772646578215E-5,
9.0,7.285418693964743,10.162607730015083,0.1507476724858622,0.0,0.36243215971311715,0.44259505934355264,0.01422965336665319,0.002174221347573088,0.0022386239164698288,0.0012844233545305987,0.05926178163551142,0.25368259147550387,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,1.8777435815872762E-6,1.509790815473504E-4,7.728144771827036E-4,0.0,0.0,1.2188375270983043E-5,
10.0,5.574391512464501,10.504664656852762,0.11648783546280292,0.0,0.3646698133621953,0.3821464115126921,0.0129424027848083,0.002195558442870456,0.002238823445564623,0.0014070893563216268,0.05251766625276588,0.33970181067641597,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,6.552456200810134E-6,4.033273169067528E-4,0.0032437800447530367,0.0,0.0,2.1467758375572687E-5,
