"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.06814438633979598,7.356388272969543,0.06265248923245638,0.0,0.31410073501246877,0.18459028526393562,3.036483890452945,0.010292456777249735,0.010655131547442288,4.0170953211216664E-6,0.23714568299940977,0.5942964800623711,0.0,0.0,0.0,0.0,0.0,0.0,2.0398541427545665E-7,0.012965384827124409,0.0325494112921881,0.0,0.0,1.378622986808109E-4,
2.0,0.051185792628620996,9.193318600417534,0.009736320767224433,0.0,0.4437814124577731,0.13816983045608638,2.4884006843078446,0.010294589375482204,0.010654969288568687,5.453693962833542E-6,0.16171020899891275,0.8808992078802398,0.0,0.0,0.0,0.0,0.0,0.0,2.697389283127608E-7,0.008508632820986186,0.04670463029678276,0.0,0.0,5.4784021031716464E-5,
3.0,0.053908760297155564,6.497410408749723,0.0585570622892268,0.0,0.4660263336317154,0.10698513843988673,2.5201242173306704,0.010487303192265708,0.010655713373579187,4.568981682496875E-6,0.09213805130105596,0.6846681332313663,0.0,0.0,0.0,0.0,0.0,0.0,2.2853289856096575E-7,0.004867840894385669,0.036797061463286256,0.0,0.0,4.558118788580928E-5,
4.0,0.05231191588458278,7.22360407844452,0.028603222872566923,0.0,0.30684919144263917,0.13724443262341254,2.497578835024493,0.01059643207202824,0.010655445740652877,6.107320551903274E-6,0.20305328760965488,0.7995980848022488,0.0,0.0,0.0,0.0,0.0,0.0,2.9116583564360116E-7,0.010204887924303671,0.040421893896992675,0.0,0.0,2.1441226691048366E-5,
5.0,0.04821612814422275,6.861838476433565,0.04546399445783598,0.0,0.24411175284682063,0.12368162194744166,2.4668813416728264,0.010571426058839565,0.010655203182887672,4.588456280780085E-6,0.13639407767550757,0.6342567219988154,0.0,0.0,0.0,0.0,0.0,0.0,2.2327666102980998E-7,0.00703571985288436,0.033001912163112546,0.0,0.0,1.3401608424570786E-5,
6.0,0.051957808755987954,8.8048812068173,0.03559244697615481,0.0,0.13809315613613965,0.1870999545458494,2.49710502093487,0.010497151645349199,0.010655580568197525,3.976484300851268E-6,0.1183547106981768,0.574723984410723,0.0,0.0,0.0,0.0,0.0,0.0,1.9568537607779654E-7,0.006182802017574757,0.03031871913641857,0.0,0.0,8.784449811577599E-6,
7.0,0.05541005833031293,10.205256819407213,0.030684560494660677,0.0,0.1426830577551939,0.12331307432776205,2.523821422861608,0.010518693323652675,0.010655335199669873,3.647984327198255E-6,0.14654585545115664,0.5642882612086914,0.0,0.0,0.0,0.0,0.0,0.0,1.7675961169354483E-7,0.00754067784517698,0.029170870502925876,0.0,0.0,5.4402132513663425E-6,
8.0,0.052473746486871975,8.57233111199515,0.022064707728470637,0.0,0.03420267350457861,0.06865705472871567,2.501169438116175,0.010555087952876886,0.010655240982722464,3.5925574584107705E-6,0.15098732655663857,0.5938360858951574,0.0,0.0,0.0,0.0,0.0,0.0,1.7463701589941596E-7,0.007772395021786797,0.03070152833370928,0.0,0.0,6.083954970725523E-6,
9.0,0.048530830099819094,10.860509432429032,0.014511653718722557,0.0,0.022445833426961607,0.031073343786513472,2.469374473403356,0.010509892668062284,0.01065518130312949,3.5517910624639653E-6,0.17078084645929634,0.5387661673196908,0.0,0.0,0.0,0.0,0.0,0.0,1.7223614028921158E-7,0.008812169668054183,0.027837992657989467,0.0,0.0,4.509657645568417E-6,
10.0,0.053342043274379386,9.874929973758427,0.014600983668136405,0.0,0.05574021542715038,0.07316572334122085,2.5060089555890683,0.010687825102252435,0.010654836121039747,3.3936327456836743E-6,0.16805255541649383,0.5912169909906533,0.0,0.0,0.0,0.0,0.0,0.0,1.6545751226452048E-7,0.008701671236995036,0.03068080782360328,0.0,0.0,3.708766938963872E-6,
