"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,2.687801179359462,3.8983985386084745,0.18367062634677794,0.0,1.207097680979698,0.01838463084611829,0.9378344188870548,0.05978586960346811,0.060020406074572936,6.718475404837469E-6,7.001579456405864E-4,0.05345061228382783,0.0,0.0,0.0,0.0,0.0,0.0,1.0478272125600483E-5,0.0010266760873181774,0.05560410502176199,0.0,0.0,5.402648326859187E-4,
2.0,2.6516833038668337,13.311681192145741,1.766589631601068,0.0,0.6864047965585411,0.4518570422673431,0.9279241491131097,0.056974743804390646,0.059928993846642215,7.888564940291179E-6,0.001516345661505414,0.032177702149880485,0.0,0.0,0.0,0.0,0.0,0.0,1.2203634658847975E-5,0.0021274076779057463,0.03130312901086979,0.0,0.0,1.187207598877121E-4,
3.0,1.6228459695194235,11.44859424381835,0.41490434844247237,0.0,0.9285422686456688,0.20754052321860733,0.8003748991335146,0.05861187148443952,0.05999108829296424,9.052041153357022E-6,7.399488911946574E-4,0.05815449736268534,0.0,0.0,0.0,0.0,0.0,0.0,1.4189792222431867E-5,0.0011076797697299621,0.05752051031924079,0.0,0.0,2.7957474870922807E-4,
4.0,1.9165866922371497,11.008636393137715,0.1905589276432297,0.0,0.8993519601470685,0.0908576389806152,0.8356371429462718,0.05967486751740624,0.06002634622679708,7.178617690651045E-6,0.0010540188804324367,0.05586256611668604,0.0,0.0,0.0,0.0,0.0,0.0,1.1172782693037218E-5,0.0014581744399667727,0.05765280008504333,0.0,0.0,3.7896004603441106E-4,
5.0,1.7119842784970798,13.501620403416203,0.13168819353746725,0.0,0.6569738952839517,0.09362683674072493,0.8092192463803447,0.06026353514601867,0.060024992236674575,6.548173654682039E-6,0.0013761723131145373,0.04601499173612464,0.0,0.0,0.0,0.0,0.0,0.0,1.03325859513671E-5,0.0019067609122043006,0.049445068703501155,0.0,0.0,3.6789076049903295E-4,
6.0,1.883157260475875,13.070221755652051,0.07325903776453337,0.0,0.6809781281907553,0.06486563484324678,0.8329774254307752,0.06035678129763194,0.060025096263010044,6.624797927495393E-6,0.0014980278589805717,0.0573338764000194,0.0,0.0,0.0,0.0,0.0,0.0,1.0337607700074584E-5,0.00203193984334221,0.058734599358052884,0.0,0.0,3.8195387620599825E-4,
7.0,1.5548260815277188,13.818729345134443,0.08783213358810822,0.0,0.7980985774161848,0.06090429880054928,0.7915280643647957,0.06039873653959177,0.060028037673609744,5.881088066437958E-6,0.001164396101052348,0.056793172744694906,0.0,0.0,0.0,0.0,0.0,0.0,9.15581191953569E-6,0.0015253588469527307,0.054581870597161485,0.0,0.0,4.2831495782837337E-4,
8.0,1.471401281736594,12.107651089468826,0.045203561338684695,0.0,0.8058063257728011,0.0645800426753252,0.7850123965647323,0.06072083191339246,0.06001838874453186,7.64639829833509E-6,0.0010294611693609436,0.06271845617444223,0.0,0.0,0.0,0.0,0.0,0.0,1.0896921492619595E-5,0.0013717913952755898,0.06607172687597061,0.0,0.0,5.031121928836107E-4,
9.0,1.358379884787655,11.909509971683567,0.07820938990252616,0.0,0.7904449624854256,0.06280715314050651,0.7697751318256626,0.06062292190468826,0.0600293180320141,5.782488530343637E-6,7.281238481601484E-4,0.052752599789890116,0.0,0.0,0.0,0.0,0.0,0.0,8.806960101614536E-6,0.0010020057768865317,0.05356192090194503,0.0,0.0,6.83401702916527E-4,
10.0,1.4038459122581513,12.007290883136166,0.11496298402939127,0.0,0.8586370604611626,0.052005271294928074,0.7799683325918957,0.06068735186767042,0.060037953834605785,7.580578103965528E-6,0.0014524336723302346,0.06277335448694568,0.0,0.0,0.0,0.0,0.0,0.0,1.090097917695395E-5,0.0018022409565880112,0.0655943079639261,0.0,0.0,0.00123470137778568,
