"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,13.853693024740464,3.777292416759216,0.21724858243689638,0.0,0.47307172868204056,0.0,0.8794621610714085,0.012061845710641558,0.012082896283644066,2.9588476199997277E-5,0.007671130301153072,0.06323584376775476,0.0,0.0,0.0,0.0,0.0,0.0,2.3463832524306647E-5,0.006036917934167883,0.04948420080819984,0.0,0.0,0.07023443094641528,
2.0,5.9774502858855705,5.64995090717087,1.7638480031353068,0.0,0.756651454762381,0.21895349557764324,0.5052402439867564,0.012023222901706031,0.012047598582727349,3.536307170946735E-5,0.0012805193155384959,0.02078454562453519,0.0,0.0,0.0,0.0,0.0,0.0,2.637942740070163E-5,9.539194929024226E-4,0.015263589857569048,0.0,0.0,0.015238667538325928,
3.0,6.058121531808942,5.33081756380317,0.9311095263207496,0.0,0.7514128813019063,0.31939109691009776,0.5076525708194275,0.012022613189450521,0.012071033419457589,3.0020174272387954E-5,0.0010856702104365171,0.013692267616126935,0.0,0.0,0.0,0.0,0.0,0.0,2.46959660579137E-5,8.926609259911515E-4,0.011226245471574867,0.0,0.0,0.0027849898519804153,
4.0,5.6297160939809165,6.656324113713416,1.524629999531566,0.0,0.6505665706871555,0.28194543371628117,0.4928282457795765,0.012076370262465472,0.012022929594015425,2.6256668314844655E-5,0.0013347211503421002,0.01577060434260357,0.0,0.0,0.0,0.0,0.0,0.0,2.0563157660041197E-5,0.001043810412426775,0.012270840259619706,0.0,0.0,0.007860776163709624,
5.0,4.351801857235102,7.215721138449966,0.4119523982401493,0.0,0.6012571957801973,0.2911291374340305,0.4532196213380583,0.012086794504633163,0.012095627992833325,2.341281686026893E-5,0.0014745907735439535,0.015758874553126065,0.0,0.0,0.0,0.0,0.0,0.0,2.0228647623719938E-5,0.001273840904443966,0.013606854075530053,0.0,0.0,0.12420632011578436,
6.0,5.552880266620218,6.581966699320438,0.3524067521411651,0.0,0.6418100392538739,0.28323486118488356,0.4910165154081911,0.012067825536862462,0.012094134091983136,2.315270343310102E-5,0.0012332640832226419,0.016517123488119945,0.0,0.0,0.0,0.0,0.0,0.0,1.8459938277835158E-5,9.818442760080271E-4,0.013091315345442138,0.0,0.0,0.11403824730470476,
7.0,4.939000402258327,6.587226551983854,0.4143634645220553,0.0,0.6556958663529285,0.21614178088784508,0.4730069774919179,0.012102896605461199,0.012103354395134767,1.972051840137604E-5,9.384818945806391E-4,0.015471686279097265,0.0,0.0,0.0,0.0,0.0,0.0,1.550760514152071E-5,7.368070379896226E-4,0.012080610141841804,0.0,0.0,0.14492142408271103,
8.0,5.543539642588243,6.462697252366821,0.8587445043510882,0.0,0.5889480111217198,0.19259711420371123,0.4912078485869495,0.01210591636856932,0.01210712962810007,3.0008894780133926E-5,0.0016823556597691171,0.02618517806466227,0.0,0.0,0.0,0.0,0.0,0.0,1.14118445338069E-5,6.328278202287977E-4,0.009550515385459734,0.0,0.0,0.19927650723822846,
9.0,4.797176503416621,6.2968067372733465,0.6583951028952567,0.0,0.579899013383006,0.2087978190102112,0.4682287087708272,0.012111662384581133,0.012122977634796559,2.0252230786149054E-5,0.0011157337277032352,0.01672068352096699,0.0,0.0,0.0,0.0,0.0,0.0,1.3460080005815493E-5,7.383606559516891E-4,0.010912577975862214,0.0,0.0,0.21666252481909506,
10.0,4.987293690792261,7.304605637105359,1.0116130472174416,0.0,0.5784984429007876,0.1959703963019974,0.4738519418276985,0.012102709053991694,0.012105209143249815,2.992232311078014E-5,0.00160987924040185,0.02453998866795094,0.0,0.0,0.0,0.0,0.0,0.0,1.2396675090130792E-5,6.606173704213575E-4,0.009765258350653488,0.0,0.0,0.12832743810183567,
