"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.0046142700604229975,1.349220914712872,0.04259691958746901,0.0,0.07572197874258381,8.523917625153181E-4,4.496901121377982,0.15933886549908022,0.15986531785178854,1.2296399816415578E-8,0.12301640356308366,0.29748178088533817,0.0,0.0,0.0,0.0,0.0,0.0,5.2433218063487975E-9,0.01410801178611908,0.02769724204586708,0.0,0.0,3.1402658997774864E-4,
2.0,0.004167415447359804,4.416855888299066,0.009281238330801092,0.0,0.0751073829275202,0.00909810260284485,4.046568969958442,0.1576280367453318,0.15986400354139407,1.4838309774289441E-8,0.1322511242194104,0.3577654973968153,0.0,0.0,0.0,0.0,0.0,0.0,5.9622708958067165E-9,0.014390716889199542,0.034687760788397484,0.0,0.0,1.8361993837340637E-4,
3.0,0.003709970663611013,3.4801954489933946,0.013026856060051693,0.0,0.08648058444117598,0.02603831250041643,3.9744653119161266,0.15877454857535592,0.15986396645511033,1.3368220085447026E-8,0.11308849200230606,0.2499967106114612,0.0,0.0,0.0,0.0,0.0,0.0,5.9253586717454735E-9,0.012537813294012592,0.028930062291547595,0.0,0.0,2.3488586499718689E-4,
4.0,0.0035430982558761217,2.995100558420876,0.019338941093534446,0.0,0.10581144559686534,0.03455948590282954,3.9513712453398475,0.15949612638824484,0.15986434517164894,1.2479110172507098E-8,0.10506631952339918,0.1915375620888931,0.0,0.0,0.0,0.0,0.0,0.0,5.2453334961134865E-9,0.010807459985192244,0.02324668378849798,0.0,0.0,2.3525960772060496E-4,
5.0,0.003954253256521099,3.200654399274065,0.01808314930810838,0.0,0.07362908842141423,0.040231294212530404,4.006377026286818,0.15945726898965987,0.15986387301595603,8.845712448023206E-9,0.09168220650321268,0.1479884477740745,0.0,0.0,0.0,0.0,0.0,0.0,4.134710859450001E-9,0.009940022743719192,0.019569128247997183,0.0,0.0,2.0156781311031876E-4,
6.0,0.003579106522364141,3.825629740258034,0.01847799444043705,0.0,0.06781489236990416,0.03090961173293892,3.9572068575237984,0.15923055290941182,0.15986403873440594,1.0555729649543927E-8,0.10367896627332235,0.16105063612229553,0.0,0.0,0.0,0.0,0.0,0.0,4.5215405082148835E-9,0.010574455278598672,0.0202602499912236,0.0,0.0,1.7872232956894635E-4,
7.0,0.003735649942956338,3.4263398848595457,0.01648960802901683,0.0,0.0478569274268861,0.03492322998279899,3.9781116108416046,0.15974773812580464,0.15986300506179518,8.880892150537679E-9,0.10795533024766099,0.1573197391974756,0.0,0.0,0.0,0.0,0.0,0.0,3.742670118243366E-9,0.009943903881199416,0.017837772268036022,0.0,0.0,1.6718409592377073E-4,
8.0,0.003376320071821581,4.086354341550922,0.01671832623541619,0.0,0.052141099936776306,0.02886250110623403,3.9326236624125346,0.15889404638360627,0.15986451827645048,1.933133390473813E-8,0.09366813095597348,0.16023945561062086,0.0,0.0,0.0,0.0,0.0,0.0,4.928826703598203E-9,0.010673851151317245,0.02116632912918389,0.0,0.0,1.4259182964724627E-4,
9.0,0.0035508785664692564,3.4126894030977346,0.018475436672594586,0.0,0.06423876430622272,0.022104842878780482,3.9534440463949516,0.15905286998149085,0.1598633517258229,1.0149728929593718E-8,0.08079998018447797,0.12950894052885198,0.0,0.0,0.0,0.0,0.0,0.0,3.676052782991857E-9,0.008482944980774497,0.0164129676140398,0.0,0.0,1.3410337827781795E-4,
10.0,0.0036206063373728533,3.49383565956841,0.01817857340157219,0.0,0.06651725498044944,0.023344705054325534,3.964974773434234,0.1597526032101246,0.1598638823870246,1.738891244589187E-8,0.10028492629863399,0.1723980673038776,0.0,0.0,0.0,0.0,0.0,0.0,4.619885828011879E-9,0.010526905654459885,0.02128012423400503,0.0,0.0,1.1558936044787478E-4,
11.0,0.003536487642751661,3.3912791151586243,0.01887514991326421,0.0,0.09657738351787881,0.0243663329738335,3.954012457244921,0.1591463922388871,0.15986300701358877,6.706475390348753E-9,0.07486650683517473,0.1218590706333586,0.0,0.0,0.0,0.0,0.0,0.0,3.0128530065376974E-9,0.006958012771777292,0.014014187630755546,0.0,0.0,1.016606528828818E-4,
12.0,0.003396073965388599,3.5912451722307726,0.02249483482261603,0.0,0.06619109755586576,0.023070910832165784,3.933623119759332,0.15884180015954397,0.15986422703771863,2.385636150028579E-8,0.10362721494930502,0.18436957952950636,0.0,0.0,0.0,0.0,0.0,0.0,5.514986028972596E-9,0.011407692368548132,0.023630456045512095,0.0,0.0,1.0230089251820167E-4,
13.0,0.0033910741632487973,3.2377380635964075,0.025308380517065007,0.0,0.05023393548408851,0.02124993426315279,3.932891301551269,0.15958003333946033,0.1598645445728629,1.0065247178097117E-8,0.0829472529456912,0.13657714929555803,0.0,0.0,0.0,0.0,0.0,0.0,3.2710138530844285E-9,0.0076837165700312845,0.015089563723952456,0.0,0.0,9.472897761348207E-5,
14.0,0.0035028872959985895,3.2995492855691078,0.027057725359811734,0.0,0.0988156995225308,0.02551061560077829,3.9500154123302527,0.15931808023245958,0.159864873042603,6.052027040270643E-9,0.06291121181069528,0.10165013501132202,0.0,0.0,0.0,0.0,0.0,0.0,2.620960435345927E-9,0.006150855717661018,0.011884078526240377,0.0,0.0,1.053209140529084E-4,
15.0,0.0032201209604530824,3.5933401617305996,0.02847997319732523,0.0,0.10567976798512765,0.01793751078099917,3.9138113663710423,0.15850084302811712,0.1598646305171787,8.803406654684644E-9,0.053330142148269685,0.09962077769721338,0.0,0.0,0.0,0.0,0.0,0.0,2.9277635665527287E-9,0.005875612122711569,0.012560501303944675,0.0,0.0,1.1274251019557395E-4,
16.0,0.003775643382005603,3.0406517270949003,0.033935959022581126,0.0,0.10388016253937998,0.018706892965227238,3.9896192015616534,0.15891879156446898,0.15986540543954966,6.352192417963036E-9,0.04565909746881384,0.08781844596334837,0.0,0.0,0.0,0.0,0.0,0.0,2.324426948988326E-9,0.005132890786714113,0.011181997809970992,0.0,0.0,1.3162088596840006E-4,
