"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.007054448707298533,0.04440528979996351,0.005734926154552982,0.0,0.0,0.0,0.9462805203477295,0.007348136315036954,0.007350719999032249,1.8003400548348317E-4,0.011994780529571807,0.02377930253035074,0.0,0.0,0.0,0.0,0.0,0.0,6.125694073313452E-5,0.004079590997260219,0.008084561803057467,0.0,0.0,0.017565273554336708,
2.0,0.10118355865733383,0.084825128464287,0.008511363596356474,0.0,1.8798464740270893E-8,9.443403162992653E-6,0.9575591184319027,0.007348553416586541,0.0073497003574409265,2.2025044959395165E-4,0.01459322057926228,0.0291108450272023,0.0,0.0,0.0,0.0,0.0,0.0,7.46724285287419E-5,0.004944663146032915,0.009858011247358335,0.0,0.0,0.010786018909863788,
3.0,0.07176533816461494,0.11627622376541567,0.011021649159799782,0.0,8.76162450448544E-9,0.0,0.9540545265862788,0.007347983047723735,0.007349200114904474,1.9517095767990949E-4,0.012680255261514966,0.02544708683824568,0.0,0.0,0.0,0.0,0.0,0.0,6.655597738941687E-5,0.004323055627002339,0.008673433120869047,0.0,0.0,0.007464581959334346,
4.0,0.04221688743958755,0.09680133743775107,0.009299670639716057,0.0,9.380989780643757E-6,0.0,0.9504723922887766,0.007348799077809326,0.007348957462289731,1.661334568148366E-4,0.010734007866656866,0.021844054854745696,0.0,0.0,0.0,0.0,0.0,0.0,5.648518681063283E-5,0.0036479796987920763,0.007420473610225491,0.0,0.0,0.005924046046205355,
5.0,0.03252264278272114,0.06581101749893604,0.007337706878657477,0.0,0.0016935047167743634,0.0,0.9493003027469665,0.00734892963021096,0.007348802787768351,1.4187914597177915E-4,0.009091224262584071,0.018469931912807127,0.0,0.0,0.0,0.0,0.0,0.0,4.8531659164504345E-5,0.0031096354983998495,0.0063173056429692035,0.0,0.0,0.004949728608985584,
6.0,0.012519130127788726,0.04750178169228082,0.006163343246011049,0.0,6.29229705759858E-4,9.191516689315218E-6,0.9469227403697348,0.0073482956102807525,0.007348701230630382,1.4576607911066976E-4,0.009319372007177933,0.01919420282611907,0.0,0.0,0.0,0.0,0.0,0.0,4.9613329114281435E-5,0.003170813326088443,0.006528087420057913,0.0,0.0,0.004269527952095268,
7.0,0.018132314312102313,0.06944790812814998,0.005833315488102139,0.0,0.0015449165905803948,3.277919724714133E-5,0.9475857421374189,0.007348681014713623,0.0073486217377050815,1.2256921686966003E-4,0.007834864571342554,0.016193992010965864,0.0,0.0,0.0,0.0,0.0,0.0,4.168357716590519E-5,0.0026634003122269906,0.005502601157189849,0.0,0.0,0.0037730889471377614,
8.0,0.0251803665994237,0.10274556233052891,0.005778698890391468,0.0,0.0013678007310098878,0.0,0.9484234964420734,0.007349251958636739,0.0073485692099614685,1.8448504830080766E-4,0.01220297821312543,0.02600978064915885,0.0,0.0,0.0,0.0,0.0,0.0,6.0701139761796104E-5,0.004010056367848347,0.008536248664307331,0.0,0.0,0.0034126271885527473,
9.0,0.05908286751224143,0.12298416100677445,0.006735427019097839,0.0,3.816843824221035E-4,3.411265167041595E-5,0.952471834159382,0.007349404047480508,0.007348537104068449,1.2268368643780512E-4,0.007944931428502878,0.01658719793004485,0.0,0.0,0.0,0.0,0.0,0.0,4.133111180751478E-5,0.002674259950144653,0.0055781529842641,0.0,0.0,0.003145434055833567,
10.0,0.09001733002642567,0.11221614513353431,0.007251250270869281,0.0,0.0011618862819062644,1.5459988171498197E-5,0.9562691356945475,0.007348838323069448,0.00734850800441912,1.7713505755199095E-4,0.011710670101494996,0.025060921459507227,0.0,0.0,0.0,0.0,0.0,0.0,5.8455800976446934E-5,0.0038596792426162157,0.008249032700116446,0.0,0.0,0.0029591667481857946,
11.0,0.063917870364824,0.15302074136112379,0.008105846920322433,0.0,6.743321410650649E-4,4.438051153240475E-5,0.9530386827855556,0.007349624012844616,0.007348495624740569,9.528879491636576E-5,0.0060868428576915734,0.012591850625402159,0.0,0.0,0.0,0.0,0.0,0.0,3.2527667401726544E-5,0.0020774191594142635,0.004296703775867333,0.0,0.0,0.0028605728916509714,
12.0,0.07494446945542073,0.18436080015992282,0.009524869129313053,0.0,0.0018502826989775286,7.861853507183847E-5,0.9543653759776504,0.00734851622637993,0.007348512627766788,2.1590835293839515E-4,0.014074693082498443,0.03099030265956844,0.0,0.0,0.0,0.0,0.0,0.0,7.054712362021445E-5,0.004593471434566401,0.010101827773485504,0.0,0.0,0.0029081147618049918,
13.0,0.05754366880935366,0.1871754334402201,0.010924317749837766,0.0,3.762801873438879E-4,0.0,0.9522687295813,0.007349083744854883,0.007348523005040769,1.1213078419419284E-4,0.0071244911340929825,0.015406839048475184,0.0,0.0,0.0,0.0,0.0,0.0,3.751892456364852E-5,0.002381321713866746,0.005143650940400083,0.0,0.0,0.0029854858494048433,
14.0,0.13258578827517056,0.21206959850226836,0.01581845019961465,0.0,5.86733576896751E-4,8.181485067038468E-5,0.9613185770286908,0.00734936558959709,0.007348553602626181,8.150669038523875E-5,0.005090028498339551,0.010845676624057632,0.0,0.0,0.0,0.0,0.0,0.0,2.7761359420858236E-5,0.001733133928380074,0.003691595149562827,0.0,0.0,0.0030161824280307125,
15.0,0.08209772919916075,0.21535183412763884,0.022181327511954663,0.0,6.12294180274865E-4,4.2988616603348684E-5,0.9552121493082469,0.007349186130858545,0.007348563111743976,9.726064762145409E-5,0.006173200755093324,0.01332073745692034,0.0,0.0,0.0,0.0,0.0,0.0,3.2587635222438396E-5,0.00206623474702125,0.004453593189168509,0.0,0.0,0.002974696276653467,
16.0,0.07808135383500839,0.27044323025672706,0.02974642326843881,0.0,0.0012129626946700577,4.279185505277848E-4,0.9547284232708196,0.0073500437011250344,0.007348587996666403,8.468182971052542E-5,0.005374089461550853,0.011407661399559118,0.0,0.0,0.0,0.0,0.0,0.0,2.8546714804447147E-5,0.0018101407691166204,0.0038389709376045527,0.0,0.0,0.002941532110661325,
17.0,0.07926182221438713,0.26739688675878087,0.03710469564426789,0.0,8.975415952547962E-4,4.7623625337454136E-5,0.954924264651523,0.007350013355986597,0.007348649065751045,2.2256892363681864E-4,0.014578673186230394,0.032043900472024586,0.0,0.0,0.0,0.0,0.0,0.0,7.237717068365407E-5,0.0047357734221498355,0.010397892490114056,0.0,0.0,0.0030947955571963286,
18.0,0.09205088558552701,0.3568586581535377,0.04210149876134058,0.0,0.0019602953721782755,6.300065897183387E-5,0.9564042132536513,0.007351487013410815,0.0073486862656968605,1.208117400528336E-4,0.007779299173588054,0.016883270780149912,0.0,0.0,0.0,0.0,0.0,0.0,3.9963628091441064E-5,0.002570151672007177,0.005570668470503694,0.0,0.0,0.0032192168048075214,
19.0,0.057557627452450716,0.37641236168978326,0.046907793625268535,0.0,2.364808474689809E-4,1.3618768394783152E-4,0.952243759589734,0.007350433006998472,0.007348833091568944,5.871209153892607E-5,0.0036394814328305327,0.007693617165098051,0.0,0.0,0.0,0.0,0.0,0.0,2.0070730693727078E-5,0.0012440517921618803,0.0026295882014333908,0.0,0.0,0.0040129683005051325,
20.0,0.11642661097640607,0.42742965981435166,0.049722755673023464,0.0,7.467808601822486E-4,6.072846885878447E-5,0.9593343817376411,0.007351216308424707,0.007350241803492232,5.790892745338027E-5,0.0036218983900411427,0.007613621559397554,0.0,0.0,0.0,0.0,0.0,0.0,1.981021613344958E-5,0.0012389780787283645,0.0026043551417362066,0.0,0.0,0.013169566275654498,
