"Mean size of fish species in cm, weighted by fish numbers in the catches, and including first ages specified in input."
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,35.634506,16.323584,7.174769,3.0424025,NaN,26.292175,NaN,26.03039,12.970294,20.972872,25.836918,7.351119,1.4060829,1.9598159,8.004057,49.828854
2.0,38.724487,16.558033,7.7528214,4.085962,NaN,31.922176,NaN,30.44015,22.3354,24.977383,30.887938,10.107008,1.4456233,4.626311,6.874369,42.795982
3.0,42.851524,15.741484,7.001234,3.9273632,NaN,37.92526,NaN,32.084217,19.276318,26.236809,30.633585,12.137053,1.5207223,14.912193,5.8172226,40.945137
4.0,45.484966,15.685384,8.033127,5.1447988,NaN,43.153107,NaN,31.007755,20.751415,24.32683,26.44106,13.60493,1.8342125,16.323376,8.335334,41.521385
5.0,46.915268,15.325767,9.226919,6.072777,NaN,47.392124,NaN,29.860811,16.374321,23.47367,25.629204,14.881294,2.0549965,21.10293,8.404415,42.819252
6.0,47.434933,16.052073,11.229557,6.977976,NaN,49.98001,NaN,29.923088,17.413124,24.258207,29.043486,15.709175,2.2541347,5.6712127,8.469128,44.519604
7.0,46.571545,14.941572,11.23563,7.7474985,NaN,52.02643,NaN,30.108706,18.090633,24.83208,30.165766,16.904543,1.7534443,14.276592,9.430217,46.361526
8.0,45.95178,14.875935,10.2840805,7.5066476,NaN,53.103485,NaN,31.407349,14.167417,24.951488,28.463137,16.840363,1.8602734,18.256727,7.386145,48.18414
9.0,41.732388,16.563332,9.94992,8.908608,NaN,55.722855,NaN,30.248936,15.813318,24.086428,28.171581,13.804441,1.7645979,12.488717,9.537449,49.75519
10.0,39.211937,15.262497,9.511465,10.136153,NaN,55.30897,NaN,30.915348,14.684924,24.748322,30.439856,13.85571,1.9960078,9.399088,8.349156,51.418922
11.0,38.546604,15.681792,8.892638,10.436193,NaN,52.453014,NaN,30.711466,12.985243,25.153925,29.827162,13.273349,1.8726296,14.371653,8.09499,52.673733
12.0,42.964813,14.949371,9.744553,11.125137,NaN,50.45528,NaN,31.127567,12.570506,25.590834,27.406448,13.524965,2.1451814,16.26672,8.979506,54.046658
13.0,44.8164,15.367224,8.148693,11.993457,NaN,47.68102,NaN,30.34775,13.196458,24.95357,29.418398,13.429769,2.0597312,14.595458,8.381638,54.43528
14.0,46.47469,16.287775,6.94254,12.262596,NaN,48.810696,NaN,29.85901,13.043042,24.250977,29.053144,12.840047,1.8205991,12.762004,8.847973,54.05411
15.0,47.4869,15.850571,7.7086644,12.2662525,NaN,51.559982,NaN,30.24258,12.63195,23.618261,27.809677,13.318099,1.7475299,13.689741,7.5149474,52.94221
16.0,46.539265,16.029161,8.707711,11.7707205,NaN,51.593388,NaN,30.461006,12.794771,23.63075,26.92615,13.984914,1.7210898,17.289434,8.113851,51.47922
17.0,45.63359,15.757263,9.130623,12.753323,NaN,54.195107,NaN,31.538319,9.890815,24.684593,26.711824,14.2599,2.039888,13.115082,9.212426,50.251415
18.0,41.931263,13.832752,8.382525,13.745854,NaN,53.623554,NaN,31.364227,11.989003,24.730785,27.851843,13.911575,1.7943078,13.407901,7.164472,49.32919
19.0,39.426113,13.169051,9.189799,14.145819,NaN,53.62377,NaN,30.654636,11.839875,24.581654,28.837698,14.994285,1.7454643,14.174589,7.712548,48.827187
20.0,40.57045,14.675095,8.035605,14.632697,NaN,54.781086,NaN,30.412066,11.639029,23.036842,28.48537,14.3484125,1.741881,18.521027,8.466569,48.895412
