"Distribution of the biomass (tonne) of prey species (in columns) in the diet of thornbackRay by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.021275189,0.19150278,0.63991064,0.118733704,4.032996E-7,0.027474754,2.7938835E-5,0.07147466,0.0061795926,8.5640415E-5,0.12846252,0.17400037,1.4597234,0.21519291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17733257,0.011627765,7.2314224,0.09448064,0.0
1.0,1.0,0.0,0.0049625156,0.24147281,0.468672,0.17539091,3.3390204E-8,0.058734637,1.21204124E-4,0.06832609,0.03283872,0.0018377991,0.320553,0.44250986,2.7797499,0.60729545,4.5245492E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.2118081,0.015389275,8.900278,0.28385484,1.2071327
1.0,2.0,0.0,0.014292374,0.37886903,0.73277897,0.5830199,1.6989617E-7,0.10848745,2.469854E-4,0.1578676,0.24450119,0.0031457115,1.0909829,0.9066057,3.6869354,0.7590087,1.9014651E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.14743495,0.015066872,9.164364,0.27146503,3.9561646
1.0,3.0,0.0,0.035258632,0.6499932,1.3586144,0.9225886,0.01876602,0.2074802,0.0017463743,0.43784234,0.8556732,0.08205522,1.6783948,2.1143613,4.868379,1.0111535,0.0014143517,0.0,0.0,0.0,0.0,0.0,0.0,0.15305036,0.018928804,12.256217,0.34792283,5.231029
1.0,4.0,0.0,0.05982095,1.1169997,1.3693945,0.9848649,0.030806953,0.32976285,0.09917038,0.6805586,1.7455802,0.14808366,2.1792245,3.269427,5.8724875,1.4401006,0.003551437,0.0,0.0,0.0,0.0,0.0,0.0,0.14031008,0.021542767,14.422753,0.4157881,6.2533517
1.0,5.0,0.0,0.100303374,1.376344,2.0902417,0.9786348,0.050151538,0.46038878,0.21691217,0.8138904,2.3470304,0.39140713,3.127489,4.18418,7.329015,1.8035277,0.0072870357,0.0,0.0,0.0,0.0,0.0,0.0,0.1173206,0.023916198,15.200687,0.45454317,6.8401146
1.0,6.0,0.0,0.17321777,2.0005572,2.7695935,1.3768927,0.067054644,0.7100641,0.44928247,0.9487278,3.1226907,0.7047967,3.5296288,4.694769,8.1403885,1.9864658,0.008368232,0.0,0.0,0.0,0.0,0.0,0.0,0.08170382,0.023056569,16.52045,0.46211907,6.950577
1.0,7.0,0.0,0.20163126,2.1090777,2.7942739,1.2713244,0.070321925,0.759781,0.52538866,0.9193875,3.5483687,0.9859494,4.8922553,5.143041,9.228442,2.3350077,0.00783616,0.0,0.0,0.0,0.0,0.0,0.0,0.055289295,0.024072507,16.828001,0.4980791,7.4926996
1.0,8.0,0.0,0.23596893,2.3285713,3.8725114,1.2840999,0.082197994,0.73161805,0.61237526,0.9786593,3.9613469,1.0704193,4.6758604,5.5587845,9.436007,2.6395094,0.011347986,0.0,0.0,0.0,0.0,0.0,0.0,0.028521908,0.024615275,17.064623,0.5140398,7.7339115
1.0,9.0,0.0,0.22746983,2.197405,3.6054668,1.189447,0.06989786,0.69853806,0.6134053,1.0449151,4.0074563,1.0425456,4.6660686,5.5827894,10.176735,2.4009926,0.012364387,0.0,0.0,0.0,0.0,0.0,0.0,0.0052807936,0.025654558,18.491959,0.5265788,7.919819
1.0,10.0,0.0,0.24206927,2.5524404,3.7727933,1.4554756,0.12572555,0.7443278,0.719913,1.0709019,3.7644076,1.2211728,5.5014324,5.893972,10.190993,2.2429957,0.012876438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025164476,18.760464,0.5251885,7.8945713
1.0,11.0,0.0,0.2497767,2.7021813,4.522227,1.7562487,0.14504838,0.71980864,0.7242588,1.3011734,4.4779496,1.2945958,4.3846846,5.5633554,10.835094,2.2815979,0.01607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026598748,19.523048,0.55767566,8.3838
1.0,12.0,0.0,0.2895367,3.128373,4.846394,1.7904757,0.17827255,0.74328935,0.8275032,1.2127318,4.7800565,1.2338598,4.8701077,5.52194,10.792164,2.3738387,0.015993906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027103327,19.798868,0.57249105,8.612154
1.0,13.0,0.0,0.28027576,3.275073,5.127099,1.9458114,0.18377236,0.74938196,0.7985655,1.3931582,4.9369802,1.5102003,4.5181117,5.0119457,11.225719,2.4247131,0.017083613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027347814,20.123417,0.590783,8.887821
