"Distribution of the biomass (tonne) of prey species (in columns) in the diet of whiting by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.03212365,2.5697188,83.385544,3232.7473,3.3210967,0.017432118,66.73792,9.822459E-4,33.035847,61.09403,0.2367168,20.465784,2423.384,1200.6638,34.94955,0.0,0.0,0.0,0.0,0.0,9.204557,2149.4807,334.4836,17.751562,3922.0042,8.589808,96.94169
1.0,1.0,0.9533338,4.8361735,326.50076,468.90158,42.11707,1.1773278,45.407375,0.7161702,86.36657,109.937065,7.8363,162.99863,438.6685,548.1018,122.426216,0.0,0.0,0.0,0.0,0.0,0.005135414,63.768078,0.83667535,1.0586377,1231.5238,27.62688,415.76038
1.0,2.0,0.98024213,3.3392947,158.30373,164.8854,24.06736,1.3223883,31.19574,3.4127889,47.279602,136.3142,11.1763115,131.79002,148.43546,265.07224,51.426884,0.0,0.0,0.0,0.0,0.0,0.0,23.728106,0.0,0.35509983,495.64246,12.779599,192.16046
1.0,3.0,1.6078013,2.8830962,88.92559,92.72745,15.742008,2.2725205,22.078756,6.337102,31.795975,95.64515,11.980597,109.898636,129.1976,158.20723,37.6686,0.0,0.0,0.0,0.0,0.0,0.0,11.841448,0.0,0.17632724,277.67627,7.233303,108.74153
1.0,4.0,0.6726241,2.191647,43.051865,85.59223,9.828466,1.1287014,16.384201,5.866484,21.965725,65.69722,7.5582814,54.26281,114.599045,131.17007,25.015175,0.0,0.0,0.0,0.0,0.0,0.0,6.623181,0.0,0.097004294,165.13072,4.4816003,67.364105
1.0,5.0,0.45338827,1.9728186,42.60181,56.682526,7.5483165,1.1456699,12.7575655,6.454197,14.737883,46.283264,7.1231256,63.046238,61.545498,83.34153,15.768886,0.0,0.0,0.0,0.0,0.0,0.0,4.355106,0.0,0.061895058,113.597786,3.0713353,46.180885
1.0,6.0,0.35759443,1.6829892,29.664078,51.842873,6.127409,0.7138668,11.965743,4.7786827,12.740788,38.998775,7.7074594,39.741917,57.419872,66.357635,13.043572,0.0,0.0,0.0,0.0,0.0,0.0,3.3599935,0.0,0.047241542,89.63615,2.4414208,36.705505
1.0,7.0,0.24976556,1.4625947,23.857542,48.034332,2.9932117,0.6211755,8.319766,4.4197783,10.111282,27.046669,7.1242876,35.597385,44.58686,49.496567,8.905895,0.0,0.0,0.0,0.0,0.0,0.0,2.5121462,0.0,0.03657683,70.84659,1.864349,28.022198
1.0,8.0,0.15119049,1.2605767,19.051249,31.332123,3.3130748,0.5411485,6.8714113,3.1657054,7.6421437,22.31821,4.464702,24.801178,38.546978,43.166725,9.804389,0.0,0.0,0.0,0.0,0.0,0.0,1.806191,0.0,0.026800148,53.18703,1.4378165,21.613869
1.0,9.0,0.18363944,0.7918141,13.236936,25.979252,1.9882598,0.34962517,5.2845135,2.131548,5.9636974,14.775283,4.0418277,19.584005,35.091953,31.632488,7.3235455,0.0,0.0,0.0,0.0,0.0,0.0,1.4255065,0.0,0.022567088,42.228798,1.134118,17.042072
