"Mean abundance (number of fish), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,9.837156E7,2.3932685E8,1.3594256E10,1.4904988E11,2.0330506E9,1.9254198E7,9.051831E8,1.7863877E8,5.87257E9,2.2509002E9,4.068039E8,2.0023758E12,1.2636958E10,3.0263432E12,1.5650428E9,4409913.5
2.0,8.156715E7,6.133369E8,2.5940668E10,2.009543E11,9.125253E9,1.3739258E7,1.01115046E9,1.1303813E8,2.6896996E9,1.1124685E9,1.7609568E8,9.770482E11,4.9473434E9,5.55426E11,5.7520026E9,6980020.5
3.0,6.9962664E7,2.846214E8,3.3685662E10,1.939565E11,5.395628E10,1.1211222E7,6.663439E8,8.951023E7,2.4552033E9,8.9781786E8,1.7681605E8,2.0710506E11,2.2910367E9,1.7542693E9,5.7641103E9,9519039.0
4.0,6.123795E7,3.7665424E8,2.2745555E10,1.8303975E11,8.058828E10,9581304.0,9.47974E8,8.529542E7,1.548702E9,1.2139313E9,1.3195053E8,4.9598382E10,4.1145876E9,4.652426E7,2.0747085E9,1.1891636E7
5.0,5.4848796E7,2.4024674E8,1.5725182E10,1.2426006E11,5.568616E10,8395268.0,5.890174E8,8.641966E7,1.6350008E9,1.0464938E9,1.215879E8,1.4836922E10,2.3236224E9,5.5284812E7,1.0701418E9,1.4268913E7
6.0,4.864027E7,2.7788822E8,1.8159327E10,6.8773265E10,4.6659547E10,7849217.0,3.6082314E8,8.034171E7,1.2977755E9,7.711156E8,2.0758709E8,4.991701E9,2.7038508E9,7.4544154E9,8.174405E8,1.6667777E7
7.0,4.296142E7,2.0006931E8,2.0822344E10,6.142428E10,4.903649E10,6637967.5,2.161853E8,7.892109E7,1.4740319E9,6.1042726E8,1.28610024E8,1.987537E9,3.2238694E9,2.3770063E9,1.0716078E9,1.9041506E7
8.0,3.9353856E7,1.2896034E8,1.7059048E10,6.337505E10,6.8256514E10,6894220.0,2.5215963E8,8.0861944E7,1.9192097E9,5.9154E8,8.0242024E7,1.0793757E9,3.5475382E9,5.8985056E8,1.02384896E9,2.125077E7
9.0,3.6226988E7,1.8438957E8,1.6875775E10,4.8217702E10,9.0468565E10,6103158.5,2.2502611E8,8.742315E7,2.2801165E9,6.4326816E8,6.3414364E7,1.2866542E9,2.7259487E9,6.315118E8,9.280814E8,2.3341176E7
10.0,3.0519722E7,1.2987145E8,1.672409E10,3.3636112E10,4.791089E10,6577192.5,2.6907386E8,8.775432E7,2.0850252E9,7.149313E8,8.094132E7,3.734876E9,3.271795E9,1.5925109E10,1.3417816E9,2.5443822E7
11.0,2.657178E7,1.1237061E8,1.8917976E10,2.615437E10,3.9551005E10,4558176.5,1.9948157E8,8.853313E7,1.1268009E9,7.329686E8,1.0042629E8,3.9409613E9,1.6696102E9,3.4152888E9,1.2789542E9,2.7658518E7
12.0,2.4281438E7,1.9910624E8,2.47027E10,2.9157302E10,5.5802974E10,3951495.8,2.0120187E8,8.724892E7,2.5854019E9,7.4931904E8,7.160571E7,4.9987697E9,2.700052E9,2.2633887E9,8.730672E8,2.9548568E7
13.0,2.242205E7,2.7917283E8,2.224742E10,2.5213405E10,4.824128E10,4022928.2,1.3893952E8,8.79642E7,1.6106746E9,7.2066336E8,6.992068E7,5.86095E9,1.9830085E9,1.7051141E9,8.5877754E8,3.2192302E7
14.0,2.0791564E7,1.4640344E8,2.530079E10,2.3107715E10,7.768314E10,3621989.0,1.8863747E8,9.352307E7,3.010514E9,6.425656E8,6.2310136E7,8.1607793E9,3.8498563E9,7.812146E8,1.192409E9,3.6186104E7
15.0,1.9122966E7,2.1218786E8,1.8648396E10,1.770281E10,6.0654494E10,3398317.2,2.652558E8,9.802293E7,1.5472753E9,7.694868E8,1.1133001E8,1.8294047E10,1.9102454E9,1.0803642E9,8.0814125E8,4.2009388E7
16.0,1.8220652E7,1.4099094E8,1.9800527E10,1.1902665E10,4.694094E10,3319829.8,1.9273883E8,1.0465657E8,2.0207142E9,5.798567E8,9.499365E7,1.9526982E10,1.1693234E9,8.868276E9,9.1712486E8,4.9872132E7
17.0,1.7031174E7,9.2222856E7,1.8522892E10,1.2454097E10,5.1394298E10,2435583.8,2.0379243E8,1.0876428E8,1.4411547E9,4.8433043E8,7.603335E7,1.1313405E10,1.3719311E9,4.5574697E9,1.1527288E9,5.887948E7
18.0,1.5893329E7,1.1277487E8,1.9816204E10,1.0147431E10,6.5912803E10,5263941.0,1.9473502E8,1.1246214E8,2.3840717E9,7.366334E8,4.989768E7,7.86522E9,2.262098E9,5.1251016E9,1.0718245E9,6.863338E7
19.0,1.474983E7,1.4007381E8,2.2782554E10,6.2822103E9,4.7389073E10,1855925.4,1.8328122E8,1.214446E8,1.7827612E9,8.407058E8,7.784518E7,4.4752425E9,1.5370536E9,3.2992916E9,1.0955552E9,8.036678E7
20.0,1.3763186E7,2.1442395E8,3.1089752E10,4.639936E9,6.462529E10,1657986.1,3.0405222E8,1.3575237E8,3.4162396E9,8.1499904E8,6.81625E7,6.1751096E9,3.428687E9,1.7289828E9,1.274504E9,9.183708E7
