"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,22586.55,11604.732,54578.97,158570.17,29815.816,3748.3062,23547.521,27730.271,45815.574,143582.86,48806.824,7327580.0,180184.5,3516046.8,36952.54,7708.2085
2.0,24048.977,21364.877,147450.23,384122.22,160276.89,5506.854,25764.861,31651.414,77450.34,153814.7,40084.887,6730627.0,61994.5,1306225.1,186894.34,8171.042
3.0,24782.627,22563.84,228709.22,410161.4,273303.25,7149.965,26781.424,31270.61,104251.87,144501.16,29062.938,2435937.5,29004.264,134233.58,155283.8,8998.197
4.0,24992.111,23495.002,304544.16,549647.6,419711.97,8521.611,25992.977,30581.168,123667.12,148586.2,21490.51,780104.1,22484.484,8231.313,96018.92,10345.198
5.0,24649.871,21886.3,330168.75,561046.06,545638.75,9587.995,20475.549,30262.484,140675.64,134059.14,17250.873,288585.03,24646.494,22293.715,81221.55,12300.882
6.0,23652.387,20827.29,328200.97,465117.7,536268.6,10263.103,10448.197,29970.053,157488.67,123202.76,22391.258,130289.49,26444.033,162729.16,59934.977,14883.515
7.0,22013.904,19547.055,302851.3,372587.8,556924.4,10591.314,6311.514,30448.58,174181.88,109692.99,20836.441,63450.9,20181.443,183727.5,71533.16,18114.36
8.0,19547.219,18180.05,288628.28,385852.6,568177.06,10559.824,6915.9795,31334.227,187328.84,96918.12,17011.021,38341.25,28149.984,60937.477,69676.47,21839.268
9.0,16099.655,17290.049,269380.5,383303.44,520766.66,10294.12,6817.3677,32521.713,195891.7,92009.086,14667.119,34667.348,24217.98,153056.39,67492.586,26105.836
10.0,10962.657,16900.21,290413.2,332680.56,472879.9,9857.125,7204.2437,33597.31,206771.5,95262.24,15777.189,70783.695,23982.467,266230.03,69635.63,30839.146
11.0,8275.344,16400.959,315616.25,293169.2,485194.2,9342.799,7508.482,35825.562,214476.56,96277.47,17800.088,85213.81,23698.262,260939.23,77669.125,36112.7
12.0,8393.114,16805.703,335592.6,285709.84,519545.47,8705.363,7466.822,37197.17,219221.3,93935.26,15729.255,101312.73,27141.152,133425.48,68648.24,41533.848
13.0,8348.0625,16724.777,333213.94,265955.03,492514.53,8030.0845,7058.046,38161.88,215206.25,92150.76,14871.071,112955.125,24114.242,203659.52,64894.297,47205.195
14.0,8385.001,16729.076,329143.94,252919.27,470863.6,7499.023,6468.5137,41123.99,217519.86,87555.76,14828.074,143845.12,33898.254,73732.445,78734.586,53856.18
15.0,8400.158,17564.137,324375.03,248447.92,496914.2,6983.871,6211.343,43201.023,208164.5,94437.164,19400.19,259152.55,31757.89,149517.5,63709.395,61159.28
16.0,8493.399,17714.574,326688.38,184368.27,531480.6,6476.8955,5735.1367,46537.965,211294.6,91488.04,19477.41,294545.78,24346.877,247886.02,65250.27,69292.164
17.0,7889.955,17208.033,313451.0,170040.0,509286.12,5870.323,6201.478,48704.105,210724.69,82973.26,17049.168,211394.02,21125.86,273672.28,72611.8,77521.586
18.0,6525.2764,16972.973,298966.12,146890.67,491657.38,5287.0977,6127.649,49514.066,206410.12,82554.27,13422.319,155294.73,21145.088,249331.56,70172.56,86742.88
19.0,5397.6978,17228.479,298587.6,127822.766,439311.06,4848.702,6174.3296,52785.97,208851.06,84540.57,14956.566,108214.01,19923.793,295373.97,81809.72,98932.59
20.0,4743.7085,18181.28,308179.75,100125.88,426167.56,4485.674,6010.7285,57479.453,214060.44,80523.55,15750.24,115888.77,23234.465,182061.89,58670.465,112969.75
