"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
2.0,3.97293177734805E-5,2.0679403041376765,3.115302621567049,0.0,0.05068238705079872,0.02361712878410712,0.8937541652625635,0.0858052275795759,0.05202635433968257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,0.012866102279165651,2.0259448614296414,3.6601061852326504,0.0,0.034368881852724804,0.034463702014962974,0.8951019471219444,0.08554107374851021,0.08597819116717843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0,0.006031690613775785,1.9900400554682574,3.0196217972743566,0.0,0.030030238683864285,0.024276101112736884,0.894383811367593,0.08602696775406268,0.08497598763822399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5.0,0.003733652053947137,1.9832739413402156,2.7781530835960835,0.0,0.029464098436448746,0.03970985083448143,0.8941417375182025,0.08631904540554984,0.08594300997346772,0.0,0.0,6.559522975680516E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,0.009372579532201093,1.635443763183433,1.162965612645633,0.0,0.0010174591607964236,0.007102989101856296,0.8947359091507386,0.08598819788600318,0.08638300380427734,0.0,0.0,0.011654139194801022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,0.03353090866348191,1.5168608965606767,0.09135825518272007,0.0,0.0010375807520507103,2.711173421609679E-4,0.8972805937288623,0.08617610304599023,0.08696268335405954,0.0,0.0,0.030408158828697778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,0.019098252917639575,1.4564347369155597,0.41147999138414243,0.0,0.0032898523587289526,3.332326444275443E-4,0.8957629030778912,0.08648898450900569,0.0869094421516784,0.0,0.0,0.05509573263688522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,0.005984424140579083,1.395088732282307,0.6341354537411454,0.0,0.004176686417272169,1.805462090798312E-4,0.8943787090517037,0.08640813831914747,0.0867437651789614,0.0,0.0,0.06713608636676126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10.0,0.0083758671440168,1.5530840345015158,0.47958361485795953,0.0,0.010896546503662952,0.0013743006705183938,0.8946297142858043,0.0861354358278804,0.08672712052166819,0.0,0.0,0.048002781563067545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11.0,0.00260166560889645,2.254222184591943,0.4915084703356792,0.0,0.00820740971079308,8.221579526761523E-4,0.8940228593950287,0.08636894046389498,0.08677227204526106,0.0,0.0,0.036503264193611044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
